FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-09 00:00:00.000000,0.00385566,0.00735371,0.01085638,67,129,190,31,84,140,0.00179630,0.00479246,0.00799822,0.83951137,0.95442820,1.14230720
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-10 00:00:00.000000,0.00442462,0.00900274,0.01404632,77,158,246,45,86,136,0.00261059,0.00493240,0.00778206,0.83950109,0.95442685,1.14230718
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-11 00:00:00.000000,0.00566206,0.01021856,0.01568307,99,179,275,54,107,166,0.00308350,0.00611986,0.00946919,0.83948493,0.95442464,1.14230712
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-12 00:00:00.000000,0.00692174,0.01191261,0.01800783,121,209,316,68,124,186,0.00390184,0.00707592,0.01062381,0.83945956,0.95442100,1.14230703
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-13 00:00:00.000000,0.00837731,0.01389245,0.02034235,147,244,357,83,143,217,0.00477648,0.00816294,0.01240045,0.83941979,0.95441501,1.14230685
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-14 00:00:00.000000,0.00960167,0.01619583,0.02334277,168,284,410,98,164,251,0.00562996,0.00937831,0.01432809,0.83935763,0.95477881,1.14230650
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-15 00:00:00.000000,0.01099802,0.01872386,0.02698474,193,328,473,113,191,291,0.00645720,0.01092684,0.01659048,0.83908545,0.95634156,1.14230572
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-16 00:00:00.000000,0.01276738,0.02154101,0.03122591,224,378,548,134,225,336,0.00763152,0.01281297,0.01918180,0.83708556,0.95526614,1.14230362
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-17 00:00:00.000000,0.01476084,0.02508546,0.03610672,259,440,634,157,261,389,0.00897144,0.01490455,0.02219979,0.83273141,0.95431727,1.14229629
0,0,AustraliaSouthAustralia,South Australia,,2020-08-14 01:52:13.571590,2020-03-18 00:00:00.000000,0.01714649,0.02905482,0.04174362,301,510,733,180,298,450,0.01025028,0.01696797,0.02566758,0.82707609,0.94873435,1.14226516
