FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-09 00:00:00.000000,0.00043314,0.00124960,0.00297917,2,6,15,0,1,7,0.00004285,0.00032221,0.00135514,0.67428494,0.93314461,1.12335695
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-10 00:00:00.000000,0.00069562,0.00174472,0.00387233,3,9,20,1,4,10,0.00033011,0.00092123,0.00188607,0.67428526,0.93314415,1.12335708
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-11 00:00:00.000000,0.00107942,0.00258045,0.00496885,5,13,26,2,6,13,0.00046356,0.00130283,0.00245395,0.67428589,0.93314332,1.12335731
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-12 00:00:00.000000,0.00137002,0.00326409,0.00665681,7,17,35,3,9,17,0.00061473,0.00183065,0.00317595,0.67428704,0.93314144,1.12335774
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-13 00:00:00.000000,0.00167929,0.00426751,0.00853262,8,22,45,4,13,22,0.00075132,0.00247955,0.00421451,0.67428878,0.93313604,1.12335854
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-14 00:00:00.000000,0.00194322,0.00549675,0.01066196,10,29,57,4,17,28,0.00089164,0.00325386,0.00531519,0.67428974,0.93311800,1.12336001
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-15 00:00:00.000000,0.00220141,0.00696484,0.01300363,11,37,69,5,22,34,0.00106134,0.00413785,0.00650323,0.67428023,0.93305338,1.12336271
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-16 00:00:00.000000,0.00392440,0.00857922,0.01501225,21,45,80,6,26,42,0.00118857,0.00501346,0.00787408,0.67436402,0.93281459,1.12336756
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-17 00:00:00.000000,0.00536032,0.01036878,0.01730830,28,55,92,13,32,49,0.00258876,0.00600771,0.00920606,0.67394819,0.93191944,1.12337607
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-18 00:00:00.000000,0.00678386,0.01254761,0.01969701,36,67,105,18,38,56,0.00336575,0.00718820,0.01060535,0.67197282,0.92765830,1.12339034
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-19 00:00:00.000000,0.00819103,0.01516945,0.02308060,43,81,123,23,45,65,0.00435873,0.00844875,0.01231520,0.66586641,0.92316511,1.12341248
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-20 00:00:00.000000,0.00973868,0.01821256,0.02676035,52,97,143,27,52,73,0.00521546,0.00971769,0.01379140,0.65371749,0.87042850,1.12344297
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-21 00:00:00.000000,0.01141318,0.02144280,0.03071294,61,114,164,32,61,83,0.00614188,0.01144245,0.01557002,0.64371035,0.82984807,1.12347782
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-22 00:00:00.000000,0.01326727,0.02472625,0.03496500,71,132,187,36,70,96,0.00687039,0.01315794,0.01809012,0.63605753,0.81998888,1.12350311
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-23 00:00:00.000000,0.01616583,0.02828173,0.03822535,86,151,204,40,80,112,0.00761171,0.01510396,0.02104310,0.62420993,0.81302309,1.12339496
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-24 00:00:00.000000,0.01705440,0.03133095,0.04181364,91,167,223,42,89,131,0.00794232,0.01662187,0.02457594,0.62061822,0.80726317,1.12304086
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-25 00:00:00.000000,0.01804408,0.03437475,0.04568713,96,184,244,47,98,150,0.00891188,0.01843114,0.02807812,0.61877484,0.80271787,1.12120915
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-26 00:00:00.000000,0.01915009,0.03767866,0.05059909,102,201,270,49,108,172,0.00930746,0.02034424,0.03221199,0.61783364,0.78127456,1.11088262
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-27 00:00:00.000000,0.02015128,0.04062328,0.05521925,107,217,295,53,119,195,0.00991166,0.02236911,0.03642589,0.61720959,0.72898636,1.06283841
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-28 00:00:00.000000,0.02127921,0.04309174,0.05991882,113,230,320,55,128,215,0.01041354,0.02397158,0.04021990,0.57584912,0.67169122,1.01676395
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-29 00:00:00.000000,0.02234982,0.04450972,0.06414112,119,238,343,58,137,231,0.01098068,0.02572725,0.04330473,0.50908079,0.60301673,0.99534396
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-30 00:00:00.000000,0.02292392,0.04532491,0.06813166,122,242,364,61,140,247,0.01151907,0.02632191,0.04625780,0.47576250,0.58152108,0.99808148
0,0,AustraliaTasmania,Tasmania,,2020-08-21 07:44:12.862630,2020-03-31 00:00:00.000000,0.02319593,0.04607385,0.07147025,124,246,382,61,140,261,0.01156528,0.02624609,0.04874442,0.46546528,0.57961466,0.99899210
