FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-09 00:00:00.000000,0.00076265,0.00193422,0.00591219,4,10,32,0,3,12,0.00014596,0.00063022,0.00224632,0.54942951,0.75826767,1.10637588
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-10 00:00:00.000000,0.00091132,0.00259892,0.00712160,5,14,39,1,4,14,0.00024050,0.00081856,0.00265189,0.54942284,0.75827401,1.10637596
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-11 00:00:00.000000,0.00110416,0.00316479,0.00839313,6,17,46,1,5,17,0.00032923,0.00100528,0.00313422,0.54941107,0.75828902,1.10637614
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-12 00:00:00.000000,0.00128619,0.00377326,0.00980821,7,20,54,2,6,21,0.00043162,0.00122218,0.00385313,0.54939018,0.75832453,1.10637655
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-13 00:00:00.000000,0.00149435,0.00438225,0.01184273,8,24,65,2,7,28,0.00052078,0.00142382,0.00505648,0.54935272,0.75840843,1.10637753
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-14 00:00:00.000000,0.00177497,0.00514699,0.01426123,9,28,79,3,9,34,0.00062071,0.00174709,0.00618739,0.54928482,0.75860622,1.10637984
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-15 00:00:00.000000,0.00207487,0.00591621,0.01641790,11,32,91,4,11,41,0.00073121,0.00209300,0.00750352,0.54916036,0.75907054,1.10638537
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-16 00:00:00.000000,0.00239380,0.00678924,0.01843295,13,37,102,4,13,50,0.00082266,0.00244263,0.00903432,0.54892996,0.75995007,1.10639876
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-17 00:00:00.000000,0.00275938,0.00765084,0.02100169,15,42,116,5,15,59,0.00093379,0.00284004,0.01074317,0.54848964,0.75992303,1.10643153
0,0,CaboVerde,,,2020-10-07 16:02:05.411581,2020-03-18 00:00:00.000000,0.00327058,0.00871331,0.02398562,18,48,133,5,18,70,0.00106180,0.00327819,0.01270105,0.54724053,0.75981354,1.10651257
