FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-09 00:00:00.000000,0.01099655,0.02048345,0.03821729,86,161,301,37,84,142,0.00479261,0.01072690,0.01804469,0.49632023,0.65956864,0.86141768
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-10 00:00:00.000000,0.01249055,0.02217485,0.04063177,98,175,320,43,91,152,0.00550695,0.01165635,0.01937531,0.49630968,0.65956838,0.86141711
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-11 00:00:00.000000,0.01397270,0.02428605,0.04233742,110,191,334,49,99,165,0.00627016,0.01266416,0.02099938,0.49629112,0.65956778,0.86141627
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-12 00:00:00.000000,0.01555096,0.02701295,0.04437811,122,213,350,56,109,182,0.00719171,0.01388120,0.02306863,0.49625839,0.65956627,0.86141497
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-13 00:00:00.000000,0.01724101,0.02932242,0.04755236,136,231,375,66,115,201,0.00843610,0.01461846,0.02558313,0.49620040,0.65956234,0.86141281
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-14 00:00:00.000000,0.01929436,0.03226322,0.05249679,152,254,414,74,125,223,0.00948460,0.01587938,0.02832824,0.49411677,0.65756220,0.86140892
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-15 00:00:00.000000,0.02186370,0.03538760,0.05795528,172,279,457,82,135,247,0.01042370,0.01713671,0.03132806,0.49382756,0.65586333,0.86140131
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-16 00:00:00.000000,0.02476553,0.03817608,0.06360434,195,301,501,90,147,273,0.01144896,0.01868857,0.03460690,0.49346529,0.65382100,0.86138533
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-17 00:00:00.000000,0.02730502,0.04130587,0.07113270,215,325,561,98,161,300,0.01251333,0.02045026,0.03807235,0.49300168,0.64456019,0.86134957
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-18 00:00:00.000000,0.02937687,0.04544776,0.07659111,231,358,604,109,177,329,0.01388865,0.02244775,0.04180757,0.45821554,0.62756231,0.86126312
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-19 00:00:00.000000,0.03313118,0.04997436,0.08388629,261,394,662,123,192,358,0.01569596,0.02434071,0.04547407,0.44162414,0.59902622,0.86102496
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-20 00:00:00.000000,0.03521701,0.05499322,0.09150954,277,434,722,137,206,396,0.01736433,0.02619015,0.05027677,0.42483526,0.57350963,0.85919748
0,592,CanadaBCInterior,BC,Interior,2020-10-11 15:19:42.024368,2020-03-21 00:00:00.000000,0.03825945,0.05979705,0.09910626,301,471,782,146,221,433,0.01853352,0.02801506,0.05494429,0.41507313,0.54249341,0.82687897
