FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-09 00:00:00.000000,0.00939738,0.01901638,0.03447279,78,158,288,19,50,105,0.00235244,0.00609499,0.01262505,0.59639416,0.80164745,1.11969779
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-10 00:00:00.000000,0.00751833,0.01661221,0.02933635,62,138,245,27,51,90,0.00325212,0.00614477,0.01081151,0.59636476,0.80163086,1.11969601
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-11 00:00:00.000000,0.00825862,0.01628304,0.02871115,69,136,239,26,48,94,0.00315815,0.00582125,0.01135405,0.59633189,0.80158721,1.11969302
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-12 00:00:00.000000,0.00842514,0.01551905,0.02972523,70,129,248,26,48,97,0.00321782,0.00576286,0.01169285,0.59626568,0.80147073,1.11968800
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-13 00:00:00.000000,0.00848845,0.01499278,0.02949438,70,125,246,25,47,96,0.00309128,0.00568084,0.01156795,0.59612183,0.80115719,1.11967956
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-14 00:00:00.000000,0.00860821,0.01484130,0.02852133,71,124,238,25,47,102,0.00307181,0.00564454,0.01226570,0.59579548,0.80031180,1.11966536
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-15 00:00:00.000000,0.00878347,0.01507747,0.02873867,73,126,240,26,46,109,0.00318068,0.00561584,0.01312265,0.59504098,0.79974327,1.11964137
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-16 00:00:00.000000,0.00964499,0.01506788,0.02924435,80,125,244,27,46,113,0.00323107,0.00560565,0.01358527,0.59329667,0.79979077,1.11960034
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-17 00:00:00.000000,0.01000883,0.01519700,0.02956318,83,127,247,28,45,117,0.00336803,0.00550107,0.01403187,0.58935282,0.79798188,1.11952631
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-18 00:00:00.000000,0.00982825,0.01525561,0.03171240,82,127,265,30,45,120,0.00362868,0.00549644,0.01447318,0.57221181,0.79622740,1.11936512
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-19 00:00:00.000000,0.01019195,0.01515384,0.03481953,85,126,291,30,45,124,0.00364014,0.00545822,0.01489322,0.52606177,0.78893112,1.11882482
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-20 00:00:00.000000,0.00992284,0.01504346,0.03688969,82,125,308,30,45,127,0.00364463,0.00547818,0.01521990,0.52339434,0.77032858,1.11148673
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-21 00:00:00.000000,0.00934834,0.01486221,0.03677257,78,124,307,29,45,128,0.00351239,0.00538697,0.01539120,0.50031355,0.74883690,1.07545971
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-22 00:00:00.000000,0.00884462,0.01464552,0.03603689,73,122,301,27,43,128,0.00331911,0.00523657,0.01533735,0.48201845,0.73085470,1.01550718
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-23 00:00:00.000000,0.00865264,0.01425634,0.03451588,72,119,288,26,42,125,0.00314816,0.00510192,0.01503139,0.48038987,0.71215440,0.96813122
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-24 00:00:00.000000,0.00851320,0.01364501,0.03275018,71,114,273,26,42,120,0.00313914,0.00502713,0.01441496,0.47113780,0.67825713,0.96865504
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-25 00:00:00.000000,0.00843406,0.01313127,0.03087256,70,109,258,24,41,114,0.00294107,0.00495436,0.01366192,0.46140802,0.66061399,0.96443089
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-26 00:00:00.000000,0.00794674,0.01258798,0.02901347,66,105,242,23,40,107,0.00275428,0.00484210,0.01287095,0.43991530,0.65122053,0.93995454
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-27 00:00:00.000000,0.00743908,0.01199906,0.02717432,62,100,227,21,38,101,0.00258610,0.00463461,0.01209251,0.43044109,0.63184533,0.90610426
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-28 00:00:00.000000,0.00702628,0.01142704,0.02494078,58,95,208,20,37,94,0.00242340,0.00451667,0.01132964,0.41460620,0.61025821,0.86937648
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-29 00:00:00.000000,0.00665498,0.01098848,0.02273170,55,91,190,19,35,90,0.00231221,0.00421645,0.01081749,0.37274008,0.58852961,0.85358884
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-30 00:00:00.000000,0.00625220,0.01030964,0.02157513,52,86,180,18,32,86,0.00216227,0.00383400,0.01030121,0.34046295,0.56928813,0.83922607
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-03-31 00:00:00.000000,0.00587878,0.00954032,0.02055798,49,79,171,16,30,82,0.00202111,0.00366008,0.00982243,0.32274085,0.55752889,0.82676212
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-01 00:00:00.000000,0.00542581,0.00894359,0.01940892,45,74,162,15,28,77,0.00189075,0.00338901,0.00922725,0.33756918,0.54685617,0.81608852
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-02 00:00:00.000000,0.00477846,0.00841882,0.01823123,39,70,152,14,25,72,0.00175560,0.00310247,0.00866650,0.36256373,0.54408273,0.80181199
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-03 00:00:00.000000,0.00422335,0.00772250,0.01708673,35,64,142,13,23,68,0.00156533,0.00284206,0.00815796,0.36802387,0.54493492,0.75301952
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-04 00:00:00.000000,0.00393345,0.00717536,0.01600619,32,59,133,11,21,64,0.00141513,0.00262110,0.00772495,0.36982641,0.54768003,0.73872036
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-05 00:00:00.000000,0.00363391,0.00657756,0.01499968,30,54,125,11,20,61,0.00133260,0.00243452,0.00735887,0.37001384,0.54957254,0.71426331
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-06 00:00:00.000000,0.00344298,0.00612812,0.01409623,28,51,117,10,19,58,0.00125295,0.00231853,0.00703946,0.37150384,0.53781274,0.71721679
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-07 00:00:00.000000,0.00346462,0.00578532,0.01364192,28,48,114,10,19,55,0.00122965,0.00227309,0.00665805,0.37473592,0.53783862,0.73278811
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-08 00:00:00.000000,0.00337466,0.00549659,0.01354682,28,45,113,9,18,53,0.00110624,0.00221513,0.00637492,0.36986438,0.53937844,0.73199654
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-09 00:00:00.000000,0.00302666,0.00513133,0.01350878,25,42,112,8,17,51,0.00102506,0.00210967,0.00612102,0.36666338,0.53890625,0.74015425
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-10 00:00:00.000000,0.00268120,0.00492395,0.01352000,22,41,113,7,16,49,0.00094274,0.00200447,0.00587882,0.36390468,0.53562228,0.75623227
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-11 00:00:00.000000,0.00238286,0.00476856,0.01358368,19,39,113,7,16,47,0.00087921,0.00192916,0.00567400,0.34800219,0.53848536,0.76563946
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-12 00:00:00.000000,0.00212526,0.00468719,0.01371130,17,39,114,6,15,47,0.00082269,0.00186728,0.00569470,0.33307254,0.53031627,0.78340496
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-13 00:00:00.000000,0.00303542,0.00516506,0.01388664,25,43,116,6,15,47,0.00078140,0.00182062,0.00574130,0.32182654,0.51837644,0.82532062
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-14 00:00:00.000000,0.00396559,0.00575867,0.01414267,33,48,118,10,18,48,0.00121104,0.00216310,0.00584974,0.31227399,0.52192729,0.82724462
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-15 00:00:00.000000,0.00483595,0.00660927,0.01445665,40,55,120,11,19,51,0.00142176,0.00232763,0.00618110,0.30472852,0.52048112,0.81232452
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-16 00:00:00.000000,0.00520099,0.00716016,0.01477535,43,59,123,13,21,54,0.00160513,0.00252468,0.00649985,0.27112456,0.51906555,0.81222507
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-17 00:00:00.000000,0.00543991,0.00770456,0.01502377,45,64,125,14,22,56,0.00174605,0.00268339,0.00675454,0.27014192,0.51603476,0.79147124
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-18 00:00:00.000000,0.00556498,0.00800357,0.01503012,46,66,125,15,23,57,0.00182201,0.00278163,0.00690854,0.28902742,0.51120189,0.76857554
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-19 00:00:00.000000,0.00566759,0.00829410,0.01487454,47,69,124,16,24,58,0.00194724,0.00288514,0.00696972,0.29768881,0.50015705,0.75968914
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-20 00:00:00.000000,0.00516374,0.00771349,0.01447628,43,64,121,16,24,58,0.00193940,0.00298563,0.00697257,0.29700923,0.48286515,0.74815948
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-21 00:00:00.000000,0.00459437,0.00710027,0.01407847,38,59,117,13,22,56,0.00167096,0.00267316,0.00678017,0.28776027,0.46128804,0.73409985
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-22 00:00:00.000000,0.00393059,0.00618865,0.01362883,32,51,113,12,20,54,0.00150287,0.00244448,0.00656499,0.25835464,0.45046304,0.68937163
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-23 00:00:00.000000,0.00338871,0.00554800,0.01321693,28,46,110,10,18,52,0.00128727,0.00220618,0.00627933,0.23412366,0.41960096,0.67982509
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-24 00:00:00.000000,0.00288494,0.00503853,0.01279406,24,42,106,9,16,49,0.00111587,0.00199705,0.00589366,0.22207117,0.40336011,0.66118091
0,593,CanadaBCIsland,BC,Island,2020-09-15 21:34:01.002995,2020-04-25 00:00:00.000000,0.00263104,0.00464028,0.01230560,21,38,102,8,15,46,0.00099205,0.00183084,0.00557266,0.22191930,0.38701770,0.64391259
