FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-09 00:00:00.000000,0.01066356,0.02455688,0.04074211,34,78,130,21,39,85,0.00681147,0.01226028,0.02679315,0.84344389,0.94500319,1.08665190
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-10 00:00:00.000000,0.01379478,0.02754784,0.04982444,44,87,159,25,55,93,0.00811517,0.01731013,0.02943469,0.84344380,0.94500315,1.08664581
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-11 00:00:00.000000,0.01694135,0.03410537,0.05856730,54,108,186,33,65,112,0.01053497,0.02037853,0.03518968,0.84344363,0.94500305,1.08663338
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-12 00:00:00.000000,0.02106471,0.04192778,0.06722316,67,133,214,41,81,130,0.01307492,0.02561459,0.04077827,0.84344330,0.94500282,1.08660803
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-13 00:00:00.000000,0.02593544,0.05074082,0.07838521,82,161,250,51,101,155,0.01624854,0.03177796,0.04880261,0.84344267,0.94500229,1.08655632
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-14 00:00:00.000000,0.03183960,0.06142406,0.09323362,101,196,297,63,122,184,0.02000657,0.03834108,0.05782042,0.84344144,0.94500102,1.08645086
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-15 00:00:00.000000,0.03892133,0.07345680,0.11063094,124,234,353,78,147,215,0.02453854,0.04614318,0.06756540,0.84343906,0.94499790,1.08623584
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-16 00:00:00.000000,0.04876249,0.08854619,0.13074004,155,282,417,95,179,255,0.02994797,0.05619614,0.08015670,0.84343441,0.94498981,1.08579780
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-17 00:00:00.000000,0.05895428,0.10685900,0.15570132,188,341,496,115,213,310,0.03632100,0.06686148,0.09722119,0.84342525,0.94496680,1.08490678
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-18 00:00:00.000000,0.07072436,0.12701007,0.18454807,225,405,588,140,255,367,0.04399321,0.08000919,0.11528854,0.84340701,0.94481374,1.08310009
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-19 00:00:00.000000,0.08664446,0.15038421,0.21850490,276,479,697,172,301,435,0.05410643,0.09460713,0.13659902,0.84336997,0.94412663,1.07946026
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-20 00:00:00.000000,0.10662162,0.17815084,0.25850204,340,568,824,213,356,516,0.06686633,0.11162847,0.16169114,0.84329074,0.94032480,1.07222037
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-21 00:00:00.000000,0.13000914,0.21040482,0.30558854,414,671,975,262,419,610,0.08218243,0.13142243,0.19124214,0.84308848,0.93238322,1.05816924
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-22 00:00:00.000000,0.15605826,0.25045038,0.36100656,498,799,1152,317,500,721,0.09955852,0.15672685,0.22602912,0.81382645,0.92100906,1.04176000
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-23 00:00:00.000000,0.18577685,0.29338716,0.41996827,592,936,1340,380,592,851,0.11938150,0.18568605,0.26696705,0.76338889,0.90344280,1.02884803
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-24 00:00:00.000000,0.21850946,0.34224949,0.46450404,697,1092,1482,445,692,986,0.13961873,0.21687216,0.30920955,0.59927500,0.85708527,1.00019985
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-25 00:00:00.000000,0.25235037,0.39086924,0.51558247,805,1247,1645,530,818,1144,0.16627600,0.25652975,0.35871730,0.45688064,0.75334639,0.93037511
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-26 00:00:00.000000,0.27976942,0.42626958,0.56570795,892,1360,1805,608,927,1244,0.19080105,0.29069056,0.39000833,0.35041918,0.60386748,0.84248908
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-27 00:00:00.000000,0.29480875,0.44761150,0.58670540,940,1428,1872,631,1000,1365,0.19776842,0.31360892,0.42776944,0.26762369,0.44609132,0.69115799
0,1011,CanadaNLEastern,NL,Eastern,2020-09-14 15:25:59.728438,2020-03-28 00:00:00.000000,0.30032527,0.44966541,0.59091507,958,1435,1885,620,1033,1391,0.19444986,0.32385830,0.43617860,0.21838475,0.36824113,0.56518741
