FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-09 00:00:00.000000,0.01163068,0.07054755,0.22987336,5,31,102,0,5,30,0.00097095,0.01274559,0.06825567,0.41799147,0.59607447,0.75655492
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-10 00:00:00.000000,0.00604267,0.03414729,0.13996194,2,15,62,1,7,19,0.00356794,0.01594466,0.04412781,0.41799149,0.59603269,0.75653733
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-11 00:00:00.000000,0.00585461,0.02824651,0.07839134,2,12,34,0,3,11,0.00102268,0.00673574,0.02527969,0.41799154,0.59595758,0.75649922
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-12 00:00:00.000000,0.00286653,0.01605182,0.05076178,1,7,22,0,2,6,0.00126712,0.00589751,0.01449539,0.41799166,0.59582221,0.75641672
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-13 00:00:00.000000,0.00245326,0.01156941,0.02848029,1,5,12,0,1,4,0.00052038,0.00311028,0.00916285,0.41799197,0.59557763,0.75623846
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-14 00:00:00.000000,0.00130490,0.00685822,0.01823286,0,3,8,0,1,2,0.00047874,0.00233286,0.00572057,0.41799276,0.59513475,0.75585452
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-15 00:00:00.000000,0.00098224,0.00482860,0.01256024,0,2,5,0,0,1,0.00025008,0.00144151,0.00360466,0.41799478,0.59270056,0.75503267
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-16 00:00:00.000000,0.00356206,0.00678225,0.01283987,1,3,5,0,0,1,0.00019090,0.00096847,0.00248232,0.41799991,0.59035435,0.75329558
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-17 00:00:00.000000,0.00533148,0.00929905,0.01468689,2,4,6,0,1,2,0.00212441,0.00352581,0.00584096,0.41801296,0.58736820,0.74971891
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-18 00:00:00.000000,0.00724816,0.01307256,0.02039065,3,5,9,0,1,2,0.00218166,0.00378937,0.00607497,0.41804589,0.57987243,0.74268006
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-19 00:00:00.000000,0.00782005,0.01446638,0.02266523,3,6,10,1,2,3,0.00237958,0.00459233,0.00749861,0.41812594,0.57934839,0.74897892
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-20 00:00:00.000000,0.00852608,0.01559317,0.02487988,3,6,11,1,2,3,0.00239352,0.00491797,0.00780090,0.39206128,0.57178761,0.75697023
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-21 00:00:00.000000,0.00882536,0.01625790,0.02577645,3,7,11,1,2,3,0.00245856,0.00519856,0.00834359,0.37637200,0.56330622,0.75895254
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-22 00:00:00.000000,0.00910695,0.01661552,0.02654497,4,7,11,1,2,3,0.00246140,0.00529809,0.00869283,0.36340231,0.55806366,0.76819129
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-23 00:00:00.000000,0.00814528,0.01412464,0.02363433,3,6,10,1,2,3,0.00247733,0.00543348,0.00891525,0.33322875,0.54389399,0.76345373
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-24 00:00:00.000000,0.00676125,0.01177712,0.02145823,3,5,9,0,1,2,0.00185291,0.00338065,0.00634171,0.33568236,0.54164679,0.74540789
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-25 00:00:00.000000,0.00458312,0.00923368,0.01775082,2,4,7,0,1,2,0.00166083,0.00315781,0.00605926,0.34957815,0.53620252,0.71540266
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-26 00:00:00.000000,0.00374379,0.00803008,0.01742608,1,3,7,0,1,2,0.00123940,0.00243556,0.00550181,0.35964198,0.52320763,0.71521277
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-27 00:00:00.000000,0.00339468,0.00683675,0.01739366,1,3,7,0,1,2,0.00114113,0.00224638,0.00510322,0.33179919,0.52115315,0.71058558
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-28 00:00:00.000000,0.00288177,0.00640363,0.01736432,1,2,7,0,0,2,0.00093663,0.00209266,0.00488276,0.30965204,0.51282206,0.70091098
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-29 00:00:00.000000,0.00253980,0.00619780,0.01735532,1,2,7,0,0,2,0.00084603,0.00203076,0.00482216,0.30272846,0.50405365,0.68985981
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-30 00:00:00.000000,0.01092097,0.01827348,0.02892363,4,8,12,0,0,2,0.00078739,0.00196828,0.00477745,0.30246935,0.48791521,0.69672499
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-03-31 00:00:00.000000,0.01815005,0.03152629,0.04276868,8,14,19,2,5,7,0.00665438,0.01230167,0.01735297,0.30261805,0.47935827,0.69298295
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-01 00:00:00.000000,0.02801370,0.04752090,0.06355873,12,21,28,3,6,9,0.00886749,0.01446941,0.02091749,0.30329606,0.47414909,0.68333582
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-02 00:00:00.000000,0.03205724,0.05260233,0.07283853,14,23,32,4,7,11,0.01090819,0.01740888,0.02592372,0.30480122,0.47100235,0.66682154
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-03 00:00:00.000000,0.03558175,0.05719544,0.07947113,15,25,35,5,8,11,0.01175063,0.01846417,0.02679676,0.28717687,0.46870869,0.65655984
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-04 00:00:00.000000,0.03691494,0.05976364,0.08224914,16,26,36,5,8,12,0.01247267,0.01917340,0.02798433,0.24379227,0.45351105,0.62590264
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-05 00:00:00.000000,0.03821413,0.06137763,0.08387216,17,27,37,5,8,12,0.01277339,0.01916490,0.02750135,0.23409373,0.45712841,0.62512190
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-06 00:00:00.000000,0.02925521,0.04776610,0.06776045,13,21,30,5,8,12,0.01293799,0.01934279,0.02795565,0.22840883,0.45241469,0.63027533
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-07 00:00:00.000000,0.01990256,0.03361980,0.05157485,8,14,22,1,3,6,0.00399822,0.00812944,0.01437483,0.22550555,0.44565970,0.63151558
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-08 00:00:00.000000,0.00766608,0.01642194,0.03240244,3,7,14,1,2,4,0.00293151,0.00621740,0.00977705,0.21830204,0.45058641,0.62643743
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-09 00:00:00.000000,0.00427299,0.01037933,0.02251450,1,4,10,0,1,2,0.00094556,0.00286264,0.00618393,0.19371561,0.45156110,0.62616201
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-10 00:00:00.000000,0.00165018,0.00555511,0.01543996,0,2,6,0,0,1,0.00056264,0.00199770,0.00423028,0.19280419,0.45422662,0.62111215
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-11 00:00:00.000000,0.00084909,0.00347893,0.01079395,0,1,4,0,0,1,0.00020793,0.00102128,0.00294281,0.19160560,0.45518037,0.59980057
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-12 00:00:00.000000,0.00035087,0.00196198,0.00766672,0,0,3,0,0,0,0.00011172,0.00068028,0.00201873,0.19005098,0.45532178,0.60641469
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-13 00:00:00.000000,0.00017309,0.00119654,0.00543406,0,0,2,0,0,0,0.00004513,0.00034117,0.00143321,0.18823869,0.45637497,0.62427998
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-14 00:00:00.000000,0.00007502,0.00066358,0.00374510,0,0,1,0,0,0,0.00002299,0.00021805,0.00101750,0.18641920,0.45517942,0.63610672
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-15 00:00:00.000000,0.00003630,0.00038639,0.00253308,0,0,1,0,0,0,0.00000985,0.00011565,0.00072257,0.18482580,0.45045979,0.63382084
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-16 00:00:00.000000,0.00001623,0.00021645,0.00171326,0,0,0,0,0,0,0.00000486,0.00006868,0.00048945,0.17836934,0.44872000,0.61313764
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-17 00:00:00.000000,0.00000775,0.00012228,0.00116931,0,0,0,0,0,0,0.00000215,0.00003732,0.00033102,0.17701371,0.45580061,0.60626243
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-18 00:00:00.000000,0.00000352,0.00006886,0.00083270,0,0,0,0,0,0,0.00000104,0.00002062,0.00022382,0.17598731,0.45733649,0.63058099
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-19 00:00:00.000000,0.00000166,0.00003783,0.00059597,0,0,0,0,0,0,0.00000047,0.00001134,0.00015633,0.17537808,0.45832179,0.64541060
0,6101,CanadaNWTNWT,NWT,NWT,2020-09-01 12:51:57.581665,2020-04-20 00:00:00.000000,0.00000076,0.00002102,0.00042887,0,0,0,0,0,0,0.00000022,0.00000681,0.00011249,0.17523781,0.45996567,0.66194681
