FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-09 00:00:00.000000,0.00166730,0.00286548,0.00515166,13,22,40,3,8,18,0.00042252,0.00105301,0.00231636,0.58981620,0.75073100,0.96097742
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-10 00:00:00.000000,0.00256022,0.00376299,0.00634783,19,29,49,6,11,22,0.00081528,0.00144695,0.00282494,0.58981620,0.75070170,0.96096431
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-11 00:00:00.000000,0.00334770,0.00494524,0.00781276,26,38,60,10,15,26,0.00128309,0.00196374,0.00335071,0.58981620,0.75065569,0.96093854
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-12 00:00:00.000000,0.00418326,0.00638302,0.00986143,32,49,76,14,20,33,0.00181983,0.00260854,0.00429650,0.58981620,0.75058333,0.96088688
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-13 00:00:00.000000,0.00503323,0.00791988,0.01206633,39,61,94,17,25,40,0.00228350,0.00329291,0.00520970,0.58981620,0.75046926,0.96078103
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-14 00:00:00.000000,0.00599919,0.00958044,0.01430821,46,74,111,22,31,49,0.00287886,0.00406446,0.00639080,0.58981619,0.75028841,0.96055967
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-15 00:00:00.000000,0.00709707,0.01149943,0.01664675,55,89,129,27,38,60,0.00349231,0.00495882,0.00776035,0.58981617,0.74999856,0.96008771
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-16 00:00:00.000000,0.00880288,0.01358548,0.01923874,68,105,150,32,46,72,0.00410667,0.00591354,0.00930481,0.58981612,0.74952405,0.95906446
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-17 00:00:00.000000,0.01074112,0.01551782,0.02221415,83,121,173,39,54,83,0.00505818,0.00703642,0.01072423,0.58981596,0.74854873,0.95681715
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-18 00:00:00.000000,0.01281177,0.01789556,0.02560081,99,139,199,45,65,98,0.00583114,0.00835587,0.01268318,0.58981548,0.74573992,0.95279936
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-19 00:00:00.000000,0.01496687,0.02050428,0.02893631,116,159,225,53,76,117,0.00690129,0.00982645,0.01504967,0.55182175,0.73330647,0.95222820
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-20 00:00:00.000000,0.01699914,0.02371329,0.03290830,132,184,256,62,89,137,0.00802427,0.01148165,0.01763470,0.53803537,0.71663999,0.95158137
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-21 00:00:00.000000,0.01891752,0.02707373,0.03801117,147,211,296,71,102,155,0.00910998,0.01319522,0.01999888,0.50973143,0.70430374,0.94954467
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-22 00:00:00.000000,0.02103168,0.03074831,0.04386845,164,239,342,78,118,176,0.01005654,0.01520456,0.02268093,0.47259889,0.67644351,0.92544768
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-23 00:00:00.000000,0.02443973,0.03401211,0.05052077,190,265,394,86,134,203,0.01107959,0.01729279,0.02614880,0.45825468,0.63171341,0.86489949
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-24 00:00:00.000000,0.02642721,0.03713324,0.05720300,206,289,446,94,148,231,0.01216260,0.01910198,0.02969694,0.37956307,0.56998015,0.80903212
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-25 00:00:00.000000,0.02837295,0.04016356,0.06391613,221,313,498,103,162,257,0.01331590,0.02082015,0.03307262,0.31612640,0.51028164,0.76099909
0,0,CanadaNewBrunswick,New Brunswick,,2020-10-16 14:12:35.897193,2020-03-26 00:00:00.000000,0.02978789,0.04247596,0.07006646,232,331,546,113,175,282,0.01451288,0.02250215,0.03626340,0.24151213,0.46537572,0.70885112
