FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-09 00:00:00.000000,0.00425676,0.01897643,0.06772363,4,20,71,0,8,40,0.00053130,0.00772904,0.03871726,0.47304604,0.58963167,0.75455402
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-10 00:00:00.000000,0.00521153,0.01815126,0.06357913,5,19,67,2,11,38,0.00254010,0.01039446,0.03670395,0.47304601,0.58963154,0.75455402
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-11 00:00:00.000000,0.00621894,0.01895236,0.06258121,6,20,66,3,11,37,0.00326611,0.01061172,0.03586643,0.47304596,0.58963124,0.75455401
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-12 00:00:00.000000,0.00697141,0.01995401,0.06396185,7,21,67,3,11,38,0.00377075,0.01125377,0.03662007,0.47304591,0.58963056,0.75455398
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-13 00:00:00.000000,0.00730503,0.02154795,0.06602381,7,22,69,4,12,39,0.00419446,0.01177019,0.03749228,0.47304612,0.58962901,0.75455387
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-14 00:00:00.000000,0.00762360,0.02283037,0.06778517,8,24,71,4,13,40,0.00435102,0.01264291,0.03839474,0.47305023,0.58962546,0.75448458
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-15 00:00:00.000000,0.00856699,0.02410022,0.06958365,9,25,73,5,14,41,0.00489674,0.01329250,0.03937193,0.47310878,0.58961735,0.75339217
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-16 00:00:00.000000,0.00998538,0.02500287,0.07064130,10,26,74,5,15,42,0.00539334,0.01439506,0.04037807,0.48277611,0.58959880,0.75228611
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-17 00:00:00.000000,0.01180054,0.02641754,0.07170065,12,27,75,6,15,43,0.00638759,0.01492818,0.04133445,0.48843301,0.58951467,0.75171273
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-18 00:00:00.000000,0.01330100,0.02823855,0.07334601,14,29,77,7,16,44,0.00715840,0.01575814,0.04240296,0.49301068,0.58993798,0.74966642
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-19 00:00:00.000000,0.01472147,0.02992533,0.07520346,15,31,79,8,17,46,0.00798810,0.01619150,0.04350272,0.49632459,0.59152026,0.74305602
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-20 00:00:00.000000,0.01614062,0.03080270,0.07707066,17,32,81,9,18,47,0.00878498,0.01725138,0.04459131,0.49853946,0.58876401,0.74036040
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-21 00:00:00.000000,0.01628970,0.03180000,0.07893298,17,33,83,9,19,48,0.00899351,0.01831878,0.04565870,0.48911817,0.58478501,0.75544436
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-22 00:00:00.000000,0.01606413,0.03305741,0.07924457,17,35,83,9,20,49,0.00893890,0.01917050,0.04649874,0.46802314,0.58615365,0.75507719
0,3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-29 12:26:12.322549,2020-03-23 00:00:00.000000,0.01630338,0.03379056,0.07885038,17,35,83,9,20,49,0.00901989,0.01957102,0.04649209,0.46319356,0.59661745,0.75540639
