FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-09 00:00:00.000000,0.00266958,0.01360343,0.04870689,5,28,102,2,10,47,0.00123349,0.00517477,0.02273104,0.53680230,0.69609739,1.00487634
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-10 00:00:00.000000,0.00330557,0.01420072,0.04577653,6,29,96,3,13,51,0.00165641,0.00633212,0.02426100,0.53680281,0.69610204,1.00488423
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-11 00:00:00.000000,0.00379732,0.01649995,0.04736494,8,34,99,4,15,52,0.00203073,0.00746467,0.02494455,0.53680368,0.69611066,1.00489677
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-12 00:00:00.000000,0.00443430,0.01777511,0.04872814,9,37,102,4,18,54,0.00233332,0.00873355,0.02591771,0.53680515,0.69612659,1.00491636
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-13 00:00:00.000000,0.00506729,0.01968200,0.05059212,10,41,106,5,20,56,0.00270458,0.00948693,0.02684904,0.53680774,0.69615595,1.00494611
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-14 00:00:00.000000,0.00577073,0.02159952,0.05323995,12,45,112,6,22,58,0.00307562,0.01053681,0.02784469,0.53681375,0.69620988,1.00498949
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-15 00:00:00.000000,0.00651080,0.02355249,0.05860880,13,49,123,7,24,61,0.00348347,0.01151094,0.02933555,0.53684368,0.69630846,1.00504926
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-16 00:00:00.000000,0.00792386,0.02459332,0.06264709,16,51,132,8,25,66,0.00383845,0.01223559,0.03157688,0.53712416,0.69698462,1.00512645
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-17 00:00:00.000000,0.00937997,0.02664605,0.06694754,19,56,141,9,27,71,0.00468282,0.01294619,0.03397479,0.54018106,0.70485268,1.00522417
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-18 00:00:00.000000,0.01116812,0.02918030,0.07121724,23,61,150,10,29,76,0.00511375,0.01408663,0.03649044,0.54256493,0.72068143,1.00537751
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-19 00:00:00.000000,0.01223075,0.03168089,0.07769207,25,66,163,11,32,82,0.00537358,0.01556696,0.03920121,0.55819826,0.73815637,1.00581174
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-20 00:00:00.000000,0.01201966,0.03369412,0.08456167,25,71,178,11,36,89,0.00564580,0.01736858,0.04222027,0.59645733,0.73530948,1.00771959
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-21 00:00:00.000000,0.01191789,0.03691885,0.09164041,25,77,193,12,39,96,0.00599280,0.01879858,0.04564130,0.60056353,0.75902967,1.03131557
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-22 00:00:00.000000,0.01192657,0.04032119,0.09894275,25,85,208,13,43,104,0.00641411,0.02062490,0.04945849,0.60318664,0.77750679,1.05892080
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-23 00:00:00.000000,0.01573358,0.04396988,0.10437177,33,92,220,14,48,113,0.00689774,0.02315812,0.05362436,0.60688235,0.78424375,1.06226812
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-24 00:00:00.000000,0.01725227,0.04826513,0.11281737,36,101,237,16,53,122,0.00793634,0.02529406,0.05800714,0.59830454,0.79187357,1.06094059
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-25 00:00:00.000000,0.02391333,0.05330355,0.12181273,50,112,256,19,57,132,0.00927836,0.02734271,0.06268665,0.61151180,0.80587012,1.06108678
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-26 00:00:00.000000,0.02851245,0.05813457,0.13135417,60,122,277,22,62,142,0.01062379,0.02963229,0.06767387,0.60373156,0.81497956,1.06108760
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-27 00:00:00.000000,0.03375047,0.06387529,0.14119544,71,134,297,24,69,153,0.01178456,0.03292128,0.07295798,0.59941001,0.81465304,1.05815140
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-28 00:00:00.000000,0.03637444,0.07071964,0.15243170,76,149,321,27,76,165,0.01321674,0.03604301,0.07848684,0.59673762,0.82288744,1.04895354
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-29 00:00:00.000000,0.03869752,0.07789280,0.16193532,81,164,341,31,82,177,0.01491045,0.03908973,0.08412981,0.59003631,0.81464097,1.03668378
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-30 00:00:00.000000,0.04175298,0.08390571,0.17725789,88,176,373,35,87,189,0.01683737,0.04143010,0.08967151,0.58469226,0.79167321,1.03214616
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-03-31 00:00:00.000000,0.04501527,0.08932604,0.18859781,94,188,397,39,93,200,0.01875034,0.04426780,0.09494277,0.56521389,0.78044897,1.01590773
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-01 00:00:00.000000,0.04462714,0.09643116,0.19433491,94,203,409,41,101,207,0.01966418,0.04796434,0.09857340,0.54575259,0.77537883,0.98831146
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-02 00:00:00.000000,0.04633764,0.10142035,0.19767952,97,213,416,41,106,213,0.01950329,0.05068297,0.10105205,0.53098658,0.74715634,0.96302035
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-03 00:00:00.000000,0.04471625,0.10592649,0.20662109,94,223,435,42,113,229,0.02026214,0.05373593,0.10878893,0.50916813,0.73533473,0.94939044
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-04 00:00:00.000000,0.04314961,0.11257867,0.21581820,90,237,455,43,116,241,0.02073403,0.05511311,0.11443384,0.47778524,0.71903035,0.94668888
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-05 00:00:00.000000,0.04152717,0.11690210,0.22331825,87,246,470,42,121,251,0.01999724,0.05762920,0.11932359,0.44064244,0.65925717,0.92809578
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-06 00:00:00.000000,0.04037982,0.11813083,0.22895471,85,249,482,40,126,260,0.01925229,0.05990929,0.12332247,0.43696744,0.63677100,0.87151396
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-07 00:00:00.000000,0.03982278,0.11643718,0.23414735,83,245,493,39,128,265,0.01894577,0.06079644,0.12608329,0.43616880,0.62453330,0.84860464
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-08 00:00:00.000000,0.03889415,0.11529014,0.23903047,82,243,504,38,129,270,0.01843478,0.06120745,0.12849585,0.43685258,0.59467697,0.80786931
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-09 00:00:00.000000,0.03779098,0.11465241,0.24374993,79,241,514,38,127,275,0.01803369,0.06031043,0.13081514,0.43102668,0.56778043,0.80293389
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-10 00:00:00.000000,0.03694811,0.11449940,0.24841788,77,241,523,37,126,277,0.01769742,0.06001047,0.13176695,0.41044050,0.55859240,0.78038959
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-11 00:00:00.000000,0.03627323,0.11323133,0.25306385,76,238,533,36,125,276,0.01730810,0.05968850,0.13107624,0.39435543,0.55106737,0.75379236
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-12 00:00:00.000000,0.03563600,0.11164691,0.25317110,75,235,533,35,125,273,0.01690210,0.05973702,0.12958912,0.39320594,0.55044636,0.76372878
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-13 00:00:00.000000,0.03443972,0.11064956,0.25555215,72,233,538,34,126,268,0.01637187,0.06006365,0.12742619,0.39232066,0.54772807,0.77169813
0,3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-08 16:34:14.726911,2020-04-14 00:00:00.000000,0.03286923,0.10983735,0.25492496,69,231,537,33,122,263,0.01568693,0.05824752,0.12489920,0.39278216,0.55253489,0.77685370
