FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-09 00:00:00.000000,0.00274216,0.01743684,0.06066402,3,20,70,1,8,37,0.00108939,0.00721549,0.03223376,0.58163195,0.76458235,1.09156447
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-10 00:00:00.000000,0.00268500,0.01584132,0.06108101,3,18,71,2,12,46,0.00182813,0.01035583,0.04031151,0.58163615,0.76460092,1.09388829
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-11 00:00:00.000000,0.00302748,0.01851219,0.06820022,3,21,79,1,13,50,0.00166513,0.01124471,0.04359593,0.58164398,0.76463753,1.09754393
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-12 00:00:00.000000,0.00293224,0.02025690,0.07063700,3,23,82,2,15,53,0.00188747,0.01289407,0.04581145,0.58165809,0.76470964,1.10316727
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-13 00:00:00.000000,0.00311500,0.02268180,0.07278353,3,26,84,2,16,54,0.00190885,0.01388139,0.04714756,0.58168299,0.76485172,1.10687311
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-14 00:00:00.000000,0.00325103,0.02551895,0.07623875,3,29,88,2,18,56,0.00201295,0.01563974,0.04855184,0.58172633,0.76513286,1.10717551
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-15 00:00:00.000000,0.00369073,0.02869559,0.08703060,4,33,101,2,20,64,0.00219793,0.01759069,0.05522221,0.58180125,0.76570477,1.10757332
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-16 00:00:00.000000,0.00655795,0.03322733,0.10090506,7,38,117,2,22,73,0.00249619,0.01917504,0.06304395,0.58193216,0.77610855,1.10805014
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-17 00:00:00.000000,0.00843390,0.03768875,0.11645082,9,43,135,5,26,85,0.00478962,0.02268077,0.07344324,0.58218545,0.78783609,1.10856118
0,3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-29 16:58:45.368906,2020-03-18 00:00:00.000000,0.01093102,0.04497762,0.13447484,12,52,156,7,30,98,0.00602438,0.02653383,0.08474830,0.59703876,0.79968709,1.19948768
