FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-09 00:00:00.000000,0.02414220,0.06182145,0.11775643,45,116,222,20,58,109,0.01061632,0.03094843,0.05810944,0.54702439,0.69687439,0.93091357
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-10 00:00:00.000000,0.02995054,0.07154800,0.13328767,56,135,251,22,62,116,0.01194207,0.03301432,0.06141760,0.54702429,0.69686292,0.93090538
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-11 00:00:00.000000,0.03612062,0.08004915,0.15194239,68,151,287,27,68,128,0.01454771,0.03628269,0.06818764,0.54702404,0.69684679,0.93088169
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-12 00:00:00.000000,0.04263640,0.09019612,0.16947688,80,170,320,33,79,143,0.01748590,0.04194578,0.07606280,0.54702335,0.69682410,0.93081041
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-13 00:00:00.000000,0.04956232,0.10097595,0.19069643,93,190,360,39,90,160,0.02082105,0.04782013,0.08512121,0.54702152,0.69679211,0.93059136
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-14 00:00:00.000000,0.05694412,0.11421249,0.21427028,107,215,404,46,103,180,0.02457797,0.05498111,0.09550108,0.54701666,0.69674681,0.92991189
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-15 00:00:00.000000,0.06766322,0.12974457,0.24177005,127,245,456,55,117,204,0.02943359,0.06235480,0.10812347,0.54700393,0.69668212,0.92780357
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-16 00:00:00.000000,0.07748637,0.14927708,0.27329543,146,282,516,65,131,232,0.03452261,0.06947569,0.12303777,0.54697152,0.69658824,0.92134687
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-17 00:00:00.000000,0.08915115,0.17027448,0.30480161,168,321,575,75,145,263,0.03986091,0.07695097,0.13959320,0.54689391,0.69373137,0.91701791
0,3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-10-11 14:39:42.532118,2020-03-18 00:00:00.000000,0.10254012,0.19393972,0.33939507,193,366,641,87,158,298,0.04630483,0.08398834,0.15801580,0.54580883,0.69049801,0.91634511
