FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-09 00:00:00.000000,0.00302888,0.01002280,0.02781951,5,17,48,0,7,29,0.00035444,0.00429398,0.01698317,0.62942397,0.83890600,1.17353782
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-10 00:00:00.000000,0.00274825,0.00989263,0.02959669,4,17,51,3,10,31,0.00188333,0.00606749,0.01811986,0.62942404,0.83890600,1.17353140
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-11 00:00:00.000000,0.00361946,0.01137414,0.03110902,6,19,54,3,11,33,0.00207924,0.00668786,0.01903447,0.62942419,0.83890600,1.17351508
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-12 00:00:00.000000,0.00407051,0.01251670,0.03353459,7,21,58,4,13,35,0.00234879,0.00762968,0.02043985,0.62942438,0.83890600,1.17347370
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-13 00:00:00.000000,0.00459637,0.01395402,0.03581504,8,24,62,4,14,38,0.00264365,0.00838197,0.02178826,0.62942408,0.83890600,1.17336960
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-14 00:00:00.000000,0.00518637,0.01603113,0.03805875,9,28,66,5,17,40,0.00311381,0.00970266,0.02327514,0.62941995,0.84052891,1.17311279
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-15 00:00:00.000000,0.00585525,0.01871775,0.04022420,10,32,70,6,19,43,0.00367403,0.01123217,0.02484505,0.62939487,0.84643888,1.16440157
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-16 00:00:00.000000,0.00855216,0.02283808,0.04500911,14,40,78,7,22,46,0.00437646,0.01304324,0.02647146,0.62926840,0.85653931,1.14250875
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-17 00:00:00.000000,0.01164638,0.02685342,0.05004894,20,47,87,12,27,51,0.00690572,0.01582214,0.02919438,0.62868773,0.85730125,1.14251074
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-18 00:00:00.000000,0.01525942,0.03168250,0.05744755,26,55,100,16,32,60,0.00930253,0.01878488,0.03438781,0.62634379,0.86724321,1.14793391
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-19 00:00:00.000000,0.02026424,0.03751749,0.06718014,35,65,117,20,38,69,0.01193160,0.02215791,0.03992062,0.61964702,0.87142006,1.17314571
0,3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-01 12:55:49.537971,2020-03-20 00:00:00.000000,0.02414950,0.04487015,0.08145421,42,78,142,26,45,83,0.01489642,0.02611999,0.04739798,0.62692460,0.88895434,1.15601544
