FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-09 00:00:00.000000,0.00316550,0.01128192,0.03196380,18,65,185,9,26,75,0.00170879,0.00461277,0.01310110,0.61997850,0.78351632,1.06388000
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-10 00:00:00.000000,0.00378638,0.01267638,0.03347485,21,73,193,12,30,86,0.00224171,0.00518143,0.01490272,0.61997851,0.78351364,1.06387865
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-11 00:00:00.000000,0.00463233,0.01407585,0.03707661,26,81,214,15,32,97,0.00272328,0.00560727,0.01681170,0.61997850,0.78350847,1.06387612
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-12 00:00:00.000000,0.00560646,0.01602918,0.04006829,32,92,232,18,37,109,0.00314005,0.00648692,0.01886086,0.61997846,0.78349797,1.06387017
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-13 00:00:00.000000,0.00675730,0.01794034,0.04407765,39,103,255,21,42,122,0.00373370,0.00730751,0.02107600,0.61997844,0.78347513,1.06385188
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-14 00:00:00.000000,0.00810793,0.02005502,0.04782734,46,116,276,23,49,135,0.00410591,0.00847606,0.02348224,0.61997895,0.78342105,1.06378426
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-15 00:00:00.000000,0.00969372,0.02232440,0.05238872,56,129,303,29,54,151,0.00502598,0.00946639,0.02610513,0.61998260,0.78328024,1.06351079
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-16 00:00:00.000000,0.01143426,0.02466799,0.05692482,66,142,329,35,61,167,0.00620763,0.01053867,0.02897103,0.62000147,0.78561132,1.06237261
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-17 00:00:00.000000,0.01375657,0.02778745,0.06212851,79,160,359,38,66,186,0.00661028,0.01149191,0.03212318,0.62008778,0.79103469,1.05771195
0,3565,CanadaOntarioWaterloo,Ontario,Waterloo,2020-07-31 12:39:44.520170,2020-03-18 00:00:00.000000,0.01490200,0.03105710,0.06742227,86,179,390,46,73,206,0.00795517,0.01273198,0.03557464,0.58424570,0.78500785,1.04059655
