FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-09 00:00:00.000000,0.00187415,0.01200059,0.03072210,9,58,148,4,33,89,0.00088312,0.00697005,0.01840552,0.77043934,0.97598446,1.21596216
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-10 00:00:00.000000,0.00255608,0.01435954,0.03184701,12,69,154,8,38,84,0.00177566,0.00794188,0.01742186,0.77043934,0.97598447,1.21596214
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-11 00:00:00.000000,0.00383592,0.01726478,0.03454926,18,83,167,10,49,108,0.00211759,0.01011882,0.02248537,0.77043934,0.97598451,1.21596212
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-12 00:00:00.000000,0.00511001,0.02057694,0.04101564,24,99,198,16,56,131,0.00344657,0.01162708,0.02722127,0.77043934,0.97598465,1.21596204
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-13 00:00:00.000000,0.00724023,0.02425861,0.04582656,35,117,222,20,70,157,0.00425047,0.01447669,0.03241491,0.77043935,0.97964819,1.21596181
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-14 00:00:00.000000,0.00958329,0.02857258,0.05710176,46,138,276,30,77,207,0.00619794,0.01599788,0.04274536,0.77043935,0.98164994,1.21596116
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-15 00:00:00.000000,0.01320278,0.03322388,0.07241887,63,161,350,38,91,250,0.00799602,0.01879400,0.05178115,0.77043935,0.98222995,1.21595916
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-16 00:00:00.000000,0.01613576,0.03984840,0.08981196,78,193,435,48,107,320,0.00991115,0.02226620,0.06620818,0.77043934,0.98545349,1.21595293
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-17 00:00:00.000000,0.02004543,0.04635343,0.11366892,97,224,550,54,124,385,0.01126864,0.02575799,0.07960419,0.77043927,0.98997003,1.21593321
0,2405,CanadaQuebecEstrie,Quebec,Estrie,2020-07-31 12:39:36.762377,2020-03-18 00:00:00.000000,0.02459459,0.05618554,0.14303199,119,272,693,72,156,459,0.01499200,0.03227801,0.09475011,0.77043804,1.01257463,1.25206748
