FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-09 00:00:00.000000,0.00655516,0.02518691,0.06607219,5,22,59,2,9,24,0.00250095,0.01026959,0.02713420,0.59244782,0.80268184,1.04888239
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-10 00:00:00.000000,0.00764263,0.02195920,0.05866989,6,19,53,4,12,29,0.00441293,0.01360912,0.03265295,0.59244782,0.80270775,1.04908929
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-11 00:00:00.000000,0.00906776,0.02518881,0.06539197,8,22,59,4,12,33,0.00522799,0.01414962,0.03663583,0.59244783,0.80277237,1.04943487
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-12 00:00:00.000000,0.01057177,0.02757597,0.07283448,9,25,66,5,14,35,0.00621227,0.01629647,0.03952731,0.59244787,0.80293329,1.05001018
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-13 00:00:00.000000,0.01216163,0.03125391,0.08109455,11,28,73,6,16,38,0.00701022,0.01803004,0.04272689,0.59244801,0.80333251,1.05096283
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-14 00:00:00.000000,0.01359229,0.03417878,0.09027221,12,31,81,7,18,42,0.00789945,0.02036684,0.04650380,0.59244860,0.80406987,1.05252656
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-15 00:00:00.000000,0.01525879,0.03761937,0.10047522,13,34,91,8,20,46,0.00883745,0.02286276,0.05177812,0.59245100,0.80408557,1.05505737
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-16 00:00:00.000000,0.01822324,0.04328003,0.11398522,16,39,103,8,22,52,0.00991844,0.02435122,0.05763666,0.59246086,0.80896037,1.05906257
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-17 00:00:00.000000,0.02144262,0.05167662,0.12873052,19,46,116,11,26,60,0.01215171,0.02970201,0.06664891,0.59250134,0.80988338,1.06518372
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-18 00:00:00.000000,0.02790014,0.06195409,0.14574475,25,56,132,13,32,69,0.01522328,0.03538247,0.07692620,0.59266717,0.83004545,1.07405699
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-19 00:00:00.000000,0.03449331,0.07245603,0.16472521,31,65,149,17,37,80,0.01900468,0.04176245,0.08831517,0.59333883,0.84220906,1.07770161
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-20 00:00:00.000000,0.04099109,0.08552230,0.18582550,37,77,168,19,44,86,0.02169040,0.04958815,0.09545365,0.61587383,0.85426726,1.09905763
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-21 00:00:00.000000,0.04804628,0.09936596,0.20927667,43,90,189,22,53,97,0.02458724,0.05849258,0.10697731,0.69823937,0.86697770,1.10906117
0,2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-09-17 11:40:02.632972,2020-03-22 00:00:00.000000,0.05399982,0.11486061,0.23533567,48,104,213,25,62,109,0.02773054,0.06843932,0.12040434,0.69625853,0.87395975,1.11188411
