FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-09 00:00:00.000000,0.00390473,0.01494931,0.03381357,14,55,126,4,24,62,0.00114571,0.00667300,0.01675011,0.68491085,0.89366274,1.08790548
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-10 00:00:00.000000,0.00393726,0.01539258,0.03576487,14,57,133,7,31,67,0.00208909,0.00844086,0.01803810,0.68531990,0.89366270,1.08754428
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-11 00:00:00.000000,0.00444640,0.01720806,0.03850671,16,64,143,7,33,72,0.00197606,0.00894999,0.01948587,0.68620419,0.89366259,1.08696149
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-12 00:00:00.000000,0.00458132,0.01890706,0.04096598,17,70,152,8,37,79,0.00221425,0.01007645,0.02120057,0.68810580,0.89366228,1.08602328
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-13 00:00:00.000000,0.00495431,0.02070666,0.04370384,18,77,162,8,39,87,0.00235697,0.01057641,0.02342977,0.69214895,0.89366129,1.08451830
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-14 00:00:00.000000,0.00547814,0.02213581,0.04800453,20,82,178,9,43,95,0.00246667,0.01176128,0.02571328,0.70055808,0.89365806,1.08211780
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-15 00:00:00.000000,0.00563860,0.02391877,0.05158770,21,89,192,9,47,105,0.00254328,0.01279390,0.02822212,0.70586600,0.89246460,1.07832196
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-16 00:00:00.000000,0.00824167,0.02699363,0.05586000,30,100,208,9,50,117,0.00266904,0.01358530,0.03142410,0.70651733,0.89022124,1.07239214
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-17 00:00:00.000000,0.01086139,0.03043134,0.06102916,40,113,227,19,57,124,0.00510191,0.01545432,0.03352057,0.71872807,0.88726951,1.06324482
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-18 00:00:00.000000,0.01473069,0.03269911,0.06562274,54,121,244,23,63,134,0.00640913,0.01703696,0.03607998,0.75323804,0.88837303,1.04939366
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-19 00:00:00.000000,0.01787979,0.03561533,0.07132157,66,132,265,30,69,143,0.00822009,0.01874034,0.03860054,0.75183576,0.89424159,1.03648318
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-20 00:00:00.000000,0.02117567,0.03870139,0.07746564,78,144,288,36,76,157,0.00985913,0.02048438,0.04224553,0.74500935,0.89199938,1.04814539
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-21 00:00:00.000000,0.02429707,0.04250282,0.08409118,90,158,313,43,83,171,0.01167953,0.02244559,0.04603520,0.71575060,0.88760051,1.03802165
0,474,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-09-22 18:11:09.538187,2020-03-22 00:00:00.000000,0.02747448,0.04596361,0.09242674,102,171,344,49,90,185,0.01325019,0.02436002,0.04986718,0.71265241,0.88567568,1.02371366
