FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-09 00:00:00.000000,0.00027801,0.00046121,0.00079228,59,99,170,29,55,120,0.00013848,0.00025962,0.00055789,0.60829529,0.73468854,0.88354708
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-10 00:00:00.000000,0.00031508,0.00051919,0.00089886,67,111,193,37,64,108,0.00017515,0.00029877,0.00050587,0.60829529,0.73468103,0.88354679
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-11 00:00:00.000000,0.00036751,0.00058402,0.00091086,79,125,196,43,71,118,0.00020181,0.00033327,0.00054948,0.60829528,0.73466419,0.88354583
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-12 00:00:00.000000,0.00041541,0.00065124,0.00095037,89,140,204,50,79,126,0.00023587,0.00036764,0.00058837,0.60829525,0.73462481,0.88354248
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-13 00:00:00.000000,0.00047117,0.00070875,0.00104986,101,152,226,57,86,136,0.00026591,0.00039934,0.00063266,0.60829517,0.73453005,0.88353048
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-14 00:00:00.000000,0.00052593,0.00076725,0.00112759,113,165,242,63,95,147,0.00029471,0.00044164,0.00068524,0.60829490,0.73429774,0.88348640
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-15 00:00:00.000000,0.00058571,0.00085660,0.00124595,126,184,268,69,106,156,0.00032386,0.00049401,0.00072772,0.60829401,0.73401137,0.88332135
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-16 00:00:00.000000,0.00066387,0.00093554,0.00137086,142,201,295,76,115,173,0.00035621,0.00053622,0.00080747,0.60829100,0.73326090,0.88269567
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-17 00:00:00.000000,0.00074828,0.00101097,0.00152257,161,217,327,92,125,191,0.00042893,0.00058218,0.00088983,0.60828020,0.73021900,0.87866320
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-18 00:00:00.000000,0.00084507,0.00110945,0.00166338,182,238,358,104,137,218,0.00048357,0.00063675,0.00101298,0.60316801,0.72614602,0.86831311
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-19 00:00:00.000000,0.00094763,0.00122200,0.00188541,204,263,406,117,151,244,0.00054483,0.00070266,0.00113568,0.59495538,0.71954028,0.84628140
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-20 00:00:00.000000,0.00104450,0.00135747,0.00210700,224,292,453,128,168,271,0.00059788,0.00078201,0.00126117,0.58392982,0.69865948,0.83003888
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-21 00:00:00.000000,0.00114745,0.00144431,0.00224567,247,311,483,142,184,301,0.00066321,0.00085739,0.00140148,0.51815107,0.65717997,0.78382441
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-22 00:00:00.000000,0.00116384,0.00150871,0.00223857,250,324,482,150,197,314,0.00069658,0.00091464,0.00146071,0.41446777,0.58685929,0.73560198
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-23 00:00:00.000000,0.00114531,0.00152585,0.00233204,246,328,502,147,201,329,0.00068585,0.00093684,0.00152906,0.32977017,0.49364004,0.65445236
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-24 00:00:00.000000,0.00101840,0.00144577,0.00233044,219,311,501,131,193,328,0.00061156,0.00089903,0.00152528,0.25866261,0.39754474,0.52602534
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-25 00:00:00.000000,0.00088018,0.00131235,0.00214353,189,282,461,116,182,306,0.00054259,0.00084681,0.00142384,0.21209797,0.31154967,0.43591029
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-26 00:00:00.000000,0.00076511,0.00118097,0.00190487,164,254,410,105,163,272,0.00048866,0.00075725,0.00126701,0.18258203,0.26048135,0.37660676
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-27 00:00:00.000000,0.00066778,0.00103899,0.00166689,143,223,359,85,144,238,0.00039755,0.00067108,0.00110684,0.16657731,0.23820648,0.33946759
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-28 00:00:00.000000,0.00053755,0.00088907,0.00145178,115,191,312,69,123,207,0.00032443,0.00057412,0.00096411,0.16118046,0.22732541,0.31297464
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-29 00:00:00.000000,0.00044089,0.00075737,0.00126402,94,163,272,57,107,180,0.00026817,0.00049756,0.00083989,0.16003925,0.21791738,0.28854310
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-30 00:00:00.000000,0.00035815,0.00065163,0.00109843,77,140,236,47,92,157,0.00021935,0.00043071,0.00073178,0.15900288,0.21188958,0.28003095
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-03-31 00:00:00.000000,0.00028850,0.00055296,0.00095219,62,119,205,38,79,136,0.00017643,0.00036834,0.00063528,0.15802817,0.20595203,0.26872212
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-01 00:00:00.000000,0.00023854,0.00047285,0.00082032,51,101,176,30,67,121,0.00014281,0.00031562,0.00056435,0.15168786,0.20482166,0.26838974
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-02 00:00:00.000000,0.00020666,0.00040928,0.00070359,44,88,151,26,58,108,0.00012318,0.00027063,0.00050549,0.14814268,0.20177462,0.26769191
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-03 00:00:00.000000,0.00018162,0.00034998,0.00061014,39,75,131,23,50,95,0.00010775,0.00023314,0.00044112,0.14445998,0.19871287,0.26654921
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-04 00:00:00.000000,0.00016189,0.00030313,0.00052255,34,65,112,20,43,81,0.00009563,0.00020071,0.00037781,0.14326508,0.19374685,0.26805256
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-05 00:00:00.000000,0.00013419,0.00026443,0.00044780,28,56,96,18,37,69,0.00008557,0.00017467,0.00032375,0.13652183,0.19181499,0.26554894
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-06 00:00:00.000000,0.00011426,0.00023015,0.00038810,24,49,83,15,32,59,0.00007018,0.00015149,0.00027756,0.13546499,0.19085830,0.26366790
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-07 00:00:00.000000,0.00009966,0.00020016,0.00033768,21,43,72,13,27,52,0.00006176,0.00012966,0.00024173,0.13550764,0.19259061,0.26341771
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-08 00:00:00.000000,0.00008969,0.00017486,0.00029911,19,37,64,11,24,45,0.00005507,0.00011400,0.00021083,0.13501306,0.19258436,0.26852871
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-09 00:00:00.000000,0.00008200,0.00015672,0.00026759,17,33,57,10,21,39,0.00005004,0.00009923,0.00018442,0.13357747,0.19310055,0.27288115
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-10 00:00:00.000000,0.00007620,0.00013721,0.00024132,16,29,51,9,19,34,0.00004578,0.00008928,0.00016177,0.13129442,0.19482147,0.28277768
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-11 00:00:00.000000,0.00007129,0.00012354,0.00021940,15,26,47,9,17,30,0.00004317,0.00007970,0.00014275,0.13698114,0.19580821,0.29655105
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-12 00:00:00.000000,0.00006497,0.00011442,0.00020108,13,24,43,8,15,28,0.00003950,0.00007247,0.00013037,0.13987353,0.19567877,0.30375103
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-13 00:00:00.000000,0.00005279,0.00009770,0.00017353,11,21,37,7,14,25,0.00003539,0.00006673,0.00012002,0.14042809,0.19660566,0.30476232
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-14 00:00:00.000000,0.00004297,0.00008280,0.00014850,9,17,31,5,11,21,0.00002746,0.00005383,0.00009975,0.14137781,0.20112446,0.30586100
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-15 00:00:00.000000,0.00003544,0.00006885,0.00012426,7,14,26,4,9,18,0.00002267,0.00004514,0.00008458,0.14215024,0.20494229,0.30705149
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-16 00:00:00.000000,0.00002915,0.00005766,0.00011110,6,12,23,3,8,16,0.00001809,0.00003780,0.00007431,0.14394734,0.20952195,0.30249117
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-17 00:00:00.000000,0.00002184,0.00004823,0.00010075,4,10,21,2,6,14,0.00001357,0.00003165,0.00006734,0.14581356,0.21335244,0.30379286
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-18 00:00:00.000000,0.00001639,0.00004064,0.00009149,3,8,19,2,5,13,0.00001020,0.00002658,0.00006113,0.15020935,0.21977016,0.31283414
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-19 00:00:00.000000,0.00001233,0.00003455,0.00008317,2,7,17,1,4,11,0.00000767,0.00002259,0.00005556,0.15621961,0.22476796,0.31487961
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-20 00:00:00.000000,0.00000928,0.00002990,0.00007563,1,6,16,1,4,10,0.00000578,0.00001910,0.00005052,0.15948607,0.22709773,0.32301005
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-21 00:00:00.000000,0.00000700,0.00002601,0.00006880,1,5,14,0,3,9,0.00000436,0.00001638,0.00004595,0.16134261,0.22985145,0.32817354
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-22 00:00:00.000000,0.00000528,0.00002212,0.00006262,1,4,13,0,3,9,0.00000329,0.00001422,0.00004181,0.16286805,0.23180918,0.33238123
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-23 00:00:00.000000,0.00000436,0.00001820,0.00005702,0,3,12,0,2,8,0.00000258,0.00001220,0.00003805,0.16433332,0.23575308,0.34229907
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-24 00:00:00.000000,0.00000375,0.00001549,0.00005062,0,3,10,0,2,7,0.00000219,0.00001005,0.00003453,0.16913790,0.23908018,0.33902778
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-25 00:00:00.000000,0.00000327,0.00001362,0.00004446,0,2,9,0,1,6,0.00000190,0.00000867,0.00003032,0.17464758,0.24281470,0.34527976
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-26 00:00:00.000000,0.00000289,0.00001192,0.00003905,0,2,8,0,1,5,0.00000168,0.00000763,0.00002663,0.18387510,0.25110559,0.37244458
0,0,ChinaBeijing,Beijing,,2020-09-22 05:16:59.830061,2020-04-27 00:00:00.000000,0.00000256,0.00001019,0.00003429,0,2,7,0,1,5,0.00000149,0.00000660,0.00002342,0.18645732,0.26110602,0.38862512
