FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-09 00:00:00.000000,0.00000791,0.00001756,0.00003251,3,8,16,0,0,4,0.00000028,0.00000169,0.00000995,0.48791295,0.68387360,1.06555769
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-10 00:00:00.000000,0.00001307,0.00002444,0.00003772,6,12,18,1,2,7,0.00000259,0.00000587,0.00001514,0.48791297,0.68386457,1.06555767
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-11 00:00:00.000000,0.00001638,0.00003229,0.00004892,8,15,24,1,3,7,0.00000362,0.00000798,0.00001458,0.48791304,0.68384383,1.06555761
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-12 00:00:00.000000,0.00001840,0.00003814,0.00005862,9,18,28,2,4,8,0.00000451,0.00000924,0.00001734,0.48791332,0.68379620,1.06555745
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-13 00:00:00.000000,0.00002114,0.00004367,0.00006896,10,21,33,2,5,9,0.00000534,0.00001053,0.00001970,0.48791442,0.68368708,1.06555701
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-14 00:00:00.000000,0.00002331,0.00004704,0.00007797,11,23,38,2,5,10,0.00000608,0.00001142,0.00002181,0.48791897,0.68343840,1.06555583
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-15 00:00:00.000000,0.00002522,0.00004998,0.00008483,12,24,41,3,6,11,0.00000661,0.00001241,0.00002353,0.48793827,0.68287848,1.06555263
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-16 00:00:00.000000,0.00002288,0.00004490,0.00007774,11,22,38,3,6,12,0.00000703,0.00001306,0.00002522,0.48802142,0.68165179,1.06554394
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-17 00:00:00.000000,0.00002030,0.00003883,0.00007038,10,19,34,2,4,9,0.00000563,0.00000985,0.00001889,0.48838278,0.68021089,1.06552060
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-18 00:00:00.000000,0.00001547,0.00003047,0.00006086,7,15,29,2,4,7,0.00000450,0.00000861,0.00001615,0.48994296,0.67995025,1.06545925
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-19 00:00:00.000000,0.00001206,0.00002506,0.00005375,5,12,26,1,3,6,0.00000348,0.00000700,0.00001325,0.49631015,0.67664554,1.06530080
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-20 00:00:00.000000,0.00000906,0.00002103,0.00004735,4,10,23,1,2,5,0.00000278,0.00000599,0.00001105,0.48782564,0.67150786,1.06459201
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-21 00:00:00.000000,0.00000733,0.00001709,0.00004160,3,8,20,1,2,4,0.00000216,0.00000469,0.00000941,0.45652950,0.66579093,1.04303129
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-22 00:00:00.000000,0.00000586,0.00001421,0.00003563,2,7,17,0,1,4,0.00000162,0.00000391,0.00000817,0.44115566,0.66491382,1.09620763
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-23 00:00:00.000000,0.00000466,0.00001183,0.00002965,2,5,14,0,1,3,0.00000124,0.00000320,0.00000708,0.43386578,0.64717065,1.09386466
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-24 00:00:00.000000,0.00000368,0.00001007,0.00002548,1,4,12,0,1,3,0.00000098,0.00000265,0.00000615,0.42665216,0.63874007,1.09335504
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-25 00:00:00.000000,0.00000267,0.00000838,0.00002223,1,4,10,0,1,2,0.00000077,0.00000216,0.00000528,0.42813941,0.64849131,1.09401687
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-26 00:00:00.000000,0.00000192,0.00000683,0.00001947,0,3,9,0,0,2,0.00000061,0.00000177,0.00000439,0.43386834,0.64747186,1.09743830
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-27 00:00:00.000000,0.00000138,0.00000560,0.00001714,0,2,8,0,0,1,0.00000045,0.00000145,0.00000365,0.43732837,0.65193526,1.10750952
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-28 00:00:00.000000,0.00000100,0.00000448,0.00001507,0,2,7,0,0,1,0.00000030,0.00000119,0.00000306,0.43573054,0.64307885,1.13254189
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-29 00:00:00.000000,0.00000070,0.00000354,0.00001322,0,1,6,0,0,1,0.00000020,0.00000098,0.00000269,0.41518136,0.64207359,1.17980965
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-30 00:00:00.000000,0.00000047,0.00000285,0.00001157,0,1,5,0,0,1,0.00000014,0.00000080,0.00000235,0.40672224,0.64962290,1.23381425
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-03-31 00:00:00.000000,0.00000031,0.00000238,0.00001010,0,1,4,0,0,1,0.00000010,0.00000065,0.00000206,0.40218377,0.62523961,1.20386385
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-01 00:00:00.000000,0.00000021,0.00000192,0.00000881,0,0,4,0,0,0,0.00000007,0.00000054,0.00000180,0.38158002,0.62373408,1.23431267
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-02 00:00:00.000000,0.00000015,0.00000154,0.00000768,0,0,3,0,0,0,0.00000005,0.00000044,0.00000161,0.37830838,0.62345730,1.17648224
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-03 00:00:00.000000,0.00000011,0.00000123,0.00000669,0,0,3,0,0,0,0.00000004,0.00000036,0.00000136,0.37764995,0.62022871,1.17910270
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-04 00:00:00.000000,0.00000008,0.00000099,0.00000579,0,0,2,0,0,0,0.00000003,0.00000029,0.00000119,0.37728996,0.61768840,1.17574026
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-05 00:00:00.000000,0.00000006,0.00000082,0.00000496,0,0,2,0,0,0,0.00000002,0.00000023,0.00000104,0.36834581,0.61985149,1.19950432
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-06 00:00:00.000000,0.00000004,0.00000068,0.00000433,0,0,2,0,0,0,0.00000001,0.00000019,0.00000091,0.35749553,0.62072616,1.31276342
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-07 00:00:00.000000,0.00000003,0.00000057,0.00000378,0,0,1,0,0,0,0.00000001,0.00000016,0.00000081,0.35030388,0.62287832,1.36390626
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-08 00:00:00.000000,0.00000002,0.00000047,0.00000330,0,0,1,0,0,0,0.00000001,0.00000013,0.00000072,0.34603249,0.62734379,1.38343332
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-09 00:00:00.000000,0.00000001,0.00000037,0.00000288,0,0,1,0,0,0,0.00000000,0.00000010,0.00000064,0.31577923,0.63567218,1.39044239
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-10 00:00:00.000000,0.00000001,0.00000031,0.00000252,0,0,1,0,0,0,0.00000000,0.00000009,0.00000055,0.27500944,0.63192031,1.39303042
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-11 00:00:00.000000,0.00000001,0.00000026,0.00000220,0,0,1,0,0,0,0.00000000,0.00000007,0.00000048,0.27254529,0.63365914,1.39444573
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-12 00:00:00.000000,0.00000000,0.00000021,0.00000192,0,0,0,0,0,0,0.00000000,0.00000006,0.00000043,0.27180805,0.64132041,1.39674538
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-13 00:00:00.000000,0.00000000,0.00000018,0.00000168,0,0,0,0,0,0,0.00000000,0.00000005,0.00000038,0.26949523,0.64444694,1.40341977
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-14 00:00:00.000000,0.00000000,0.00000014,0.00000146,0,0,0,0,0,0,0.00000000,0.00000004,0.00000034,0.27031318,0.64182366,1.46210152
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-15 00:00:00.000000,0.00000000,0.00000012,0.00000128,0,0,0,0,0,0,0.00000000,0.00000003,0.00000030,0.27198604,0.64168249,1.52290086
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-16 00:00:00.000000,0.00000000,0.00000009,0.00000112,0,0,0,0,0,0,0.00000000,0.00000003,0.00000027,0.27438905,0.63924844,1.55225183
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-17 00:00:00.000000,0.00000000,0.00000007,0.00000100,0,0,0,0,0,0,0.00000000,0.00000002,0.00000024,0.27710749,0.64565476,1.54056366
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-18 00:00:00.000000,0.00000000,0.00000006,0.00000091,0,0,0,0,0,0,0.00000000,0.00000002,0.00000021,0.27977997,0.64992050,1.50651754
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-19 00:00:00.000000,0.00000000,0.00000005,0.00000082,0,0,0,0,0,0,0.00000000,0.00000001,0.00000018,0.28247436,0.65660789,1.48179212
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-20 00:00:00.000000,0.00000000,0.00000004,0.00000074,0,0,0,0,0,0,0.00000000,0.00000001,0.00000015,0.25832425,0.65359926,1.54382397
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-21 00:00:00.000000,0.00000000,0.00000004,0.00000065,0,0,0,0,0,0,0.00000000,0.00000001,0.00000013,0.24648818,0.65065093,1.51378969
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-22 00:00:00.000000,0.00000000,0.00000003,0.00000056,0,0,0,0,0,0,0.00000000,0.00000001,0.00000011,0.23885023,0.64966969,1.49752223
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-23 00:00:00.000000,0.00000000,0.00000003,0.00000049,0,0,0,0,0,0,0.00000000,0.00000001,0.00000009,0.22833848,0.64866562,1.48969883
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-24 00:00:00.000000,0.00000000,0.00000002,0.00000042,0,0,0,0,0,0,0.00000000,0.00000001,0.00000008,0.23110553,0.64517315,1.49753834
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-25 00:00:00.000000,0.00000000,0.00000002,0.00000036,0,0,0,0,0,0,0.00000000,0.00000001,0.00000007,0.23907831,0.64026145,1.50284423
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-26 00:00:00.000000,0.00000000,0.00000001,0.00000031,0,0,0,0,0,0,0.00000000,0.00000000,0.00000007,0.24915070,0.63517341,1.48909447
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-27 00:00:00.000000,0.00000000,0.00000001,0.00000027,0,0,0,0,0,0,0.00000000,0.00000000,0.00000006,0.25793679,0.64092483,1.52197044
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-28 00:00:00.000000,0.00000000,0.00000001,0.00000023,0,0,0,0,0,0,0.00000000,0.00000000,0.00000005,0.26355976,0.63018647,1.71546125
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-29 00:00:00.000000,0.00000000,0.00000001,0.00000020,0,0,0,0,0,0,0.00000000,0.00000000,0.00000005,0.26651763,0.62832836,1.85464132
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-04-30 00:00:00.000000,0.00000000,0.00000001,0.00000018,0,0,0,0,0,0,0.00000000,0.00000000,0.00000005,0.26799385,0.63389148,1.88159109
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-01 00:00:00.000000,0.00000000,0.00000001,0.00000016,0,0,0,0,0,0,0.00000000,0.00000000,0.00000004,0.26887670,0.64412788,1.88674085
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-02 00:00:00.000000,0.00000000,0.00000000,0.00000014,0,0,0,0,0,0,0.00000000,0.00000000,0.00000004,0.26973537,0.63749965,1.88361820
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-03 00:00:00.000000,0.00000000,0.00000000,0.00000013,0,0,0,0,0,0,0.00000000,0.00000000,0.00000003,0.26203600,0.63225366,1.93949372
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-04 00:00:00.000000,0.00000000,0.00000000,0.00000011,0,0,0,0,0,0,0.00000000,0.00000000,0.00000003,0.27205607,0.62686372,1.96217537
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-05 00:00:00.000000,0.00000000,0.00000000,0.00000010,0,0,0,0,0,0,0.00000000,0.00000000,0.00000003,0.27368737,0.62809860,1.96626769
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-06 00:00:00.000000,0.00000000,0.00000000,0.00000009,0,0,0,0,0,0,0.00000000,0.00000000,0.00000002,0.27498153,0.62442740,1.96755123
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-07 00:00:00.000000,0.00000000,0.00000000,0.00000008,0,0,0,0,0,0,0.00000000,0.00000000,0.00000002,0.27521048,0.62434885,1.96885360
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-08 00:00:00.000000,0.00000000,0.00000000,0.00000007,0,0,0,0,0,0,0.00000000,0.00000000,0.00000002,0.27433097,0.61526239,1.97024561
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-09 00:00:00.000000,0.00000000,0.00000000,0.00000006,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.27251292,0.60937265,1.97171925
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-10 00:00:00.000000,0.00000000,0.00000000,0.00000006,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.27056819,0.59845156,1.97317189
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-11 00:00:00.000000,0.00000000,0.00000000,0.00000005,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.26917547,0.58780767,1.97400991
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-12 00:00:00.000000,0.00000000,0.00000000,0.00000004,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.26839263,0.59169149,1.97433600
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-13 00:00:00.000000,0.00000000,0.00000000,0.00000004,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.26795180,0.59617884,1.97448040
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-14 00:00:00.000000,0.00000000,0.00000000,0.00000004,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.26745689,0.59319353,1.97457624
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-15 00:00:00.000000,0.00000000,0.00000000,0.00000003,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.26006633,0.58884848,1.97431141
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-16 00:00:00.000000,0.00000000,0.00000000,0.00000003,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.25761073,0.57787514,1.97043999
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-17 00:00:00.000000,0.00000000,0.00000000,0.00000003,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.25806415,0.58403473,2.05372193
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-18 00:00:00.000000,0.00000000,0.00000000,0.00000002,0,0,0,0,0,0,0.00000000,0.00000000,0.00000001,0.25669145,0.57243103,2.18902671
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-19 00:00:00.000000,0.00000000,0.00000000,0.00000002,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25679172,0.60321569,2.20563633
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-20 00:00:00.000000,0.00000000,0.00000000,0.00000002,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25719980,0.63344817,2.19223150
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-21 00:00:00.000000,0.00000000,0.00000000,0.00000002,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25803688,0.62487085,2.14654018
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-22 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25949262,0.62656056,2.03734768
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-23 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26162092,0.62262916,2.09713832
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-24 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26408328,0.61548385,2.11936603
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-25 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26627021,0.61046336,2.12896233
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-26 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26612850,0.61231224,2.13851338
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-27 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26129079,0.61250482,2.15203643
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-28 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26009128,0.61724885,2.17132766
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-29 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25700764,0.62356549,2.19397157
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-30 00:00:00.000000,0.00000000,0.00000000,0.00000001,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25030402,0.61257072,2.22928614
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-05-31 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25060220,0.59996447,2.26346286
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-01 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24396691,0.60578339,2.29350146
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-02 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24307784,0.62957825,2.31716659
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-03 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24292638,0.64871046,2.33255922
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-04 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24331549,0.65243056,2.32811108
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-05 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24449626,0.65373227,2.30347756
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-06 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.24746783,0.64954801,2.29845000
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-07 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.25403688,0.65787230,2.29628513
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-08 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26376559,0.66225627,2.27810207
0,0,ChinaGuangxi,Guangxi,,2020-08-11 13:18:48.811017,2020-06-09 00:00:00.000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.26484233,0.64743117,2.26193679
