FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-09 00:00:00.000000,0.00000548,0.00001116,0.00002149,2,5,10,0,1,4,0.00000133,0.00000382,0.00001017,0.36841765,0.48792871,0.64958044
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-10 00:00:00.000000,0.00000788,0.00001517,0.00003201,3,7,15,1,2,4,0.00000219,0.00000433,0.00001033,0.36841387,0.48778058,0.64957095
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-11 00:00:00.000000,0.00000985,0.00001961,0.00004287,4,9,20,1,2,6,0.00000312,0.00000610,0.00001278,0.36840520,0.48746939,0.64955730
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-12 00:00:00.000000,0.00001162,0.00002389,0.00005399,5,11,26,1,3,7,0.00000392,0.00000782,0.00001606,0.36838531,0.48680839,0.64953747
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-13 00:00:00.000000,0.00001335,0.00002767,0.00006372,6,13,30,2,4,10,0.00000469,0.00000972,0.00002083,0.36833960,0.48561989,0.64950771
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-14 00:00:00.000000,0.00001512,0.00003283,0.00007565,7,15,36,2,5,12,0.00000532,0.00001190,0.00002686,0.36823422,0.48457825,0.64945852
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-15 00:00:00.000000,0.00001695,0.00003862,0.00008872,8,18,42,2,6,16,0.00000605,0.00001449,0.00003332,0.36798873,0.48270956,0.64935796
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-16 00:00:00.000000,0.00002306,0.00004542,0.00009528,11,21,46,3,8,19,0.00000695,0.00001712,0.00004012,0.36712935,0.48239272,0.64908099
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-17 00:00:00.000000,0.00002670,0.00005109,0.00010136,12,24,48,4,9,22,0.00000859,0.00001978,0.00004568,0.35360403,0.47756197,0.64811119
0,0,ChinaYunnan,Yunnan,,2020-10-11 00:44:27.450585,2020-03-18 00:00:00.000000,0.00003047,0.00005624,0.00010752,14,27,51,4,10,24,0.00001031,0.00002261,0.00005043,0.32304859,0.46198743,0.64431460
