FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-09 00:00:00.000000,0.00003691,0.00021675,0.00052980,1,7,18,0,3,10,0.00001475,0.00009333,0.00028402,0.48015051,0.61854840,0.83922214
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-10 00:00:00.000000,0.00003356,0.00017731,0.00048531,1,6,17,0,3,9,0.00001706,0.00009808,0.00027531,0.48015049,0.61854759,0.83917388
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-11 00:00:00.000000,0.00003221,0.00017354,0.00047468,1,6,16,0,3,9,0.00001629,0.00009189,0.00027981,0.48015045,0.61854518,0.83909032
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-12 00:00:00.000000,0.00003229,0.00016764,0.00049557,1,5,17,0,3,9,0.00001670,0.00009186,0.00027525,0.48015038,0.61853755,0.83888502
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-13 00:00:00.000000,0.00003231,0.00016271,0.00049968,1,5,17,0,3,9,0.00001645,0.00008778,0.00026567,0.48015023,0.61851266,0.83838149
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-14 00:00:00.000000,0.00003216,0.00015879,0.00048011,1,5,17,0,2,9,0.00001638,0.00008096,0.00025410,0.48014992,0.61844403,0.83715167
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-15 00:00:00.000000,0.00003072,0.00014880,0.00045807,1,5,16,0,2,8,0.00001608,0.00007472,0.00024278,0.48014916,0.61815353,0.83417333
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-16 00:00:00.000000,0.00005603,0.00018118,0.00046957,1,6,16,0,2,8,0.00001522,0.00007306,0.00023090,0.48014653,0.61223289,0.83163836
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-17 00:00:00.000000,0.00007787,0.00020747,0.00047911,2,7,16,1,3,8,0.00003488,0.00010465,0.00025120,0.48013285,0.60606195,0.83151932
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-18 00:00:00.000000,0.00010199,0.00025054,0.00059245,3,8,21,1,3,10,0.00004598,0.00011244,0.00029134,0.48004503,0.59712214,0.83114985
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-19 00:00:00.000000,0.00011353,0.00027222,0.00066060,4,9,23,1,4,11,0.00005338,0.00013208,0.00033522,0.47854582,0.57537614,0.81739370
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-20 00:00:00.000000,0.00012470,0.00029123,0.00076913,4,10,27,2,5,13,0.00005835,0.00014611,0.00038243,0.44866418,0.56931705,0.81077842
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-21 00:00:00.000000,0.00013317,0.00031690,0.00086688,4,11,30,2,5,15,0.00006292,0.00015719,0.00042815,0.40294242,0.55952359,0.80303313
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-22 00:00:00.000000,0.00013929,0.00034756,0.00094509,4,12,33,2,6,16,0.00006521,0.00017127,0.00046921,0.37984046,0.55444720,0.79460215
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-23 00:00:00.000000,0.00019700,0.00040733,0.00094074,6,14,33,2,6,17,0.00006719,0.00018281,0.00050579,0.36979779,0.53765220,0.79382404
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-24 00:00:00.000000,0.00020882,0.00047155,0.00099434,7,16,35,3,8,17,0.00010094,0.00024621,0.00049923,0.35425252,0.52630980,0.77804764
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-25 00:00:00.000000,0.00022761,0.00053112,0.00110750,8,18,39,3,9,21,0.00011008,0.00027756,0.00060135,0.33362370,0.51394089,0.76861864
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-26 00:00:00.000000,0.00023390,0.00056482,0.00121273,8,20,43,4,10,22,0.00011750,0.00028512,0.00063171,0.32462038,0.51171832,0.76102863
0,0,Eritrea,,,2020-09-09 02:16:59.312637,2020-03-27 00:00:00.000000,0.00023206,0.00057973,0.00132024,8,20,46,4,10,23,0.00011765,0.00030211,0.00066081,0.30518758,0.50778234,0.75471196
