FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-09 00:00:00.000000,0.00035128,0.00116451,0.00236225,4,13,27,0,4,10,0.00006945,0.00034523,0.00094180,0.50199590,0.71091428,0.93532329
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-10 00:00:00.000000,0.00049938,0.00130093,0.00297179,5,15,34,1,4,11,0.00010147,0.00038690,0.00098934,0.50199580,0.71090198,0.93531962
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-11 00:00:00.000000,0.00066918,0.00155874,0.00372201,7,18,43,1,5,12,0.00012680,0.00046024,0.00108050,0.50199537,0.71088280,0.93530956
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-12 00:00:00.000000,0.00079864,0.00181985,0.00438906,9,21,50,1,6,13,0.00015598,0.00051803,0.00119572,0.50199339,0.71085290,0.93528238
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-13 00:00:00.000000,0.00090658,0.00211053,0.00512140,10,24,59,2,7,15,0.00018248,0.00060987,0.00133664,0.50198437,0.71080629,0.93520931
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-14 00:00:00.000000,0.00103141,0.00242556,0.00592663,11,28,68,2,8,20,0.00022516,0.00072383,0.00173548,0.50194318,0.71073360,0.93501367
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-15 00:00:00.000000,0.00118598,0.00276968,0.00681468,13,32,79,3,9,23,0.00027606,0.00083322,0.00202982,0.50175518,0.71062005,0.93449222
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-16 00:00:00.000000,0.00141674,0.00335150,0.00760440,16,38,88,3,10,28,0.00031876,0.00093590,0.00248692,0.50090181,0.71044193,0.93311465
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-17 00:00:00.000000,0.00164643,0.00397115,0.00914292,19,46,106,4,12,33,0.00037197,0.00104734,0.00287915,0.49713563,0.70849886,0.92955397
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-18 00:00:00.000000,0.00186214,0.00452447,0.01073229,21,52,124,5,13,37,0.00044894,0.00120221,0.00325914,0.48140648,0.70938305,0.92084122
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-19 00:00:00.000000,0.00209658,0.00515638,0.01215531,24,59,141,6,16,42,0.00054268,0.00141257,0.00369614,0.43632562,0.70932955,0.90204976
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-20 00:00:00.000000,0.00235115,0.00581605,0.01370136,27,67,158,6,19,51,0.00059594,0.00163885,0.00445693,0.39806251,0.68507410,0.90985776
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-21 00:00:00.000000,0.00262769,0.00670443,0.01538927,30,77,178,7,22,61,0.00068570,0.00190490,0.00531008,0.38291771,0.67523824,0.91648357
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-22 00:00:00.000000,0.00292955,0.00749514,0.01724251,33,86,200,9,24,72,0.00078654,0.00214118,0.00621823,0.37901022,0.65714895,0.91555124
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-23 00:00:00.000000,0.00319760,0.00827851,0.01885338,37,96,218,10,28,82,0.00089678,0.00243392,0.00713972,0.37860576,0.65982986,0.90951229
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-24 00:00:00.000000,0.00348030,0.00915221,0.02093344,40,106,242,11,31,95,0.00101358,0.00271899,0.00820030,0.38039996,0.64115043,0.89818764
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-25 00:00:00.000000,0.00390793,0.01003676,0.02362325,45,116,274,13,34,108,0.00113758,0.00301446,0.00932353,0.38633326,0.62675551,0.89154845
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-26 00:00:00.000000,0.00421530,0.01093980,0.02637805,48,126,306,14,38,122,0.00126938,0.00330741,0.01053714,0.38748859,0.62175741,0.87888593
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-27 00:00:00.000000,0.00455019,0.01202038,0.02904390,52,139,336,16,41,137,0.00138432,0.00357641,0.01186905,0.38404828,0.62451170,0.87271962
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-28 00:00:00.000000,0.00490859,0.01298014,0.03265253,56,150,378,17,44,154,0.00152510,0.00385429,0.01333912,0.38272173,0.61864353,0.87377726
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-29 00:00:00.000000,0.00530421,0.01388214,0.03694675,61,161,428,19,48,173,0.00166873,0.00415576,0.01495603,0.38256542,0.60430362,0.88027534
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-30 00:00:00.000000,0.00586309,0.01494405,0.04186478,68,173,485,20,52,194,0.00179745,0.00448282,0.01673491,0.38198597,0.59024873,0.89162214
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-03-31 00:00:00.000000,0.00646075,0.01600933,0.04786243,74,185,555,22,56,215,0.00194575,0.00482910,0.01861188,0.37900824,0.58402809,0.89686509
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-01 00:00:00.000000,0.00694815,0.01708263,0.05510967,80,198,639,24,61,240,0.00211133,0.00527403,0.02068864,0.35391925,0.57151675,0.98899617
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-02 00:00:00.000000,0.00757311,0.01852510,0.06231090,87,214,722,26,65,266,0.00229400,0.00566925,0.02299388,0.35275648,0.56050057,1.01976890
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-03 00:00:00.000000,0.00828073,0.02014399,0.07063450,96,233,819,28,71,296,0.00249379,0.00616078,0.02554883,0.35102315,0.55600440,1.00937015
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-04 00:00:00.000000,0.00907943,0.02181191,0.08098184,105,253,939,31,76,329,0.00271081,0.00661858,0.02837099,0.34796433,0.55928291,0.93765295
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-05 00:00:00.000000,0.00995065,0.02335715,0.08966726,115,270,1040,34,82,365,0.00294525,0.00714193,0.03147082,0.34259703,0.55505658,0.84036009
0,0,Eswatini,,,2020-08-11 13:50:47.427380,2020-04-06 00:00:00.000000,0.01116277,0.02499256,0.09840082,129,289,1141,37,89,404,0.00319746,0.00771531,0.03484979,0.32030982,0.54751366,0.82499536
