FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-09 00:00:00.000000,0.00455818,0.00871726,0.01534439,40,78,137,16,34,57,0.00183390,0.00390467,0.00646027,0.61061666,0.79477015,0.95752964
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-10 00:00:00.000000,0.00563232,0.01058260,0.01817081,50,94,162,19,39,70,0.00217520,0.00441796,0.00789412,0.61061665,0.79476796,0.95752931
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-11 00:00:00.000000,0.00676766,0.01249009,0.02130793,60,111,190,24,46,82,0.00269081,0.00522827,0.00916882,0.61061663,0.79476343,0.95752806
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-12 00:00:00.000000,0.00818649,0.01483193,0.02449894,73,132,219,30,55,97,0.00336554,0.00616363,0.01087225,0.61061660,0.79475374,0.95752347
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-13 00:00:00.000000,0.00968983,0.01723231,0.02817385,86,154,252,36,65,114,0.00404669,0.00733822,0.01283520,0.61061654,0.79473242,0.95750655
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-14 00:00:00.000000,0.01140394,0.01993454,0.03229006,102,178,289,45,75,135,0.00503134,0.00845500,0.01511107,0.61061644,0.79468451,0.95744412
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-15 00:00:00.000000,0.01317628,0.02302473,0.03697998,117,206,331,53,86,158,0.00593044,0.00969152,0.01775452,0.61061621,0.79452572,0.95721389
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-16 00:00:00.000000,0.01504947,0.02585158,0.04334508,134,231,388,60,99,186,0.00678474,0.01110642,0.02082674,0.61061546,0.79281500,0.95636609
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-17 00:00:00.000000,0.01704482,0.02921378,0.05073708,152,261,454,69,113,218,0.00772429,0.01270875,0.02441819,0.59317156,0.78859219,0.95326444
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-18 00:00:00.000000,0.01891626,0.03332264,0.05933264,169,298,531,79,129,256,0.00891339,0.01448590,0.02859911,0.55936783,0.78514848,0.94685154
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-19 00:00:00.000000,0.02099541,0.03710936,0.06932354,187,332,620,93,147,299,0.01041912,0.01646890,0.03346147,0.51233835,0.76827602,0.94620714
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-20 00:00:00.000000,0.02415067,0.04211086,0.08088167,216,377,724,108,167,350,0.01210964,0.01867054,0.03911396,0.48572402,0.75621956,0.93624572
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-21 00:00:00.000000,0.02749997,0.04717141,0.09330883,246,422,835,119,189,408,0.01329345,0.02121152,0.04566452,0.47602728,0.70960094,0.89176343
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-22 00:00:00.000000,0.03048388,0.05164059,0.10186729,272,462,912,129,214,473,0.01449422,0.02396248,0.05290448,0.41877677,0.64969170,0.87655097
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-23 00:00:00.000000,0.03332698,0.05615600,0.10819557,298,502,968,142,239,528,0.01591162,0.02670552,0.05901857,0.35018718,0.56785909,0.83216623
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-24 00:00:00.000000,0.03623255,0.05947113,0.11454161,324,532,1025,157,262,570,0.01760679,0.02930786,0.06375340,0.32904640,0.52594513,0.73886638
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-25 00:00:00.000000,0.03911588,0.06351273,0.12096140,350,568,1082,171,283,606,0.01919359,0.03171139,0.06777245,0.28118560,0.49269571,0.67380021
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-26 00:00:00.000000,0.04176913,0.06616322,0.12743057,373,592,1140,185,303,634,0.02072038,0.03392414,0.07085420,0.26716970,0.47035797,0.61433038
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-27 00:00:00.000000,0.04388357,0.06818788,0.13195647,392,610,1181,198,325,680,0.02219929,0.03640314,0.07597174,0.23860577,0.42714982,0.55186703
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-28 00:00:00.000000,0.04534530,0.07100222,0.13461476,405,635,1205,208,341,715,0.02333487,0.03816801,0.07987512,0.21893359,0.38292472,0.53375690
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-29 00:00:00.000000,0.04575199,0.07159740,0.13385050,409,641,1198,216,357,738,0.02423238,0.03993426,0.08243124,0.20880125,0.34343207,0.48942872
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-30 00:00:00.000000,0.04462145,0.07135432,0.13177653,399,638,1179,221,370,750,0.02468593,0.04141542,0.08388017,0.17207386,0.30773670,0.42587796
0,0,FranceReunion,Reunion,,2020-10-16 15:49:55.733794,2020-03-31 00:00:00.000000,0.04338117,0.07135503,0.13066904,388,638,1169,220,377,752,0.02465620,0.04215659,0.08400464,0.15948333,0.28064945,0.39737304
