FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-09 00:00:00.000000,0.02623609,0.05381510,0.12476418,2,5,12,0,1,3,0.00343802,0.01390436,0.03777446,0.42725213,0.57108977,0.74885850
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-10 00:00:00.000000,0.02382630,0.06212330,0.12754676,2,6,12,1,3,6,0.01424834,0.03232655,0.06575797,0.42725214,0.57108581,0.74885438
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-11 00:00:00.000000,0.02910003,0.07987648,0.17068018,2,7,16,1,3,8,0.01188572,0.03836531,0.08155217,0.42725218,0.57107522,0.74884331
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-12 00:00:00.000000,0.02836468,0.08871435,0.20258141,2,8,20,1,4,10,0.01362132,0.04562619,0.10146658,0.42725229,0.57053092,0.74881332
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-13 00:00:00.000000,0.02966130,0.09927851,0.23279060,2,9,23,1,5,11,0.01509792,0.05374639,0.11969978,0.42725256,0.56921099,0.74873037
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-14 00:00:00.000000,0.02994941,0.11066055,0.25659847,2,10,25,1,6,13,0.01650221,0.06092499,0.13863626,0.42725319,0.56894558,0.74848750
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-15 00:00:00.000000,0.03219678,0.11893749,0.28031864,3,11,27,1,6,16,0.01570470,0.06727197,0.16421930,0.42725449,0.56637199,0.74768805
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-16 00:00:00.000000,0.04504601,0.14189486,0.28337367,4,14,28,1,7,18,0.01507322,0.07363166,0.19027780,0.42725610,0.55834208,0.74499846
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-17 00:00:00.000000,0.05077536,0.15107338,0.29690365,5,14,29,2,8,17,0.02054094,0.08157005,0.18136243,0.42314649,0.55460450,0.74023937
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-18 00:00:00.000000,0.05624538,0.15696841,0.29950059,5,15,29,2,7,18,0.02245739,0.07905984,0.19070054,0.40628075,0.54002739,0.73101318
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-19 00:00:00.000000,0.06043241,0.15407039,0.30464391,5,15,30,2,7,20,0.02430800,0.08082088,0.20389440,0.35418378,0.52971927,0.71318183
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-20 00:00:00.000000,0.06544272,0.15224642,0.31689758,6,15,31,2,7,20,0.02651515,0.07808086,0.20645500,0.33476851,0.50876013,0.71445129
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-21 00:00:00.000000,0.06554730,0.15068575,0.34403930,6,14,34,2,7,21,0.02779956,0.07859500,0.21987780,0.30653383,0.49616347,0.70281749
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-22 00:00:00.000000,0.06260201,0.14891319,0.37087640,6,14,36,2,7,22,0.02875133,0.07668001,0.22880296,0.30298596,0.48997130,0.70213201
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-23 00:00:00.000000,0.06635627,0.14817231,0.38928235,6,14,38,2,7,23,0.02924928,0.07917316,0.24083745,0.29478666,0.48581769,0.67779495
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-24 00:00:00.000000,0.06973320,0.15600584,0.40148146,6,15,39,2,8,23,0.02989662,0.08786486,0.23974662,0.28535019,0.47974551,0.67577394
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-25 00:00:00.000000,0.07189630,0.16709740,0.41631781,7,16,41,2,8,25,0.02980479,0.08877775,0.25574817,0.28358910,0.47040379,0.67120498
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-26 00:00:00.000000,0.06758004,0.17476451,0.42751430,6,17,42,2,8,26,0.02847563,0.09079305,0.26933765,0.28060589,0.46302599,0.65996295
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-27 00:00:00.000000,0.05906646,0.17489886,0.43754552,5,17,43,2,9,27,0.02701398,0.09120252,0.27730097,0.26864734,0.45678086,0.63974562
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-28 00:00:00.000000,0.05614626,0.17465950,0.44567745,5,17,44,2,9,27,0.02504948,0.09439788,0.27881661,0.26612576,0.44559065,0.63454391
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-29 00:00:00.000000,0.05306016,0.17294306,0.45115505,5,17,44,2,9,28,0.02280417,0.09332425,0.29183228,0.26595705,0.42599881,0.65459473
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-30 00:00:00.000000,0.04361546,0.15731839,0.43520251,4,15,43,2,9,29,0.02102239,0.09292653,0.29922147,0.26506520,0.41189727,0.65260739
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-03-31 00:00:00.000000,0.03424744,0.14375717,0.41916055,3,14,41,1,7,27,0.01464578,0.07520830,0.27762012,0.26183253,0.40633270,0.66705759
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-01 00:00:00.000000,0.02231924,0.12033613,0.39540993,2,11,39,1,6,26,0.01131273,0.06610800,0.26513150,0.25967112,0.40645123,0.63706936
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-02 00:00:00.000000,0.01547084,0.10214208,0.37261268,1,10,36,0,5,24,0.00760452,0.05531688,0.25066048,0.26719586,0.40213128,0.63696198
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-03 00:00:00.000000,0.01045112,0.08561754,0.34711978,1,8,34,0,4,23,0.00520654,0.04696908,0.23523834,0.26491660,0.39648209,0.63420415
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-04 00:00:00.000000,0.00711585,0.07379989,0.32155723,0,7,31,0,3,21,0.00352977,0.03944698,0.22154600,0.26058542,0.38498038,0.63905609
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-05 00:00:00.000000,0.00481040,0.06250352,0.32027672,0,6,31,0,3,20,0.00247290,0.03374970,0.21238614,0.24638571,0.38536907,0.64006506
0,0,FranceSaintBarthelemy,Saint Barthelemy,,2020-10-01 19:11:27.461634,2020-04-06 00:00:00.000000,0.00327309,0.05315978,0.32027820,0,5,31,0,2,20,0.00171387,0.02926388,0.20343173,0.22948629,0.37923814,0.65791647
