FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-09 00:00:00.000000,0.00000876,0.00003398,0.00009205,0,3,10,0,1,3,0.00000188,0.00001302,0.00003440,0.39687214,0.55422387,0.76644327
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-10 00:00:00.000000,0.00001460,0.00004335,0.00010891,1,4,12,0,2,7,0.00000507,0.00002131,0.00006272,0.39687233,0.55421351,0.76644176
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-11 00:00:00.000000,0.00002087,0.00005389,0.00013560,2,6,15,0,3,9,0.00000820,0.00002772,0.00007923,0.39687265,0.55418983,0.76643747
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-12 00:00:00.000000,0.00002489,0.00006744,0.00016215,2,7,18,1,4,11,0.00001153,0.00003639,0.00009930,0.39687318,0.55413820,0.76642530
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-13 00:00:00.000000,0.00002931,0.00008217,0.00019365,3,9,22,1,4,13,0.00001433,0.00004278,0.00011944,0.39687409,0.55402903,0.76639068
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-14 00:00:00.000000,0.00003413,0.00009651,0.00023350,3,11,26,1,5,16,0.00001692,0.00005026,0.00014081,0.39687572,0.55388889,0.76629223
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-15 00:00:00.000000,0.00003937,0.00011094,0.00026933,4,12,30,2,6,18,0.00001976,0.00005850,0.00016323,0.39687886,0.55389313,0.76601275
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-16 00:00:00.000000,0.00005944,0.00013201,0.00029617,6,15,33,2,7,21,0.00002284,0.00006713,0.00018683,0.39670051,0.55318162,0.76522340
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-17 00:00:00.000000,0.00007079,0.00014888,0.00032416,8,16,36,3,8,23,0.00003189,0.00007865,0.00020676,0.39629545,0.54745896,0.76302752
0,0,Haiti,,,2020-09-22 04:59:29.913396,2020-03-18 00:00:00.000000,0.00008248,0.00017148,0.00035416,9,19,40,4,10,26,0.00003738,0.00008896,0.00022832,0.39561067,0.52977767,0.75717009
