FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-09 00:00:00.000000,0.17757002,1.06730767,3.01489787,1,8,24,0,1,8,0.02132718,0.20298594,1.02418107,0.47383683,0.67669301,0.88616748
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-10 00:00:00.000000,0.07611380,0.59883849,2.04914652,0,4,16,0,2,5,0.03911133,0.28979025,0.69151602,0.47383659,0.67669260,0.88607017
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-11 00:00:00.000000,0.07557494,0.51893651,1.33884518,0,4,10,0,0,3,0.01807352,0.11807481,0.49086003,0.47383591,0.67669258,0.88589390
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-12 00:00:00.000000,0.04423985,0.28709726,0.91787415,0,2,7,0,0,2,0.01465162,0.11803893,0.34742106,0.47383380,0.67669248,0.88557477
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-13 00:00:00.000000,0.03178508,0.22202098,0.68930644,0,1,5,0,0,1,0.00912101,0.05655484,0.21407639,0.47382611,0.67669201,0.88499782
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-14 00:00:00.000000,0.02080033,0.13046997,0.47814194,0,1,3,0,0,1,0.00636450,0.04967052,0.17429627,0.47379418,0.67651157,0.88395745
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-15 00:00:00.000000,0.01418296,0.09176964,0.35547283,0,0,2,0,0,0,0.00421505,0.02493837,0.11205300,0.47364803,0.67467472,0.88209068
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-16 00:00:00.000000,0.08487695,0.18412017,0.47917656,0,1,3,0,0,0,0.00285945,0.01974703,0.08833998,0.47294470,0.67226820,0.87877225
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-17 00:00:00.000000,0.12304619,0.27899226,0.58861258,0,2,4,0,0,2,0.05155567,0.11776457,0.25723876,0.46960360,0.67244355,0.87436298
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-18 00:00:00.000000,0.16677608,0.42212198,0.80551698,1,3,6,0,1,2,0.05360663,0.12955143,0.29696234,0.45641537,0.67025750,0.86335685
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-19 00:00:00.000000,0.17523200,0.47101990,0.91136771,1,3,7,0,1,3,0.06204990,0.16621440,0.37221880,0.42868260,0.66705027,0.82931101
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-20 00:00:00.000000,0.18444871,0.52107395,1.02073857,1,4,8,0,1,3,0.06216926,0.17242922,0.41939862,0.40836227,0.63916178,0.80026363
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-21 00:00:00.000000,0.18495261,0.55190281,1.06428425,1,4,8,0,1,3,0.06319640,0.18490557,0.45986460,0.39463015,0.61806383,0.80464283
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-22 00:00:00.000000,0.18507203,0.57658418,1.13336088,1,4,9,0,1,3,0.06264322,0.18784978,0.48961374,0.38040775,0.60316206,0.81200664
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-23 00:00:00.000000,0.96254163,1.56916056,2.08428167,7,12,16,0,1,4,0.06232764,0.19071365,0.51389300,0.37177487,0.58871105,0.81903379
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-24 00:00:00.000000,1.45623294,2.69009326,3.10430113,11,21,25,5,9,11,0.63626720,1.18940969,1.38687332,0.36676601,0.58159745,0.82281082
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-25 00:00:00.000000,2.11884568,4.14518485,4.50033808,17,33,36,5,10,13,0.68401167,1.31915308,1.73032044,0.36377874,0.57632281,0.82453449
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-26 00:00:00.000000,2.31967257,4.60583482,5.12702018,18,37,41,6,13,17,0.82306175,1.61425078,2.10681070,0.36156731,0.57581810,0.82478111
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-27 00:00:00.000000,2.50818486,5.09775304,5.86326340,20,41,47,6,13,18,0.84571950,1.70009248,2.24773553,0.35815340,0.56372389,0.81754353
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-28 00:00:00.000000,2.56285260,5.25512145,6.21759584,20,42,50,7,14,19,0.87951394,1.78369909,2.41904593,0.35371720,0.54393351,0.80804971
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-29 00:00:00.000000,2.59805560,5.41298702,6.42835191,21,43,52,7,14,20,0.88137546,1.81359606,2.52741422,0.33045556,0.53132246,0.79572086
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-30 00:00:00.000000,2.08555446,4.28590490,5.57840959,16,34,45,7,14,20,0.88303995,1.83049450,2.57234700,0.32386554,0.51522450,0.80911106
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-03-31 00:00:00.000000,1.68166923,3.24337829,4.70868887,13,26,38,3,6,13,0.45317312,0.83787324,1.66696390,0.32357395,0.51083536,0.80927772
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-01 00:00:00.000000,0.94056064,1.98053435,3.39333149,7,16,27,2,5,12,0.34268940,0.71691053,1.50511110,0.31771075,0.50427331,0.81198007
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-02 00:00:00.000000,0.67435366,1.50418717,2.89946226,5,12,23,1,3,9,0.18218373,0.46851929,1.12919530,0.31324831,0.49717389,0.81304703
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-03 00:00:00.000000,0.43962068,1.11413635,2.33261534,3,9,18,1,3,8,0.14751240,0.38940411,0.99574470,0.31463756,0.49849297,0.82742629
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-04 00:00:00.000000,0.35591665,0.95398610,2.08320993,2,7,16,0,2,6,0.11437924,0.30965938,0.83142961,0.30304005,0.50063205,0.84375984
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-05 00:00:00.000000,0.29106783,0.80116236,1.83038739,2,6,14,0,2,5,0.09829270,0.28121451,0.70716081,0.29346727,0.49988635,0.87000333
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-06 00:00:00.000000,0.35857853,0.75493531,1.54575935,2,6,12,0,1,5,0.08699239,0.24415438,0.66306310,0.27716183,0.50140017,0.87407983
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-07 00:00:00.000000,0.38688238,0.81814005,1.52630057,3,6,12,1,2,4,0.13844230,0.29410353,0.58118360,0.26941630,0.49529935,0.88651290
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-08 00:00:00.000000,0.41327497,0.85346367,1.74443633,3,6,14,1,2,4,0.12624922,0.29253129,0.61158298,0.26532348,0.49394168,0.87866201
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-09 00:00:00.000000,0.37278467,0.82346399,1.68256503,3,6,13,0,2,4,0.11748367,0.30231626,0.60819400,0.25907076,0.49051948,0.88137122
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-10 00:00:00.000000,0.34759050,0.82256600,1.79590815,2,6,14,0,2,4,0.11740464,0.29522073,0.60520628,0.24879608,0.49089529,0.88874001
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-11 00:00:00.000000,0.34010454,0.81617346,1.84576187,2,6,14,0,2,5,0.11396930,0.28802370,0.63109455,0.24365852,0.49394650,0.94754616
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-12 00:00:00.000000,0.31757424,0.81389345,1.88516783,2,6,15,0,2,5,0.10257149,0.28555033,0.63884174,0.24253938,0.49048748,1.00942371
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-13 00:00:00.000000,0.35841030,0.77044323,1.56752585,2,6,12,0,2,5,0.09817973,0.28750455,0.64595317,0.24236261,0.49289181,1.04332197
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-14 00:00:00.000000,0.33088151,0.72350087,1.40299168,2,5,11,0,1,3,0.09749170,0.24270512,0.42736691,0.24044307,0.49583755,1.04934870
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-15 00:00:00.000000,0.27734475,0.66370081,1.26093494,2,5,10,0,1,3,0.09652655,0.22698894,0.42440918,0.23708758,0.50055979,1.05030546
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-16 00:00:00.000000,0.24527745,0.64469681,1.27707842,1,5,10,0,1,3,0.07845668,0.21185817,0.43678248,0.23361947,0.49864993,1.05118129
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-17 00:00:00.000000,0.21659841,0.60747568,1.29521259,1,4,10,0,1,3,0.07324358,0.20811239,0.44955971,0.22909685,0.49179312,1.05312370
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-18 00:00:00.000000,0.19901511,0.60146090,1.27202334,1,4,10,0,1,3,0.06443447,0.20661519,0.44338673,0.22314700,0.48726176,1.05750355
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-19 00:00:00.000000,0.18702888,0.60546327,1.31092409,1,4,10,0,1,3,0.06152694,0.20695299,0.45305289,0.21815785,0.49752225,1.08178116
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-20 00:00:00.000000,0.26760283,0.64302370,1.26991196,2,5,10,0,1,3,0.06074665,0.20585058,0.47255312,0.22415551,0.51658943,1.15496856
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-21 00:00:00.000000,0.32000716,0.70026379,1.29114569,2,5,10,0,1,4,0.11192994,0.23691910,0.51739682,0.22230444,0.52214720,1.26882357
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-22 00:00:00.000000,0.34890076,0.73111169,1.53698142,2,5,12,0,2,4,0.11623427,0.24883423,0.52642200,0.22128849,0.52709140,1.31819426
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-23 00:00:00.000000,0.33486097,0.76100826,1.65143510,2,6,13,0,2,4,0.11072932,0.26896162,0.58532396,0.22078379,0.53946180,1.32784846
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-24 00:00:00.000000,0.33400808,0.78710929,1.75827690,2,6,14,0,2,4,0.11305688,0.27471098,0.59723316,0.22058166,0.55056101,1.32910863
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-25 00:00:00.000000,0.34016338,0.80005846,1.78465547,2,6,14,0,2,5,0.11601253,0.27788091,0.62358354,0.21755771,0.56212559,1.32920588
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-26 00:00:00.000000,0.34444739,0.79863229,1.81599153,2,6,14,0,2,5,0.11671010,0.27482902,0.62890188,0.21601024,0.57432888,1.32924169
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-27 00:00:00.000000,0.52778543,0.99694873,1.90813329,4,8,15,0,2,5,0.11748462,0.27483828,0.63936600,0.21588893,0.58415086,1.32935265
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-28 00:00:00.000000,0.69235959,1.17167315,2.03691418,5,9,16,2,3,6,0.26525365,0.45182062,0.74664417,0.22457149,0.58029349,1.32955533
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-29 00:00:00.000000,0.80465085,1.44968538,2.17636934,6,11,17,2,3,6,0.27226344,0.48465818,0.77214515,0.23664331,0.57917125,1.32983326
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-04-30 00:00:00.000000,0.81839469,1.54209110,2.29638089,6,12,18,2,4,6,0.27843806,0.54567097,0.85394687,0.22630238,0.58871442,1.40162867
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-01 00:00:00.000000,0.82923793,1.64752723,2.37125396,6,13,19,2,4,7,0.28089602,0.55682821,0.89438158,0.21753284,0.60463175,1.47273983
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-02 00:00:00.000000,0.82066146,1.68627508,2.45689935,6,13,19,2,4,7,0.27851851,0.58146254,0.94014844,0.20588830,0.60454976,1.48443084
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-03 00:00:00.000000,0.82351623,1.72979400,2.52574979,6,13,20,2,4,7,0.27912326,0.59128201,0.96281986,0.19356694,0.61813009,1.49202800
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-04 00:00:00.000000,0.60850429,1.40938268,2.21455875,4,11,17,2,4,7,0.27976653,0.59787980,0.97722056,0.19130043,0.65024477,1.49602828
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-05 00:00:00.000000,0.41866981,1.03798668,1.79093536,3,8,14,0,2,4,0.07351121,0.26493106,0.50516471,0.19026510,0.65184364,1.50468446
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-06 00:00:00.000000,0.12885534,0.55270313,1.07282992,1,4,8,0,1,3,0.04728076,0.20728330,0.41879340,0.18948353,0.65038459,1.50496653
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-07 00:00:00.000000,0.06506570,0.36046948,0.80158455,0,2,6,0,0,1,0.01342917,0.10501086,0.23173239,0.18894254,0.63801002,1.50473121
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-08 00:00:00.000000,0.02193145,0.22681201,0.50040441,0,1,4,0,0,1,0.00705528,0.08169495,0.18764543,0.19003472,0.60769823,1.50850427
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-09 00:00:00.000000,0.01013168,0.15234275,0.38370474,0,1,3,0,0,0,0.00236645,0.04547653,0.12226961,0.19296024,0.62588575,1.50380580
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-10 00:00:00.000000,0.00376151,0.08956677,0.26678492,0,0,2,0,0,0,0.00113099,0.03073614,0.09694445,0.19519078,0.63667625,1.50010980
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-11 00:00:00.000000,0.00167362,0.05685268,0.19800268,0,0,1,0,0,0,0.00041983,0.01717020,0.06749421,0.19761574,0.63773320,1.52448850
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-12 00:00:00.000000,0.00065956,0.03438059,0.13821080,0,0,1,0,0,0,0.00019138,0.01172851,0.05100879,0.19974002,0.64241707,1.52228936
0,0,HolySee,,,2020-09-16 19:35:35.107755,2020-05-13 00:00:00.000000,0.00028856,0.02182893,0.10310144,0,0,0,0,0,0,0.00007545,0.00679347,0.03742308,0.20683606,0.64330277,1.51588978
