FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-09 00:00:00.000000,0.00057370,0.00112687,0.00206618,55,108,199,24,58,116,0.00025824,0.00060230,0.00120303,0.61177080,0.77269107,0.96252360
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-10 00:00:00.000000,0.00058352,0.00128378,0.00244868,56,124,236,36,72,131,0.00037903,0.00075214,0.00136520,0.61177002,0.77275366,0.96252360
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-11 00:00:00.000000,0.00073959,0.00146824,0.00278015,71,141,268,43,86,154,0.00045121,0.00089771,0.00159766,0.61176887,0.77287371,0.96252360
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-12 00:00:00.000000,0.00087503,0.00175178,0.00320614,84,169,309,54,102,177,0.00056870,0.00105768,0.00184208,0.61176725,0.77310313,0.96252360
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-13 00:00:00.000000,0.00105655,0.00202986,0.00368939,102,196,356,65,116,205,0.00068262,0.00121048,0.00212378,0.61176521,0.77353846,0.96252360
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-14 00:00:00.000000,0.00126459,0.00232090,0.00424501,122,224,410,79,138,236,0.00082236,0.00143841,0.00244525,0.61176333,0.77368974,0.96252358
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-15 00:00:00.000000,0.00152189,0.00265777,0.00494070,147,256,477,94,159,271,0.00097977,0.00164656,0.00281344,0.61176498,0.77350952,0.96252350
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-16 00:00:00.000000,0.00180122,0.00302752,0.00583136,174,292,563,112,183,314,0.00115956,0.00190194,0.00325173,0.61178990,0.77310587,0.96252310
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-17 00:00:00.000000,0.00208340,0.00345655,0.00688226,201,333,664,129,209,372,0.00134049,0.00217125,0.00385192,0.61322633,0.77222166,0.96252112
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-18 00:00:00.000000,0.00240407,0.00403892,0.00807501,232,390,780,150,242,450,0.00155675,0.00251436,0.00465841,0.61736936,0.77509603,0.96251096
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-19 00:00:00.000000,0.00277560,0.00464051,0.00933480,268,448,901,173,277,548,0.00180050,0.00287223,0.00567553,0.62176482,0.77527103,0.96245731
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-20 00:00:00.000000,0.00331859,0.00531470,0.01052090,320,513,1016,201,323,660,0.00208326,0.00334443,0.00683238,0.63249647,0.76819069,0.96216843
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-21 00:00:00.000000,0.00389045,0.00605784,0.01202512,375,585,1161,237,370,783,0.00246192,0.00383597,0.00811539,0.60429378,0.75562849,0.96070346
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-22 00:00:00.000000,0.00448942,0.00706119,0.01402410,433,682,1354,277,425,922,0.00287331,0.00440354,0.00954900,0.59396279,0.74579189,0.87882002
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-23 00:00:00.000000,0.00516239,0.00804657,0.01617573,498,777,1562,323,484,1074,0.00335043,0.00501748,0.01112031,0.57792459,0.73606293,0.86020031
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-24 00:00:00.000000,0.00559374,0.00902975,0.01844162,540,872,1781,350,549,1225,0.00363214,0.00568381,0.01268290,0.56611229,0.72057545,0.85930377
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-25 00:00:00.000000,0.00609263,0.01027831,0.02136156,588,992,2063,385,625,1397,0.00399153,0.00647352,0.01446632,0.53151556,0.70840389,0.85716345
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-26 00:00:00.000000,0.00689705,0.01153893,0.02461488,666,1114,2377,436,710,1592,0.00451972,0.00735534,0.01648046,0.51027249,0.69307198,0.84902716
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-27 00:00:00.000000,0.00780269,0.01290123,0.02816924,753,1246,2721,494,800,1808,0.00512076,0.00828785,0.01872245,0.50856628,0.67867974,0.83454393
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-28 00:00:00.000000,0.00880220,0.01425512,0.03199094,850,1377,3090,559,901,2031,0.00579458,0.00933579,0.02103229,0.48148547,0.66358121,0.82324792
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-29 00:00:00.000000,0.00984048,0.01577495,0.03562522,950,1523,3441,631,1011,2215,0.00653241,0.01047195,0.02293039,0.47142385,0.64532524,0.79247367
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-30 00:00:00.000000,0.01083052,0.01746806,0.03744630,1046,1687,3617,704,1120,2340,0.00728896,0.01160347,0.02422450,0.45671809,0.61021172,0.77201693
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-03-31 00:00:00.000000,0.01177694,0.01921481,0.03905412,1137,1856,3772,772,1240,2443,0.00799722,0.01284330,0.02529119,0.44868034,0.59653663,0.76754067
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-01 00:00:00.000000,0.01295530,0.02103331,0.04101786,1251,2031,3962,837,1358,2693,0.00867034,0.01406343,0.02788549,0.44570602,0.58916159,0.75532036
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-02 00:00:00.000000,0.01393829,0.02303922,0.04359108,1346,2225,4211,905,1484,2909,0.00937207,0.01537086,0.03011813,0.44405294,0.58406599,0.72681810
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-03 00:00:00.000000,0.01514174,0.02486122,0.04595648,1462,2401,4439,979,1637,3058,0.01013765,0.01694788,0.03165555,0.44302403,0.58184668,0.71828127
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-04 00:00:00.000000,0.01652223,0.02718698,0.04958565,1596,2626,4790,1062,1786,3269,0.01099556,0.01849731,0.03384185,0.44194618,0.57685004,0.70159148
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-05 00:00:00.000000,0.01803440,0.02973868,0.05355869,1742,2872,5173,1157,1928,3522,0.01197922,0.01996683,0.03646226,0.44338453,0.57058219,0.70282772
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-06 00:00:00.000000,0.01966497,0.03187186,0.05735228,1899,3078,5540,1266,2080,3792,0.01310991,0.02153284,0.03926179,0.44715180,0.56315847,0.72163331
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-07 00:00:00.000000,0.02144160,0.03497104,0.06102507,2071,3378,5895,1340,2236,4077,0.01387968,0.02315054,0.04220427,0.44812051,0.56055915,0.72324660
0,0,Hungary,,,2020-09-16 20:09:50.693479,2020-04-08 00:00:00.000000,0.02336321,0.03817647,0.06475595,2256,3687,6255,1445,2399,4363,0.01496783,0.02483454,0.04517033,0.43647610,0.54774992,0.71185139
