FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-09 00:00:00.000000,0.00000913,0.00002129,0.00004867,2,5,13,0,2,5,0.00000148,0.00000736,0.00001905,0.47522529,0.66181262,0.85527874
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-10 00:00:00.000000,0.00001381,0.00002724,0.00005259,3,7,14,1,3,7,0.00000641,0.00001272,0.00002696,0.47521781,0.66192134,0.85524812
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-11 00:00:00.000000,0.00001981,0.00003566,0.00007242,5,9,20,2,5,10,0.00000857,0.00001808,0.00003738,0.47520752,0.66211700,0.85519852
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-12 00:00:00.000000,0.00002524,0.00004509,0.00009173,6,12,25,3,6,13,0.00001220,0.00002340,0.00005043,0.47519406,0.66246841,0.85511654
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-13 00:00:00.000000,0.00002976,0.00005443,0.00011028,8,15,30,4,7,17,0.00001614,0.00002827,0.00006328,0.47517784,0.66309710,0.85497577
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-14 00:00:00.000000,0.00003439,0.00006338,0.00013226,9,17,36,5,9,21,0.00001844,0.00003295,0.00007650,0.47516143,0.66421383,0.85471724
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-15 00:00:00.000000,0.00003819,0.00007273,0.00015373,10,20,42,5,10,24,0.00002119,0.00003930,0.00008915,0.47515217,0.66491678,0.85419104
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-16 00:00:00.000000,0.00004952,0.00008477,0.00016581,13,23,45,6,12,28,0.00002400,0.00004583,0.00010180,0.47516706,0.66394660,0.85297442
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-17 00:00:00.000000,0.00005554,0.00009719,0.00017867,15,26,49,7,14,29,0.00002777,0.00005285,0.00010500,0.47524050,0.66175632,0.84980496
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-18 00:00:00.000000,0.00006214,0.00010764,0.00020178,17,29,55,8,16,32,0.00003181,0.00005938,0.00011562,0.46341434,0.65997866,0.84093532
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-19 00:00:00.000000,0.00006837,0.00012013,0.00021974,18,33,60,10,18,35,0.00003805,0.00006617,0.00012786,0.46379046,0.64873096,0.83335184
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-20 00:00:00.000000,0.00007423,0.00013409,0.00023324,20,37,64,11,21,37,0.00004141,0.00007616,0.00013590,0.46985866,0.64401968,0.83116240
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-21 00:00:00.000000,0.00007832,0.00014890,0.00024599,21,41,68,12,23,39,0.00004396,0.00008648,0.00014400,0.47752065,0.63668386,0.78530550
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-22 00:00:00.000000,0.00008234,0.00016240,0.00027257,22,44,75,12,26,42,0.00004693,0.00009537,0.00015521,0.47818310,0.63155295,0.80231545
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-23 00:00:00.000000,0.00009814,0.00018007,0.00028901,27,49,80,13,28,47,0.00004914,0.00010182,0.00017228,0.47755523,0.62261310,0.81748352
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-24 00:00:00.000000,0.00010468,0.00019628,0.00031755,28,54,87,14,30,49,0.00005297,0.00011164,0.00017715,0.45938351,0.61741732,0.82010664
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-25 00:00:00.000000,0.00010892,0.00021243,0.00033024,30,58,91,15,32,50,0.00005618,0.00011901,0.00018328,0.43396632,0.59968719,0.79091028
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-26 00:00:00.000000,0.00011314,0.00022416,0.00034743,31,62,96,16,35,55,0.00005923,0.00012647,0.00020212,0.40966507,0.58272638,0.80511378
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-27 00:00:00.000000,0.00011733,0.00022918,0.00037894,32,63,104,17,36,60,0.00006153,0.00013294,0.00021942,0.40868257,0.57367683,0.79336468
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-28 00:00:00.000000,0.00012140,0.00023287,0.00038971,33,64,107,17,37,67,0.00006274,0.00013536,0.00024527,0.40825093,0.56620582,0.81105936
0,0,Madagascar,,,2020-09-28 21:07:28.380972,2020-03-29 00:00:00.000000,0.00012535,0.00023533,0.00041049,34,65,113,17,37,73,0.00006392,0.00013689,0.00026411,0.40772841,0.55078788,0.82373689
