FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-09 00:00:00.000000,0.00005339,0.00017617,0.00033222,1,4,8,0,1,4,0.00001336,0.00006479,0.00016901,0.38000350,0.52693291,0.71874879
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-10 00:00:00.000000,0.00006649,0.00021152,0.00039497,1,5,10,0,2,5,0.00003106,0.00011275,0.00023135,0.37998334,0.52685900,0.71874590
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-11 00:00:00.000000,0.00009124,0.00028925,0.00051017,2,7,12,1,3,7,0.00004984,0.00015484,0.00027994,0.37994351,0.52664417,0.71874052
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-12 00:00:00.000000,0.00011471,0.00035257,0.00060597,2,8,15,1,5,8,0.00006654,0.00019698,0.00035275,0.37986494,0.52505885,0.71873013
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-13 00:00:00.000000,0.00013698,0.00043026,0.00070791,3,10,17,2,6,10,0.00008278,0.00023696,0.00042404,0.37971015,0.52120038,0.71870915
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-14 00:00:00.000000,0.00016111,0.00049005,0.00083736,4,12,21,2,7,12,0.00009927,0.00028408,0.00050152,0.37940627,0.51275613,0.71866463
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-15 00:00:00.000000,0.00018563,0.00054456,0.00096801,4,13,24,2,8,14,0.00011595,0.00033005,0.00058746,0.37881373,0.50849357,0.71856535
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-16 00:00:00.000000,0.00023568,0.00060583,0.00103447,5,15,26,3,9,17,0.00013284,0.00036470,0.00067403,0.37820377,0.50369943,0.71833308
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-17 00:00:00.000000,0.00025673,0.00069855,0.00115201,6,17,29,4,10,17,0.00015950,0.00041207,0.00069984,0.37899659,0.50065512,0.71776421
0,0,Namibia,,,2020-08-13 23:17:59.729741,2020-03-18 00:00:00.000000,0.00030677,0.00078587,0.00133498,7,19,33,4,11,20,0.00017726,0.00046712,0.00079820,0.37722089,0.48796007,0.71630498
