FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-09 00:00:00.000000,0.00199080,0.00637136,0.01130493,85,274,487,45,135,273,0.00105967,0.00314443,0.00634852,0.62689454,0.79601180,1.10481440
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-10 00:00:00.000000,0.00198739,0.00757524,0.01334110,85,326,575,62,168,293,0.00144293,0.00389760,0.00679851,0.62654620,0.79601182,1.10481283
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-11 00:00:00.000000,0.00250638,0.00885523,0.01410097,108,382,608,76,197,344,0.00176240,0.00457986,0.00798201,0.62600282,0.79601186,1.10480950
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-12 00:00:00.000000,0.00308896,0.01010596,0.01584490,133,436,683,94,233,404,0.00219794,0.00540842,0.00936473,0.62516017,0.79601194,1.10480010
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-13 00:00:00.000000,0.00383941,0.01152719,0.01906410,165,497,822,117,274,475,0.00271341,0.00636384,0.01103181,0.62386524,0.79601176,1.10476750
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-14 00:00:00.000000,0.00476062,0.01317893,0.02296022,205,568,990,144,317,557,0.00334550,0.00735194,0.01292230,0.62190285,0.79600808,1.10464198
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-15 00:00:00.000000,0.00590469,0.01517454,0.02741923,254,654,1183,177,374,651,0.00411300,0.00867308,0.01510881,0.61899099,0.79597189,1.10413924
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-16 00:00:00.000000,0.00727795,0.01802916,0.03232028,314,777,1394,217,436,762,0.00504710,0.01010793,0.01767886,0.61480237,0.79129934,1.10210817
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-17 00:00:00.000000,0.00895437,0.02074739,0.03807266,386,895,1642,265,507,925,0.00616180,0.01175955,0.02145179,0.60903789,0.79297016,1.09436168
0,0,Panama,,,2020-08-21 04:47:22.482838,2020-03-18 00:00:00.000000,0.01097216,0.02380595,0.04481575,473,1027,1933,327,578,1126,0.00758086,0.01340450,0.02611199,0.60156660,0.79124307,1.09434165
