FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-09 00:00:00.000000,0.02068212,0.03201018,0.04554241,429,665,946,220,380,621,0.01061883,0.01828624,0.02987931,0.61117981,0.77536236,1.01245728
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-10 00:00:00.000000,0.02206871,0.03603659,0.05051633,458,749,1050,261,377,534,0.01257580,0.01818023,0.02572999,0.61118079,0.77536067,1.01245717
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-11 00:00:00.000000,0.02371329,0.03637279,0.04889010,492,756,1016,288,412,580,0.01388100,0.01985821,0.02793567,0.61118291,0.77535791,1.01245613
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-12 00:00:00.000000,0.02611548,0.03861260,0.05228299,542,802,1086,309,431,602,0.01487343,0.02076242,0.02900408,0.61118755,0.77535335,1.01244587
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-13 00:00:00.000000,0.02916777,0.04092603,0.05700672,606,850,1185,337,462,646,0.01621779,0.02226085,0.03111123,0.61119775,0.77534576,1.01234473
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-14 00:00:00.000000,0.03219950,0.04286437,0.06098191,669,891,1267,362,488,680,0.01744914,0.02349340,0.03271254,0.61122032,0.77313708,1.01135297
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-15 00:00:00.000000,0.03448556,0.04501408,0.06415017,716,935,1333,385,509,744,0.01853680,0.02451902,0.03582800,0.61127049,0.76788457,1.00205454
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-16 00:00:00.000000,0.03639558,0.04662499,0.06785610,756,969,1410,394,530,814,0.01897919,0.02551289,0.03915708,0.61138231,0.76377179,0.95674772
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-17 00:00:00.000000,0.03825168,0.04814287,0.07318267,795,1000,1521,415,551,881,0.02000915,0.02652793,0.04242273,0.60902396,0.75593138,0.86613206
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-18 00:00:00.000000,0.03991641,0.04947388,0.07790712,829,1028,1619,431,575,946,0.02075968,0.02769696,0.04553643,0.60598490,0.74706189,0.83255881
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-19 00:00:00.000000,0.04114758,0.05216301,0.08199839,855,1084,1704,447,601,989,0.02152975,0.02895539,0.04759288,0.61299948,0.74136104,0.83156749
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-20 00:00:00.000000,0.04293659,0.05438254,0.08551555,892,1130,1777,464,623,1010,0.02232512,0.02998691,0.04860750,0.61475118,0.73303006,0.82917269
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-21 00:00:00.000000,0.04532627,0.05692685,0.08807758,942,1183,1831,480,643,1029,0.02312560,0.03096536,0.04953978,0.61666138,0.72548248,0.82644183
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-22 00:00:00.000000,0.04755829,0.05858309,0.08975336,988,1217,1865,496,664,1049,0.02388848,0.03197920,0.05047870,0.59335276,0.72441545,0.82986173
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-23 00:00:00.000000,0.04899311,0.06092708,0.09133918,1018,1266,1898,518,687,1069,0.02495685,0.03307147,0.05142730,0.59056932,0.72065574,0.83822151
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-24 00:00:00.000000,0.05037074,0.06353607,0.09292553,1047,1320,1931,535,719,1108,0.02573829,0.03462095,0.05332830,0.59993207,0.71469200,0.84124438
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-25 00:00:00.000000,0.05153526,0.06509481,0.09555077,1071,1353,1986,551,750,1153,0.02653493,0.03608845,0.05550804,0.58569403,0.71045750,0.83587221
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-26 00:00:00.000000,0.05226413,0.06808039,0.09944070,1086,1415,2067,563,783,1201,0.02710745,0.03768779,0.05777331,0.58251192,0.70416431,0.81223587
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-27 00:00:00.000000,0.05261465,0.07034936,0.10269200,1093,1462,2134,569,810,1231,0.02737165,0.03896346,0.05921602,0.56823317,0.69338629,0.79805752
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-28 00:00:00.000000,0.05354913,0.07195359,0.10342311,1113,1495,2150,577,828,1245,0.02775532,0.03985352,0.05990948,0.54662195,0.66849418,0.77632245
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-29 00:00:00.000000,0.05372916,0.07195086,0.10367368,1116,1495,2155,578,828,1249,0.02783826,0.03987109,0.06009459,0.52866172,0.65097018,0.75391321
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-30 00:00:00.000000,0.05330435,0.07123390,0.10361459,1108,1480,2154,571,832,1250,0.02746975,0.04002463,0.06012818,0.50001661,0.63199976,0.72178723
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-03-31 00:00:00.000000,0.05207740,0.07000027,0.10346360,1082,1455,2150,558,826,1248,0.02686619,0.03973948,0.06006647,0.47272259,0.59568545,0.70925975
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-01 00:00:00.000000,0.05067007,0.06914159,0.10257792,1053,1437,2132,548,813,1246,0.02637229,0.03914650,0.05995913,0.46818824,0.57890434,0.68318269
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-02 00:00:00.000000,0.04855446,0.06687789,0.10225842,1009,1390,2125,536,788,1241,0.02580703,0.03790891,0.05971816,0.45883020,0.56783080,0.66305167
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-03 00:00:00.000000,0.04631193,0.06493206,0.10003508,962,1349,2079,524,756,1226,0.02525071,0.03638984,0.05897273,0.44465975,0.55493816,0.64179715
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-04 00:00:00.000000,0.04416617,0.06231852,0.09721006,918,1295,2020,502,752,1197,0.02417675,0.03618218,0.05761524,0.43102538,0.53904237,0.62216966
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-05 00:00:00.000000,0.04210840,0.06005126,0.09474114,875,1248,1969,486,730,1169,0.02339307,0.03514058,0.05625205,0.41741759,0.53462938,0.63010269
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-06 00:00:00.000000,0.04019622,0.05772311,0.09210039,835,1200,1914,469,699,1144,0.02256727,0.03365130,0.05505397,0.41313950,0.52897928,0.61485654
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-07 00:00:00.000000,0.03820270,0.05535035,0.08941861,794,1150,1858,439,672,1105,0.02115746,0.03233538,0.05316148,0.40646091,0.52142402,0.59920973
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-08 00:00:00.000000,0.03632970,0.05311399,0.08698705,755,1104,1808,412,644,1065,0.01985117,0.03101415,0.05123894,0.40070309,0.51669102,0.59416964
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-09 00:00:00.000000,0.03446546,0.05082922,0.08360223,716,1056,1738,387,619,1023,0.01862024,0.02982233,0.04923725,0.39373622,0.50924569,0.58288838
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-10 00:00:00.000000,0.03276525,0.04805853,0.07976461,681,999,1658,362,593,977,0.01744235,0.02855947,0.04700322,0.38505578,0.50211198,0.57314932
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-11 00:00:00.000000,0.03081279,0.04527250,0.07567091,640,941,1573,338,561,924,0.01630462,0.02701333,0.04447033,0.37159475,0.49182631,0.57845375
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-12 00:00:00.000000,0.02842729,0.04268470,0.07173866,590,887,1491,316,530,869,0.01520581,0.02551743,0.04181578,0.36590869,0.48624450,0.56043900
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-13 00:00:00.000000,0.02626698,0.04013754,0.06768743,546,834,1407,294,501,818,0.01415464,0.02412589,0.03939168,0.35863033,0.48171057,0.56052763
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-14 00:00:00.000000,0.02440106,0.03786567,0.06383333,507,787,1327,274,472,772,0.01318207,0.02270585,0.03714524,0.34780655,0.48119565,0.56104055
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-15 00:00:00.000000,0.02289075,0.03512576,0.06017129,475,730,1250,254,443,737,0.01226280,0.02132694,0.03545932,0.34101769,0.47404652,0.55716648
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-16 00:00:00.000000,0.02148788,0.03291439,0.05669366,446,684,1178,237,417,698,0.01140541,0.02005924,0.03360643,0.33882751,0.46954318,0.55243532
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-17 00:00:00.000000,0.02001322,0.03101035,0.05255723,416,644,1092,220,394,651,0.01059662,0.01896197,0.03134733,0.33639183,0.46680944,0.55491427
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-18 00:00:00.000000,0.01852454,0.02902400,0.04841679,385,603,1006,204,369,608,0.00981862,0.01777899,0.02926670,0.32804696,0.45959635,0.54551821
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-19 00:00:00.000000,0.01710101,0.02665169,0.04424115,355,554,919,188,343,572,0.00906995,0.01652544,0.02753393,0.32174558,0.44806012,0.53753951
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-20 00:00:00.000000,0.01583426,0.02476301,0.04101999,329,514,852,173,315,528,0.00835927,0.01516096,0.02541010,0.31647708,0.44176781,0.53984848
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-21 00:00:00.000000,0.01467372,0.02288544,0.03821672,305,475,794,161,287,476,0.00776783,0.01381761,0.02293107,0.30782209,0.43223938,0.54188205
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-22 00:00:00.000000,0.01363771,0.02113560,0.03557217,283,439,739,149,262,439,0.00720461,0.01261874,0.02115945,0.30497527,0.41900786,0.53902376
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-23 00:00:00.000000,0.01245214,0.01939231,0.03274156,258,403,680,136,238,409,0.00655710,0.01145092,0.01969153,0.29785444,0.40916377,0.52384925
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-24 00:00:00.000000,0.01100317,0.01740550,0.02985707,228,361,620,121,213,380,0.00584163,0.01028580,0.01829672,0.29353465,0.39668158,0.50669589
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-25 00:00:00.000000,0.00977070,0.01546803,0.02723354,203,321,566,106,194,352,0.00512175,0.00937075,0.01697097,0.27590525,0.38665320,0.51073410
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-26 00:00:00.000000,0.00879885,0.01391679,0.02485135,182,289,516,96,174,326,0.00466484,0.00840209,0.01569275,0.26917665,0.38932069,0.52772914
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-27 00:00:00.000000,0.00794749,0.01260253,0.02265871,165,261,471,88,155,299,0.00425441,0.00746619,0.01442842,0.26740527,0.38036880,0.53363867
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-28 00:00:00.000000,0.00726515,0.01115613,0.02066756,151,231,429,79,138,273,0.00384705,0.00664023,0.01314313,0.26659874,0.37171282,0.53367252
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-29 00:00:00.000000,0.00651348,0.01000473,0.01885603,135,207,392,72,122,245,0.00348528,0.00589324,0.01182793,0.26430879,0.36089934,0.52354772
0,0,Slovenia,,,2020-09-09 01:49:03.561719,2020-04-30 00:00:00.000000,0.00568595,0.00900573,0.01714322,118,187,356,65,111,218,0.00316085,0.00538107,0.01052223,0.24452314,0.35358181,0.48715324
