FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-09 00:00:00.000000,0.00111368,0.00255107,0.00383671,15,35,53,1,19,36,0.00011432,0.00136520,0.00261982,0.79097114,0.90723167,1.15122285
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-10 00:00:00.000000,0.00138692,0.00327778,0.00528788,19,45,74,10,23,37,0.00076847,0.00170474,0.00270446,0.79096406,0.90721782,1.15122266
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-11 00:00:00.000000,0.00200316,0.00423755,0.00597831,28,59,83,14,32,50,0.00102133,0.00232403,0.00360726,0.79095197,0.90718467,1.15122224
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-12 00:00:00.000000,0.00258283,0.00515567,0.00730448,36,72,102,19,41,59,0.00141281,0.00297826,0.00425882,0.79093132,0.90710540,1.15122127
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-13 00:00:00.000000,0.00340656,0.00630305,0.00898071,47,88,125,25,50,74,0.00181018,0.00362803,0.00529443,0.79089595,0.90691594,1.15121907
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-14 00:00:00.000000,0.00415118,0.00756188,0.01087723,58,105,152,32,61,90,0.00232513,0.00441482,0.00646046,0.79083505,0.90646378,1.15121409
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-15 00:00:00.000000,0.00499210,0.00912333,0.01302397,69,127,182,39,73,107,0.00281872,0.00528284,0.00770957,0.79072899,0.90538865,1.15120276
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-16 00:00:00.000000,0.00620530,0.01080633,0.01543597,86,151,216,47,89,127,0.00337608,0.00637511,0.00913157,0.79053932,0.90512842,1.15117700
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-17 00:00:00.000000,0.00753285,0.01279843,0.01836395,105,179,257,59,104,153,0.00426056,0.00748035,0.01096495,0.79017797,0.90493886,1.15111799
0,0,TrinidadandTobago,,,2020-08-21 03:13:37.110430,2020-03-18 00:00:00.000000,0.00912008,0.01489691,0.02175677,127,208,304,72,122,181,0.00515136,0.00876465,0.01297503,0.78938958,0.90297789,1.15097902
