FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-09 00:00:00.000000,0.00115966,0.00965590,0.03737337,0,4,16,0,2,9,0.00067818,0.00531116,0.02056527,0.41990319,0.53826484,0.75494827
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-10 00:00:00.000000,0.00124034,0.01047097,0.04006965,0,4,17,0,2,8,0.00074626,0.00530761,0.02010725,0.41990318,0.53805252,0.75454566
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-11 00:00:00.000000,0.00132647,0.01162072,0.04241662,0,5,18,0,2,9,0.00078087,0.00538442,0.02068486,0.41990317,0.53770689,0.75389972
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-12 00:00:00.000000,0.00141865,0.01299365,0.04542791,0,5,20,0,2,9,0.00081020,0.00568664,0.02241979,0.41990313,0.53681451,0.75286553
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-13 00:00:00.000000,0.00151739,0.01437562,0.05010276,0,6,22,0,2,10,0.00085340,0.00615898,0.02356683,0.41990296,0.53631761,0.75119082
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-14 00:00:00.000000,0.00162318,0.01556155,0.05521737,0,6,24,0,3,11,0.00090582,0.00687222,0.02523529,0.41990227,0.53629595,0.74849504
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-15 00:00:00.000000,0.00173646,0.01685444,0.06082205,0,7,27,0,3,11,0.00096520,0.00764585,0.02700435,0.41989957,0.53595580,0.74429701
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-16 00:00:00.000000,0.00568510,0.02106539,0.06820197,2,9,30,0,3,12,0.00103048,0.00840281,0.02882630,0.40382097,0.53224364,0.74186168
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-17 00:00:00.000000,0.00958558,0.02542423,0.07241459,4,11,32,0,4,14,0.00219144,0.00966750,0.03200287,0.38661980,0.53077382,0.73105936
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-18 00:00:00.000000,0.01375705,0.02976236,0.07918137,6,13,35,1,5,15,0.00398465,0.01178136,0.03568558,0.37396698,0.52398052,0.71567473
1021,0,USAlabamaChilton,Alabama,Chilton,2020-10-12 01:08:27.462588,2020-03-19 00:00:00.000000,0.01623138,0.03475223,0.09495985,7,15,42,2,6,17,0.00572348,0.01447920,0.03979734,0.36545314,0.51193156,0.69866343
