FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-09 00:00:00.000000,0.00105729,0.01174936,0.03818338,0,4,13,0,1,5,0.00029867,0.00407193,0.01481978,0.47305842,0.68123530,0.92189387
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-10 00:00:00.000000,0.00120280,0.01177786,0.03107571,0,4,11,0,1,5,0.00022011,0.00397605,0.01440404,0.47305837,0.68123513,0.92181456
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-11 00:00:00.000000,0.00112917,0.01307490,0.03546744,0,4,12,0,1,5,0.00021809,0.00407413,0.01415848,0.47305822,0.68123438,0.92186804
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-12 00:00:00.000000,0.00112285,0.01417407,0.04008775,0,5,14,0,1,5,0.00023758,0.00423966,0.01382548,0.47305771,0.68123119,0.92183028
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-13 00:00:00.000000,0.00113149,0.01587592,0.04235809,0,5,15,0,1,5,0.00025104,0.00465358,0.01381578,0.47305603,0.68121745,0.92147559
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-14 00:00:00.000000,0.00114723,0.01724828,0.04809171,0,6,17,0,1,5,0.00025864,0.00482036,0.01426903,0.47305047,0.67524374,0.92079337
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-15 00:00:00.000000,0.00116870,0.01924482,0.05402864,0,7,19,0,1,5,0.00026822,0.00510195,0.01464458,0.47303203,0.67079062,0.91948876
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-16 00:00:00.000000,0.00325153,0.02532904,0.06443185,1,9,23,0,1,5,0.00028039,0.00534286,0.01532613,0.47297108,0.67054417,0.91701735
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-17 00:00:00.000000,0.00509339,0.03025932,0.07526845,1,11,27,0,2,6,0.00054466,0.00598899,0.01698183,0.47277064,0.66426911,0.91241203
1053,0,USAlabamaEscambia,Alabama,Escambia,2020-08-10 02:39:17.050735,2020-03-18 00:00:00.000000,0.00701230,0.03581753,0.09332281,2,13,34,0,2,7,0.00083573,0.00771701,0.01937900,0.47212263,0.65469569,0.90407887
