FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-09 00:00:00.000000,0.00763503,0.02836278,0.07180011,2,8,21,0,2,11,0.00180588,0.00919459,0.03908282,0.52091381,0.65422252,0.96769245
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-10 00:00:00.000000,0.01042358,0.02967731,0.08351984,3,8,24,1,3,14,0.00448140,0.01333973,0.04734531,0.52091380,0.65422664,0.96767982
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-11 00:00:00.000000,0.01427678,0.03559860,0.09669452,4,10,28,2,4,16,0.00757278,0.01635311,0.05442014,0.52091379,0.65423561,0.96765948
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-12 00:00:00.000000,0.01887029,0.04275684,0.11089317,5,12,32,2,5,17,0.00975066,0.01991922,0.05946838,0.52091388,0.65425519,0.96762148
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-13 00:00:00.000000,0.02200556,0.05127626,0.12032469,6,15,35,3,7,19,0.01204716,0.02398382,0.06470521,0.52091487,0.65429789,0.96753796
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-14 00:00:00.000000,0.02556191,0.05886224,0.13757461,7,17,40,4,8,22,0.01364265,0.02860808,0.07504805,0.52092207,0.65439083,0.96732848
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-15 00:00:00.000000,0.02847495,0.06558923,0.15780807,8,19,46,4,10,25,0.01556329,0.03390380,0.08584253,0.52097037,0.65459213,0.96126985
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-16 00:00:00.000000,0.03246182,0.07751112,0.17434669,9,23,51,5,11,27,0.01782083,0.03893200,0.09392804,0.51845303,0.65119789,0.94347104
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-17 00:00:00.000000,0.03805990,0.08611489,0.19132061,11,25,56,5,13,30,0.01941466,0.04596203,0.10239140,0.51768067,0.64882424,0.90350018
1093,0,USAlabamaMarion,Alabama,Marion,2020-08-21 20:14:58.008136,2020-03-18 00:00:00.000000,0.04137717,0.09384019,0.20763342,12,27,61,6,15,34,0.02163707,0.05093234,0.11465009,0.49481341,0.64942233,0.84350538
