FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-09 00:00:00.000000,0.00875436,0.03493629,0.10202412,1,6,20,0,2,10,0.00305036,0.01473528,0.05514037,0.49891010,0.61618357,0.79714933
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-10 00:00:00.000000,0.00762473,0.03017562,0.09563741,1,5,18,0,3,10,0.00408678,0.01681180,0.05212747,0.49890589,0.61505081,0.79714138
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-11 00:00:00.000000,0.00767007,0.03078322,0.09731593,1,6,19,0,3,10,0.00423587,0.01662731,0.05177228,0.49889464,0.61503494,0.79712955
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-12 00:00:00.000000,0.00763333,0.03043468,0.09520193,1,5,18,0,3,9,0.00426100,0.01633872,0.05085740,0.49886453,0.61500295,0.79711138
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-13 00:00:00.000000,0.00756529,0.03024075,0.09303237,1,5,18,0,3,10,0.00423050,0.01616889,0.05098668,0.49878400,0.61493745,0.79708153
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-14 00:00:00.000000,0.00750359,0.03088606,0.09420998,1,6,18,0,3,10,0.00414676,0.01651593,0.05110935,0.49856890,0.61479992,0.79702591
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-15 00:00:00.000000,0.00744543,0.03093768,0.09780645,1,6,19,0,3,10,0.00405841,0.01633854,0.05123816,0.49799647,0.61450018,0.79561518
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-16 00:00:00.000000,0.01236895,0.03564062,0.10341872,2,7,20,0,3,10,0.00397344,0.01664610,0.05104728,0.49648738,0.61019978,0.79318991
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-17 00:00:00.000000,0.01538710,0.04346825,0.11072301,3,8,21,1,4,10,0.00754620,0.02215087,0.05426770,0.49260581,0.60280895,0.78989438
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-18 00:00:00.000000,0.02129424,0.05272880,0.11478267,4,10,22,2,5,11,0.01128206,0.02576761,0.05781538,0.46644073,0.59267355,0.78550766
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-19 00:00:00.000000,0.02425018,0.06181989,0.11907350,4,12,23,2,5,12,0.01355695,0.02940587,0.06500970,0.44865339,0.58659798,0.77977035
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-20 00:00:00.000000,0.02726194,0.06663545,0.12997902,5,13,25,3,6,13,0.01532176,0.03452427,0.06835194,0.42445759,0.56863308,0.77106780
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-21 00:00:00.000000,0.03024505,0.07402802,0.14420575,5,14,28,3,7,14,0.01690259,0.03771111,0.07526482,0.39794556,0.55562183,0.76620705
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-22 00:00:00.000000,0.03321519,0.07937270,0.16421537,6,15,32,3,8,16,0.01803333,0.04132282,0.08442615,0.37511877,0.54765323,0.77056171
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-23 00:00:00.000000,0.04196221,0.08692529,0.17849461,8,17,35,3,8,17,0.01946190,0.04447941,0.08930589,0.36416263,0.54271309,0.77586056
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-24 00:00:00.000000,0.05095807,0.09122512,0.19426465,10,17,38,5,9,18,0.02651789,0.04834043,0.09544951,0.35959617,0.54060388,0.79623766
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-25 00:00:00.000000,0.05364951,0.10014294,0.20747350,10,19,40,5,10,19,0.02890776,0.05265272,0.10074479,0.35792859,0.52998419,0.80415939
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-26 00:00:00.000000,0.05994546,0.10637482,0.22237803,11,20,43,5,10,21,0.02956679,0.05584682,0.10764693,0.35998027,0.52367035,0.80658793
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-27 00:00:00.000000,0.06335776,0.10874316,0.23370655,12,21,45,6,11,22,0.03324502,0.05900916,0.11341957,0.35979994,0.51401708,0.80670003
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-28 00:00:00.000000,0.06152696,0.11216029,0.24796186,12,22,48,6,12,25,0.03483469,0.06127595,0.12891458,0.34729205,0.51160518,0.78668558
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-29 00:00:00.000000,0.06244861,0.11665451,0.26169366,12,22,51,6,12,27,0.03474276,0.06486667,0.13886727,0.33427747,0.47724429,0.71055059
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-30 00:00:00.000000,0.06534416,0.12721270,0.26965536,12,25,53,6,13,29,0.03459061,0.06657876,0.14855910,0.33500398,0.47513887,0.68519686
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-03-31 00:00:00.000000,0.06596248,0.13653305,0.27229625,12,26,53,7,14,29,0.03657027,0.07123659,0.15189439,0.33089884,0.46275302,0.67327827
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-01 00:00:00.000000,0.06648724,0.14442388,0.26907854,13,28,52,7,14,30,0.03694069,0.07485578,0.15524978,0.32736471,0.45545727,0.67125318
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-02 00:00:00.000000,0.06682429,0.15306336,0.27952963,13,30,54,7,15,29,0.03715895,0.07730307,0.15125459,0.30964078,0.45309258,0.66739795
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-03 00:00:00.000000,0.06700457,0.15476760,0.29030318,13,30,57,7,15,31,0.03731035,0.07983423,0.15826991,0.30864950,0.45225750,0.65857543
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-04 00:00:00.000000,0.06699620,0.15685509,0.31198167,13,30,61,7,16,32,0.03737743,0.08390230,0.16426261,0.30728318,0.44933604,0.63616926
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-05 00:00:00.000000,0.06675002,0.15728524,0.33347544,13,30,65,7,16,34,0.03732995,0.08567142,0.17711480,0.29651287,0.44777423,0.62075786
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-06 00:00:00.000000,0.06979319,0.15883164,0.32011753,13,31,62,7,17,37,0.03713694,0.08762417,0.18907213,0.28677353,0.42963278,0.60032659
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-07 00:00:00.000000,0.07273961,0.16732489,0.31836854,14,32,62,7,18,36,0.03958111,0.09380924,0.18543668,0.28081202,0.42295109,0.58726347
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-08 00:00:00.000000,0.07681992,0.17395659,0.32165836,15,34,63,8,18,35,0.04188384,0.09363371,0.18039786,0.27052743,0.41009834,0.57442277
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-09 00:00:00.000000,0.07881552,0.17234484,0.34520682,15,33,67,8,18,35,0.04306121,0.09537046,0.17994832,0.26903274,0.40314760,0.54829144
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-10 00:00:00.000000,0.08051256,0.16810559,0.34329767,15,33,67,8,18,34,0.04404942,0.09636916,0.17627210,0.26095079,0.39165575,0.52275887
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-11 00:00:00.000000,0.08195392,0.16803712,0.35879971,16,33,70,8,18,34,0.04488709,0.09343260,0.17335037,0.25294944,0.38487759,0.50994914
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-12 00:00:00.000000,0.08094805,0.16847519,0.36158354,15,33,71,8,18,33,0.04560374,0.09533887,0.17042378,0.25046754,0.37527846,0.50651661
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-13 00:00:00.000000,0.07731784,0.16062549,0.35891235,15,31,70,8,18,34,0.04427229,0.09411764,0.17419008,0.24723178,0.36977507,0.50563457
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-14 00:00:00.000000,0.07340892,0.15325954,0.35610874,14,30,70,8,17,34,0.04253738,0.08899618,0.17315016,0.24607854,0.36861968,0.49230774
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-15 00:00:00.000000,0.07140143,0.14293064,0.35326827,14,28,69,8,16,33,0.04126732,0.08354296,0.17160768,0.24471301,0.36974895,0.48647262
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-16 00:00:00.000000,0.06992997,0.14245800,0.35012047,13,28,68,7,15,33,0.04029801,0.08112485,0.17015896,0.24430104,0.36928891,0.48621969
5003,0,USArkansasAshley,Arkansas,Ashley,2020-09-17 10:59:33.050774,2020-04-17 00:00:00.000000,0.06627676,0.13938437,0.34655153,13,27,68,7,15,33,0.03842831,0.08029131,0.16866204,0.24429091,0.36789655,0.48612316
