FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-09 00:00:00.000000,0.03042812,0.10804740,0.30546658,2,7,20,0,1,5,0.00166282,0.01870901,0.08281015,0.38255738,0.67951058,0.98674909
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-10 00:00:00.000000,0.01716452,0.07130214,0.19673066,1,4,13,0,1,4,0.00236366,0.01848269,0.07054435,0.38255735,0.67956438,0.98662276
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-11 00:00:00.000000,0.01644807,0.06678438,0.18574315,1,4,12,0,1,4,0.00214310,0.01600958,0.06274389,0.38255724,0.67966721,0.98641567
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-12 00:00:00.000000,0.01433616,0.06017905,0.16582313,0,3,10,0,0,3,0.00201324,0.01419531,0.05615282,0.38255685,0.67986342,0.98607636
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-13 00:00:00.000000,0.01258176,0.05346070,0.14407690,0,3,9,0,0,3,0.00188984,0.01259106,0.04722221,0.38255544,0.68023656,0.98552091
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-14 00:00:00.000000,0.01099712,0.04844931,0.13541859,0,3,8,0,0,2,0.00177396,0.01151842,0.03778129,0.38255013,0.68067285,0.98461311
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-15 00:00:00.000000,0.00996871,0.04418320,0.13140853,0,2,8,0,0,2,0.00166521,0.01054623,0.03400105,0.38252784,0.67582803,0.98313343
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-16 00:00:00.000000,0.02457579,0.05504826,0.14826611,1,3,9,0,0,2,0.00156316,0.00910788,0.03278184,0.38243938,0.67581628,0.98073262
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-17 00:00:00.000000,0.03469824,0.07048610,0.16878141,2,4,11,0,0,2,0.00370365,0.01328189,0.03590086,0.38151482,0.66734952,0.97686655
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-18 00:00:00.000000,0.04688136,0.08671054,0.19423998,3,5,12,0,1,2,0.00573386,0.01646934,0.04042034,0.37201698,0.66153194,0.97195501
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-19 00:00:00.000000,0.05469316,0.09709544,0.21650039,3,6,14,0,1,3,0.00756855,0.01900903,0.05228220,0.36631140,0.65820064,0.96950060
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-20 00:00:00.000000,0.05643327,0.11147310,0.23741621,3,7,15,0,1,4,0.00926553,0.02233858,0.06272806,0.34511273,0.64513454,0.97709640
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-21 00:00:00.000000,0.05875016,0.12217815,0.25733306,3,8,17,0,1,4,0.01076893,0.02420401,0.06806320,0.31833204,0.63140563,0.98515213
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-22 00:00:00.000000,0.06129566,0.12997434,0.27653040,4,8,18,0,1,4,0.01165278,0.02520986,0.07048573,0.31380157,0.61902679,0.95145404
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-23 00:00:00.000000,0.07756319,0.13640476,0.27940321,5,9,18,0,1,5,0.01206755,0.02621093,0.07618693,0.31351640,0.60751446,0.95306632
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-24 00:00:00.000000,0.08692008,0.14439154,0.30159696,5,9,19,0,1,5,0.01352119,0.02877321,0.07848133,0.31305324,0.59551106,0.94933274
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-25 00:00:00.000000,0.08906937,0.15409613,0.30340226,5,10,20,0,2,5,0.01451726,0.03131637,0.07889086,0.31195752,0.59490079,0.99424937
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-26 00:00:00.000000,0.08596248,0.16382118,0.30452486,5,10,20,0,2,5,0.01475817,0.03233267,0.07845475,0.30961668,0.59606616,1.05660570
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-27 00:00:00.000000,0.08531227,0.16930604,0.30516245,5,11,20,1,2,5,0.01516068,0.03312884,0.08035084,0.30711672,0.59365095,1.06673896
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-28 00:00:00.000000,0.08277064,0.17238071,0.30186112,5,11,19,1,2,5,0.01547217,0.03412785,0.07901254,0.30805603,0.58963172,1.03160835
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-29 00:00:00.000000,0.08007012,0.17556971,0.29969580,5,11,19,1,2,5,0.01511444,0.03499232,0.08123368,0.30118541,0.58199982,0.98964876
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-30 00:00:00.000000,0.09154240,0.17809625,0.32014639,6,11,21,1,2,5,0.01519447,0.03522334,0.08149049,0.29692467,0.57445697,1.06690456
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-03-31 00:00:00.000000,0.09192426,0.19451972,0.35560625,6,12,23,1,2,5,0.01545890,0.03737430,0.08623727,0.29512336,0.56294567,1.08653703
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-01 00:00:00.000000,0.07820525,0.19723146,0.39604718,5,13,26,1,2,6,0.01719376,0.04231590,0.09752804,0.29432657,0.55940041,1.08381588
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-02 00:00:00.000000,0.07812194,0.20428839,0.43484460,5,13,28,1,2,7,0.01812426,0.04308171,0.10858277,0.29211886,0.54480884,1.06346193
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-03 00:00:00.000000,0.08150296,0.21268692,0.47045502,5,14,31,1,2,7,0.01847107,0.04352179,0.11905071,0.29048432,0.51761414,1.01074139
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-04 00:00:00.000000,0.07129093,0.21670790,0.50094753,4,14,33,1,2,8,0.01630647,0.04264275,0.12573895,0.28857732,0.50391391,0.93300995
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-05 00:00:00.000000,0.06204335,0.21715712,0.52601102,4,14,34,1,2,8,0.01580223,0.04218715,0.12697942,0.28619305,0.49462469,0.87676856
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-06 00:00:00.000000,0.07239001,0.23189001,0.51109363,4,15,33,1,2,8,0.01579987,0.04235697,0.12801771,0.28330171,0.49163145,0.85298075
5073,0,USArkansasLafayette,Arkansas,Lafayette,2020-09-09 17:42:25.660640,2020-04-07 00:00:00.000000,0.08584435,0.24048141,0.49334401,5,15,32,1,3,8,0.01730786,0.04734856,0.12577241,0.28071952,0.49027856,0.84443722
