FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-09 00:00:00.000000,0.00031556,0.00088319,0.00205862,7,21,50,2,10,31,0.00011996,0.00041392,0.00126251,0.59443456,0.89180677,1.18141705
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-10 00:00:00.000000,0.00043750,0.00105132,0.00257499,10,25,63,5,14,36,0.00023918,0.00057775,0.00149250,0.59443457,0.89181471,1.18149361
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-11 00:00:00.000000,0.00059815,0.00136178,0.00324282,14,33,80,8,18,48,0.00034029,0.00076804,0.00197091,0.59443458,0.89183511,1.18165056
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-12 00:00:00.000000,0.00079540,0.00169255,0.00410940,19,41,101,11,24,60,0.00046037,0.00100183,0.00246851,0.59443463,0.89142258,1.18197206
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-13 00:00:00.000000,0.00104257,0.00211641,0.00512711,25,52,126,14,32,76,0.00060275,0.00129742,0.00309326,0.59443476,0.89129649,1.18262962
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-14 00:00:00.000000,0.00135022,0.00259297,0.00638036,33,64,157,19,39,94,0.00077236,0.00161288,0.00383750,0.59443514,0.89156777,1.18397020
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-15 00:00:00.000000,0.00171563,0.00318338,0.00790523,42,78,195,24,48,112,0.00097488,0.00196513,0.00455255,0.59443636,0.89156992,1.18668551
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-16 00:00:00.000000,0.00215785,0.00390064,0.00979321,53,96,241,30,57,135,0.00121752,0.00232339,0.00547661,0.59444058,0.89153410,1.19211335
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-17 00:00:00.000000,0.00266206,0.00469477,0.01211440,65,115,299,39,71,162,0.00160170,0.00287514,0.00658282,0.59695854,0.89158744,1.20268315
6065,0,USCaliforniaRiverside,California,Riverside,2020-08-26 18:26:48.902202,2020-03-18 00:00:00.000000,0.00332406,0.00574244,0.01479068,82,141,365,50,87,197,0.00204189,0.00352868,0.00799035,0.61140702,0.90006373,1.22225423
