FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-09 00:00:00.000000,0.00067469,0.00311951,0.00786345,5,26,66,1,9,25,0.00016011,0.00111209,0.00297201,0.51055799,0.71146798,0.98670535
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-10 00:00:00.000000,0.00088462,0.00347162,0.00819890,7,29,69,2,10,24,0.00024096,0.00124589,0.00284529,0.51055752,0.71146647,0.98670004
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-11 00:00:00.000000,0.00109162,0.00415426,0.00912090,9,35,77,2,11,25,0.00028418,0.00132481,0.00298854,0.51055625,0.71146293,0.98669021
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-12 00:00:00.000000,0.00127535,0.00483660,0.01061659,10,40,89,3,11,27,0.00038081,0.00136339,0.00328611,0.51055280,0.71145466,0.98667207
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-13 00:00:00.000000,0.00146818,0.00555521,0.01266765,12,46,107,4,12,33,0.00047784,0.00144359,0.00392838,0.51054348,0.71143530,0.98663865
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-14 00:00:00.000000,0.00174524,0.00608809,0.01420245,14,51,120,4,14,38,0.00054621,0.00165501,0.00459317,0.51051831,0.71139004,0.98657731
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-15 00:00:00.000000,0.00205066,0.00654179,0.01636046,17,55,138,5,15,45,0.00064826,0.00184755,0.00540628,0.51045032,0.71119068,0.98646556
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-16 00:00:00.000000,0.00250242,0.00738986,0.01809653,21,62,153,6,16,53,0.00072428,0.00200729,0.00627705,0.51026682,0.71052269,0.97587240
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-17 00:00:00.000000,0.00298614,0.00828168,0.02004358,25,70,169,6,18,59,0.00081187,0.00219590,0.00703708,0.50977286,0.70191827,0.96365471
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-18 00:00:00.000000,0.00353149,0.00893784,0.02213011,29,75,187,7,20,65,0.00091870,0.00244655,0.00780130,0.50845190,0.69574140,0.96116004
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-19 00:00:00.000000,0.00413134,0.01002344,0.02439839,34,84,206,8,22,72,0.00104515,0.00265343,0.00861339,0.49917532,0.69241170,0.92553274
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-20 00:00:00.000000,0.00452330,0.01071126,0.02686773,38,90,227,10,24,80,0.00119223,0.00284816,0.00949282,0.48430503,0.68731765,0.91568311
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-21 00:00:00.000000,0.00489195,0.01138464,0.02937750,41,96,248,11,27,88,0.00136143,0.00328022,0.01043487,0.46684829,0.67338167,0.91649303
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-22 00:00:00.000000,0.00514804,0.01261250,0.03189393,43,106,269,12,30,98,0.00152266,0.00359790,0.01160646,0.44754849,0.65590520,0.91735334
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-23 00:00:00.000000,0.00544167,0.01344167,0.03460556,46,113,292,13,32,110,0.00163222,0.00387544,0.01303967,0.41616141,0.64608998,0.91772982
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-24 00:00:00.000000,0.00574007,0.01414156,0.03742966,48,119,316,14,35,119,0.00176456,0.00416743,0.01408049,0.39353230,0.63599863,0.91523974
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-25 00:00:00.000000,0.00604906,0.01507149,0.04032103,51,127,341,16,38,127,0.00190668,0.00454752,0.01512640,0.39284839,0.62830246,0.90668697
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-26 00:00:00.000000,0.00636462,0.01607937,0.04304783,53,136,364,17,42,137,0.00205673,0.00503213,0.01629592,0.38957921,0.62484739,0.87831528
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-27 00:00:00.000000,0.00666962,0.01713392,0.04556982,56,144,385,18,45,150,0.00221076,0.00541160,0.01781651,0.38499168,0.60670269,0.87926818
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-28 00:00:00.000000,0.00689717,0.01825006,0.04815556,58,154,407,19,49,163,0.00235704,0.00587640,0.01929209,0.36230200,0.58861900,0.85957692
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-29 00:00:00.000000,0.00719705,0.01917611,0.05091307,60,162,430,20,53,174,0.00246652,0.00631312,0.02057538,0.35117631,0.56688024,0.89523522
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-30 00:00:00.000000,0.00763672,0.02028094,0.05348507,64,171,452,22,56,189,0.00269451,0.00670965,0.02239469,0.34575574,0.56040009,0.90007448
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-03-31 00:00:00.000000,0.00823130,0.02122320,0.05533118,69,179,468,24,59,203,0.00293470,0.00704643,0.02405291,0.34294177,0.56237041,0.88539702
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-01 00:00:00.000000,0.00847286,0.02214369,0.05893094,71,187,498,27,63,217,0.00319303,0.00751424,0.02569499,0.31342938,0.56103744,0.86360020
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-02 00:00:00.000000,0.00889935,0.02363856,0.06186072,75,199,523,29,67,231,0.00346678,0.00801058,0.02733192,0.27836673,0.55193604,0.83458724
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-03 00:00:00.000000,0.00934989,0.02542094,0.06492863,79,215,549,30,72,244,0.00365599,0.00853408,0.02892600,0.27811668,0.54794794,0.79930491
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-04 00:00:00.000000,0.00979888,0.02737925,0.06815938,82,231,576,31,75,256,0.00376237,0.00896257,0.03030557,0.27828347,0.52226573,0.77396936
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-05 00:00:00.000000,0.01026641,0.02887821,0.07182043,86,244,607,32,80,265,0.00386735,0.00946251,0.03137620,0.27876016,0.48956190,0.78746837
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-06 00:00:00.000000,0.01087204,0.03064894,0.07576143,91,259,640,33,85,273,0.00397139,0.01005924,0.03231463,0.26932845,0.48505737,0.79925607
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-07 00:00:00.000000,0.01143050,0.03277112,0.07949085,96,277,672,34,88,280,0.00410580,0.01045106,0.03319989,0.26401179,0.48637249,0.80831441
6111,0,USCaliforniaVentura,California,Ventura,2020-08-10 02:37:51.978475,2020-04-08 00:00:00.000000,0.01189169,0.03427786,0.08192411,100,289,693,36,93,288,0.00426162,0.01100353,0.03409446,0.26436587,0.49096691,0.81469878
