FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-09 00:00:00.000000,0.00551010,0.05797046,0.15978487,0,8,22,0,1,6,0.00089114,0.01167593,0.04513004,0.47005982,0.71022457,1.02641373
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-10 00:00:00.000000,0.00320924,0.03239178,0.10851600,0,4,15,0,1,4,0.00180505,0.01351476,0.03444299,0.47005079,0.71022500,1.02642642
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-11 00:00:00.000000,0.00342438,0.02944137,0.08177347,0,4,11,0,1,3,0.00111173,0.00776965,0.02422481,0.47003547,0.71022568,1.02645084
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-12 00:00:00.000000,0.00250300,0.01898695,0.05952500,0,2,8,0,0,2,0.00111464,0.00694827,0.01773671,0.47000622,0.71022601,1.02649778
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-13 00:00:00.000000,0.00210258,0.01472010,0.04457112,0,2,6,0,0,1,0.00061618,0.00461300,0.01354890,0.46994525,0.71022186,1.02658780
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-14 00:00:00.000000,0.00172987,0.01113909,0.03335434,0,1,4,0,0,1,0.00061712,0.00388457,0.01008647,0.46981119,0.71019366,1.02675977
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-15 00:00:00.000000,0.00138283,0.00826906,0.02585659,0,1,3,0,0,1,0.00029677,0.00251899,0.00817830,0.46620220,0.71005844,1.02708579
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-16 00:00:00.000000,0.00423568,0.01345886,0.03642507,0,1,5,0,0,0,0.00026870,0.00189971,0.00634050,0.46342329,0.71027712,1.02769485
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-17 00:00:00.000000,0.00648916,0.01929849,0.04677788,0,2,6,0,1,2,0.00302552,0.00745824,0.01445079,0.46353421,0.70770836,1.02880150
8007,0,USColoradoArchuleta,Colorado,Archuleta,2020-09-17 11:15:28.597310,2020-03-18 00:00:00.000000,0.01001462,0.02768820,0.06343287,1,3,8,0,1,2,0.00358627,0.00829349,0.01583662,0.46449878,0.70326650,1.03111781
