FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-09 00:00:00.000000,0.00425178,0.01581073,0.04190208,2,8,23,0,3,9,0.00054573,0.00585084,0.01714970,0.55693621,0.76763196,1.22673809
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-10 00:00:00.000000,0.00186372,0.01276203,0.03346181,1,7,18,0,2,8,0.00100070,0.00520445,0.01450394,0.55693183,0.76770620,1.22673634
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-11 00:00:00.000000,0.00176699,0.01062980,0.02860622,0,5,16,0,2,6,0.00054136,0.00451552,0.01241772,0.55692138,0.76784340,1.22673539
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-12 00:00:00.000000,0.00109944,0.00917396,0.02510176,0,5,14,0,2,6,0.00043943,0.00366101,0.01081028,0.55689646,0.76809747,1.22673667
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-13 00:00:00.000000,0.00086025,0.00791752,0.02283803,0,4,12,0,1,5,0.00030472,0.00317790,0.00908217,0.55683707,0.76856935,1.22674278
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-14 00:00:00.000000,0.00061390,0.00680276,0.02282519,0,3,12,0,1,4,0.00022746,0.00282437,0.00801229,0.55669592,0.76944927,1.22675781
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-15 00:00:00.000000,0.00045785,0.00580745,0.02263925,0,3,12,0,1,4,0.00016959,0.00241923,0.00749901,0.55636233,0.77109825,1.22678637
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-16 00:00:00.000000,0.00181367,0.00706305,0.02081473,1,3,11,0,1,4,0.00012627,0.00206213,0.00752550,0.55558385,0.77250999,1.22682751
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-17 00:00:00.000000,0.00262138,0.00883422,0.02122769,1,4,11,0,2,4,0.00095065,0.00376393,0.00879066,0.55381392,0.77443445,1.22685093
8067,0,USColoradoLaPlata,Colorado,La Plata,2020-09-29 11:05:58.795472,2020-03-18 00:00:00.000000,0.00339780,0.01151489,0.02292546,1,6,12,0,2,5,0.00114165,0.00413724,0.00961822,0.53745908,0.77724381,1.22672290
