FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-09 00:00:00.000000,0.02171087,0.16634813,0.35370653,1,8,17,0,1,6,0.00496302,0.02733944,0.13646035,0.50451044,0.67107340,0.99048835
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-10 00:00:00.000000,0.01346165,0.09961506,0.28697369,0,4,14,0,1,5,0.00637762,0.03379420,0.11720428,0.50451036,0.67107312,0.99048834
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-11 00:00:00.000000,0.01398544,0.09184222,0.24191649,0,4,11,0,1,4,0.00471735,0.02459817,0.09976595,0.50451016,0.67107178,0.99048829
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-12 00:00:00.000000,0.01072371,0.07434451,0.20409358,0,3,10,0,1,4,0.00447218,0.02181919,0.08096262,0.50450956,0.67106522,0.99048801
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-13 00:00:00.000000,0.00944872,0.06126370,0.17261117,0,3,8,0,0,3,0.00311510,0.01794978,0.06580946,0.50450784,0.67103266,0.99048635
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-14 00:00:00.000000,0.00830255,0.05003191,0.14578908,0,2,7,0,0,2,0.00256747,0.01469723,0.05368408,0.50450288,0.67087139,0.99047676
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-15 00:00:00.000000,0.00730358,0.04108999,0.12323183,0,2,6,0,0,2,0.00189261,0.01217350,0.04383876,0.50448855,0.67008932,0.99042129
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-16 00:00:00.000000,0.02163612,0.06024888,0.13480148,1,2,6,0,0,1,0.00148753,0.00970642,0.04010457,0.50444711,0.66898631,0.99010240
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-17 00:00:00.000000,0.03263102,0.07901680,0.13700872,1,3,6,0,1,2,0.00647213,0.02072090,0.05251991,0.50432739,0.66553367,0.98807673
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-18 00:00:00.000000,0.04672552,0.09711411,0.18384827,2,4,9,0,1,2,0.01044954,0.02439447,0.05384312,0.49475281,0.66583071,0.98555834
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-19 00:00:00.000000,0.05095121,0.10986023,0.21994039,2,5,10,0,1,3,0.01279951,0.02813484,0.06063733,0.48153895,0.66656765,1.02520457
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-20 00:00:00.000000,0.05345584,0.12007011,0.24796409,2,5,12,0,1,3,0.01398718,0.03250051,0.06888347,0.45982004,0.66041212,1.05038654
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-21 00:00:00.000000,0.05520772,0.12882153,0.26937917,2,6,13,0,1,3,0.01483630,0.03609495,0.07624739,0.45677847,0.66609417,1.06113259
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-22 00:00:00.000000,0.05651571,0.13582561,0.28758828,2,6,14,0,1,4,0.01552353,0.03845377,0.08295940,0.44889520,0.65725672,1.06510558
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-23 00:00:00.000000,0.07698562,0.15509678,0.27230871,3,7,13,0,2,4,0.01608890,0.04099694,0.08937607,0.44192743,0.65536876,1.06561066
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-24 00:00:00.000000,0.08921349,0.16560152,0.26366047,4,8,13,1,2,4,0.02257651,0.04483277,0.08759233,0.39373177,0.64678221,1.06379736
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-25 00:00:00.000000,0.09199493,0.17258100,0.29233081,4,8,14,1,2,4,0.02484024,0.04563244,0.09118921,0.35940776,0.63724273,1.03493419
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-26 00:00:00.000000,0.09241034,0.18243665,0.31529697,4,9,15,1,2,4,0.02557827,0.04586471,0.09370750,0.35040776,0.62706778,1.00489599
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-27 00:00:00.000000,0.08831826,0.17620100,0.35018422,4,8,17,1,2,4,0.02494231,0.04579887,0.09422659,0.34296467,0.61670196,0.97764026
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-28 00:00:00.000000,0.08924018,0.17782024,0.37763036,4,8,18,1,2,4,0.02492258,0.04682436,0.09946513,0.33179412,0.61491247,0.94872928
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-29 00:00:00.000000,0.09034614,0.17219352,0.40114646,4,8,19,1,2,5,0.02488735,0.04656141,0.10452736,0.32577977,0.60605932,0.92248836
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-30 00:00:00.000000,0.13838064,0.24713873,0.42096553,6,12,20,1,2,5,0.02475216,0.04627595,0.10847641,0.32363529,0.60317570,0.90377448
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-03-31 00:00:00.000000,0.15856356,0.29736129,0.50000323,7,14,24,1,3,7,0.04037672,0.08074656,0.15960532,0.31911397,0.59972353,0.89990311
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-01 00:00:00.000000,0.17955329,0.35434577,0.67090988,8,17,33,2,4,10,0.04408310,0.09414867,0.20789206,0.31530208,0.59240427,0.90012061
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-02 00:00:00.000000,0.18777142,0.39702734,0.76640750,9,19,37,2,5,12,0.04669773,0.10453833,0.24974790,0.30934468,0.58129631,0.91764478
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-03 00:00:00.000000,0.19588207,0.42135958,0.86525827,9,20,42,2,5,14,0.04890331,0.11010557,0.28528785,0.29960439,0.57397976,0.98861430
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-04 00:00:00.000000,0.20054062,0.44331987,0.94183166,9,21,46,2,5,15,0.05077156,0.11623652,0.31526186,0.29885644,0.56372016,1.02690891
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-05 00:00:00.000000,0.20467113,0.45614785,1.00139283,10,22,49,2,6,16,0.05152306,0.12208115,0.34043616,0.28948421,0.56632242,1.03019734
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-06 00:00:00.000000,0.18942993,0.43168461,0.91521897,9,21,45,2,6,17,0.05282971,0.12601819,0.36149593,0.28539826,0.55311047,1.03193191
8091,0,USColoradoOuray,Colorado,Ouray,2020-09-09 16:25:57.880951,2020-04-07 00:00:00.000000,0.16350640,0.39602303,0.82208538,8,19,40,2,5,14,0.04950623,0.10316068,0.29260905,0.27531602,0.54339994,1.03248581
