FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-09 00:00:00.000000,0.00140945,0.00421026,0.00891362,2,6,13,0,1,7,0.00028396,0.00120089,0.00471853,0.63848861,0.92115902,1.20987551
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-10 00:00:00.000000,0.00188755,0.00539979,0.01117258,2,8,16,1,4,8,0.00098565,0.00273457,0.00536361,0.63849698,0.92115835,1.20988793
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-11 00:00:00.000000,0.00264436,0.00706654,0.01625070,3,10,24,2,5,12,0.00133369,0.00347416,0.00816085,0.63851186,0.92115727,1.20990737
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-12 00:00:00.000000,0.00341393,0.00858094,0.01941115,5,12,29,2,6,15,0.00179357,0.00443387,0.01007971,0.63853820,0.92115542,1.20993572
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-13 00:00:00.000000,0.00429620,0.01080205,0.02447515,6,16,36,3,8,18,0.00227633,0.00554283,0.01232122,0.63858449,0.92115198,1.20997215
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-14 00:00:00.000000,0.00526782,0.01319754,0.02945098,7,19,44,4,10,22,0.00282310,0.00688197,0.01523805,0.64082526,0.92114483,1.21000863
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-15 00:00:00.000000,0.00635122,0.01497318,0.03441984,9,22,51,5,12,27,0.00342524,0.00815764,0.01821460,0.64610486,0.92112792,1.21003012
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-16 00:00:00.000000,0.00873823,0.01822620,0.03838570,13,27,57,5,13,32,0.00390559,0.00922945,0.02140503,0.65283772,0.92108333,1.20987947
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-17 00:00:00.000000,0.01079460,0.02107154,0.04213268,16,31,63,8,16,33,0.00574046,0.01126914,0.02247453,0.65283530,0.92852486,1.19663834
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-18 00:00:00.000000,0.01311554,0.02462016,0.04509340,19,37,67,10,19,37,0.00711316,0.01274696,0.02458106,0.65282947,0.92823736,1.19532609
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-19 00:00:00.000000,0.01457946,0.02817073,0.05243618,21,42,79,11,21,42,0.00790349,0.01458330,0.02808606,0.65281812,0.93090599,1.19065681
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-20 00:00:00.000000,0.01611394,0.03210228,0.06106786,24,48,92,13,25,49,0.00884143,0.01686005,0.03287259,0.65281791,0.92711544,1.21607833
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-21 00:00:00.000000,0.01776165,0.03603739,0.07055778,26,54,106,14,28,57,0.00967241,0.01919525,0.03816452,0.66845944,0.93111714,1.21505319
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-22 00:00:00.000000,0.01959333,0.04122263,0.08100712,29,62,122,15,33,66,0.01058134,0.02200066,0.04399195,0.72030140,0.92988654,1.21514711
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-23 00:00:00.000000,0.02330379,0.04604677,0.08931955,35,69,134,17,37,76,0.01133624,0.02514757,0.05086558,0.72758773,0.93017287,1.22434170
9013,0,USConnecticutTolland,Connecticut,Tolland,2020-09-17 10:02:46.761711,2020-03-24 00:00:00.000000,0.02566666,0.05118474,0.10032776,38,77,151,20,41,84,0.01351619,0.02733531,0.05580744,0.73275305,0.91086590,1.24599907
