FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-09 00:00:00.000000,0.00105958,0.00336098,0.00836338,3,10,26,0,4,16,0.00014956,0.00127771,0.00508911,0.61641334,0.76088122,1.02439913
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-10 00:00:00.000000,0.00113771,0.00426412,0.00975359,3,13,31,1,7,18,0.00058703,0.00228496,0.00571468,0.61641649,0.76088122,1.02422887
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-11 00:00:00.000000,0.00173718,0.00557584,0.01228273,5,17,39,2,9,20,0.00091088,0.00302739,0.00654867,0.61642385,0.76088122,1.02394100
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-12 00:00:00.000000,0.00234910,0.00673870,0.01538805,7,21,48,4,12,24,0.00133114,0.00390565,0.00785095,0.61644119,0.76088122,1.02345484
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-13 00:00:00.000000,0.00305220,0.00818959,0.01867368,9,26,59,5,15,31,0.00177928,0.00474441,0.00978866,0.61648271,0.76088122,1.02263555
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-14 00:00:00.000000,0.00382901,0.01000755,0.02210558,12,31,70,7,18,37,0.00228626,0.00575872,0.01181915,0.61658588,0.76088121,1.02176666
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-15 00:00:00.000000,0.00469840,0.01204646,0.02570050,14,38,81,9,22,44,0.00284894,0.00699314,0.01403525,0.61685879,0.76088079,1.02167314
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-16 00:00:00.000000,0.00633086,0.01423884,0.02863545,20,45,91,11,26,53,0.00347786,0.00829798,0.01684128,0.61762177,0.76087299,1.02148404
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-17 00:00:00.000000,0.00807161,0.01655350,0.03275832,25,52,104,15,31,60,0.00475300,0.00993555,0.01912140,0.63273634,0.76074669,1.02102471
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-18 00:00:00.000000,0.00996338,0.01931376,0.03846938,31,61,122,18,37,72,0.00587577,0.01181128,0.02269818,0.63276425,0.77545020,1.01956661
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-19 00:00:00.000000,0.01194762,0.02262997,0.04532994,38,72,144,22,43,85,0.00719553,0.01376377,0.02682069,0.63297038,0.78986422,1.01379410
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-20 00:00:00.000000,0.01348017,0.02625100,0.05351951,42,83,170,27,50,97,0.00860716,0.01596367,0.03078401,0.63617143,0.80063816,1.02355853
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-21 00:00:00.000000,0.01584509,0.03048937,0.06105541,50,97,194,30,59,109,0.00970877,0.01858009,0.03427993,0.63977569,0.78093547,1.07843263
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-22 00:00:00.000000,0.01911699,0.03490887,0.06942438,60,111,220,37,68,129,0.01166490,0.02156189,0.04054725,0.64474491,0.79439833,1.07182607
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-23 00:00:00.000000,0.02253752,0.04078644,0.07596181,71,129,241,43,79,152,0.01372454,0.02510084,0.04787466,0.63165802,0.80465545,1.08807531
12033,0,USFloridaEscambia,Florida,Escambia,2020-09-29 10:08:45.056426,2020-03-24 00:00:00.000000,0.02621968,0.04837680,0.09024351,83,153,287,52,91,174,0.01639091,0.02887825,0.05485895,0.59638654,0.80851770,1.10798441
