FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-09 00:00:00.000000,0.00241400,0.00725250,0.01788548,3,11,28,0,4,14,0.00034574,0.00272316,0.00893835,0.50713354,0.66732180,0.86191971
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-10 00:00:00.000000,0.00342171,0.00947602,0.02107354,5,15,33,1,5,16,0.00086211,0.00317981,0.01015222,0.50713354,0.66720157,0.86177518
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-11 00:00:00.000000,0.00450881,0.01162980,0.02446767,7,18,39,2,6,17,0.00141089,0.00402230,0.01074761,0.50713354,0.66698887,0.86148112
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-12 00:00:00.000000,0.00570185,0.01417236,0.03091189,9,22,49,3,8,18,0.00187596,0.00509965,0.01163206,0.50713354,0.66661368,0.86088348
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-13 00:00:00.000000,0.00701892,0.01723679,0.03621012,11,27,58,3,10,23,0.00242729,0.00640985,0.01458271,0.50713354,0.66595527,0.85967194
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-14 00:00:00.000000,0.00848779,0.02039642,0.04186459,13,32,67,4,12,26,0.00306984,0.00758691,0.01669987,0.50713354,0.66481013,0.85722899
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-15 00:00:00.000000,0.01014014,0.02366703,0.04775061,16,38,76,6,14,30,0.00380258,0.00904806,0.01904475,0.50713351,0.66284864,0.85235736
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-16 00:00:00.000000,0.01175925,0.02789922,0.05323555,18,44,85,7,17,34,0.00464864,0.01076700,0.02166782,0.50713340,0.66890048,0.84855279
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-17 00:00:00.000000,0.01399380,0.03215414,0.05937705,22,51,95,8,20,40,0.00552669,0.01268805,0.02491416,0.50544951,0.66380366,0.84673785
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-18 00:00:00.000000,0.01674946,0.03819780,0.06617485,26,61,106,10,23,46,0.00648096,0.01446003,0.02897447,0.49652899,0.65173884,0.83723385
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-19 00:00:00.000000,0.01986990,0.04489131,0.07367984,31,72,118,13,26,53,0.00845594,0.01660934,0.03340691,0.49607159,0.63150212,0.82982914
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-20 00:00:00.000000,0.02341651,0.05202119,0.08423252,37,83,135,16,30,61,0.01009180,0.01916329,0.03800057,0.49483895,0.61943939,0.81255852
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-21 00:00:00.000000,0.02743004,0.05870599,0.09521322,44,94,153,19,35,69,0.01195714,0.02225713,0.04319611,0.46989870,0.59439028,0.81368084
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-22 00:00:00.000000,0.03193987,0.06471991,0.10799159,51,104,173,21,41,78,0.01337996,0.02582034,0.04892781,0.42143444,0.57287574,0.80769578
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-23 00:00:00.000000,0.03700823,0.07078721,0.11853018,59,113,190,23,47,87,0.01478565,0.02966946,0.05444212,0.39962443,0.56174160,0.81296749
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-24 00:00:00.000000,0.04266462,0.07896599,0.12974064,68,127,208,26,53,96,0.01651173,0.03320170,0.06010791,0.38437334,0.54701034,0.81085455
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-25 00:00:00.000000,0.04880811,0.08606624,0.14157306,78,138,227,29,58,107,0.01848667,0.03642928,0.06669411,0.37859577,0.53208368,0.79209888
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-26 00:00:00.000000,0.05480139,0.09410510,0.15622452,88,151,251,33,65,118,0.02093379,0.04069728,0.07354967,0.37278481,0.51822963,0.73112265
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-27 00:00:00.000000,0.05963678,0.10212992,0.17278357,96,164,278,36,72,131,0.02293708,0.04533719,0.08184851,0.36033797,0.50352588,0.70279962
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-28 00:00:00.000000,0.06402658,0.11158437,0.18742165,103,179,301,40,80,146,0.02500039,0.04982419,0.09083774,0.33222243,0.49006448,0.67021492
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-29 00:00:00.000000,0.06888679,0.12160392,0.20276044,110,195,326,43,88,161,0.02700327,0.05473086,0.10057908,0.29786886,0.47464359,0.63595908
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-30 00:00:00.000000,0.07421586,0.13087762,0.22210592,119,210,357,46,97,178,0.02904586,0.06033200,0.11084935,0.26864193,0.46146700,0.60724649
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-03-31 00:00:00.000000,0.08011118,0.13914277,0.23815064,128,224,383,50,108,194,0.03133134,0.06718936,0.12087384,0.26477274,0.43703625,0.59273750
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-01 00:00:00.000000,0.08623999,0.15113628,0.25015881,138,243,402,54,114,210,0.03381763,0.07135296,0.13055530,0.26074887,0.42338472,0.58014218
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-02 00:00:00.000000,0.09079942,0.16139737,0.25996416,146,259,418,58,124,224,0.03647030,0.07709507,0.13970344,0.25437508,0.40891779,0.56367103
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-03 00:00:00.000000,0.09419874,0.17132161,0.27528528,151,275,443,63,134,238,0.03925218,0.08378871,0.14787214,0.24922349,0.38812614,0.54431056
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-04 00:00:00.000000,0.09976316,0.17919018,0.29961377,160,288,482,66,142,250,0.04141273,0.08822100,0.15564538,0.23783560,0.37346631,0.54222959
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-05 00:00:00.000000,0.10434602,0.18864441,0.32019974,167,303,515,70,151,261,0.04359582,0.09387193,0.16267646,0.22748589,0.35857942,0.52599077
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-06 00:00:00.000000,0.10906602,0.19760217,0.33447488,175,318,538,73,158,272,0.04580983,0.09871365,0.16910566,0.22242101,0.33741168,0.51084940
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-07 00:00:00.000000,0.11332780,0.20264297,0.35037263,182,326,564,77,167,286,0.04805577,0.10373608,0.17792000,0.22188099,0.32491446,0.46986865
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-08 00:00:00.000000,0.11691036,0.20995146,0.37546292,188,338,604,80,172,310,0.05025386,0.10720932,0.19293034,0.22182985,0.32102965,0.45644791
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-09 00:00:00.000000,0.12006697,0.21754672,0.40045214,193,350,644,84,182,333,0.05232403,0.11327317,0.20684771,0.22266434,0.31811683,0.42202686
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-10 00:00:00.000000,0.12298882,0.22586846,0.42398301,198,363,682,87,194,347,0.05424258,0.12071288,0.21566288,0.21910773,0.31074903,0.41772187
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-11 00:00:00.000000,0.12575699,0.23135622,0.44460377,202,372,715,90,204,361,0.05601649,0.12721301,0.22459990,0.21762492,0.30747283,0.42067754
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-12 00:00:00.000000,0.12840962,0.23770648,0.46203882,206,382,743,93,211,384,0.05801168,0.13145286,0.23874864,0.21722673,0.30155150,0.43743306
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-13 00:00:00.000000,0.13104764,0.24535726,0.47953118,210,395,772,95,219,407,0.05948497,0.13609201,0.25299436,0.21723886,0.29839951,0.45091828
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-14 00:00:00.000000,0.13369896,0.25299912,0.49588214,215,407,798,97,224,430,0.06069851,0.13916576,0.26720578,0.21672239,0.29786774,0.45477919
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-15 00:00:00.000000,0.13643258,0.26116414,0.51189135,219,420,824,99,228,453,0.06203008,0.14207809,0.28144854,0.21605300,0.29965941,0.45473355
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-16 00:00:00.000000,0.13932714,0.26972270,0.52794739,224,434,849,102,234,476,0.06340864,0.14549165,0.29581607,0.21437904,0.30098329,0.46285007
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-17 00:00:00.000000,0.14242030,0.27916525,0.54423394,229,449,876,104,242,499,0.06479894,0.15033154,0.31040600,0.21468874,0.29505506,0.43548961
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-18 00:00:00.000000,0.14568020,0.28756069,0.56079430,234,462,902,106,251,523,0.06622755,0.15590367,0.32528068,0.21037001,0.29580142,0.40482404
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-19 00:00:00.000000,0.14906988,0.29568556,0.57768958,240,476,930,109,261,543,0.06773709,0.16271566,0.33741855,0.22128619,0.29338161,0.40926707
12085,0,USFloridaMartin,Florida,Martin,2020-10-11 23:48:47.188396,2020-04-20 00:00:00.000000,0.15367356,0.30705320,0.59335618,247,494,955,112,273,560,0.06966762,0.17002101,0.34832079,0.22425009,0.29259418,0.41923292
