FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-09 00:00:00.000000,0.01053060,0.10230145,0.24979522,0,8,20,0,2,7,0.00437132,0.03316571,0.09091498,0.53464346,0.67983879,0.96112566
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-10 00:00:00.000000,0.01111650,0.10062107,0.23290267,0,8,19,0,2,7,0.00330719,0.03188417,0.09011202,0.53465436,0.67967315,0.96054128
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-11 00:00:00.000000,0.01247292,0.10734586,0.24269456,1,8,19,0,2,6,0.00254448,0.02920505,0.08435013,0.53469180,0.67942328,0.95973555
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-12 00:00:00.000000,0.01394550,0.11419832,0.25491300,1,9,20,0,2,6,0.00247173,0.02977811,0.08295873,0.53482022,0.67904858,0.95864232
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-13 00:00:00.000000,0.01543845,0.11598333,0.26919242,1,9,21,0,2,6,0.00265979,0.03058321,0.08218252,0.53525866,0.67849171,0.95719084
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-14 00:00:00.000000,0.01695677,0.12141339,0.29649420,1,9,24,0,2,6,0.00294822,0.03142305,0.08196413,0.53673259,0.67849224,0.95531825
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-15 00:00:00.000000,0.01833705,0.12487162,0.31580011,1,10,25,0,2,6,0.00327762,0.03269044,0.08225720,0.54143912,0.67849400,0.95298983
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-16 00:00:00.000000,0.01880020,0.13200115,0.33738716,1,10,27,0,2,6,0.00362662,0.03424345,0.08302255,0.54208364,0.67708065,0.95022363
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-17 00:00:00.000000,0.01931834,0.14331980,0.36332495,1,11,29,0,2,7,0.00398820,0.03589617,0.08813745,0.54107165,0.67564476,0.94685995
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-18 00:00:00.000000,0.01989001,0.15454261,0.38883480,1,12,31,0,3,7,0.00436073,0.03722742,0.09484793,0.52909565,0.67462123,0.90345747
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-19 00:00:00.000000,0.02051783,0.16532705,0.41456090,1,13,33,0,3,8,0.00469654,0.03857693,0.10233829,0.50432399,0.67802170,0.90148182
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-20 00:00:00.000000,0.02121251,0.17659006,0.45055472,1,14,36,0,3,9,0.00480800,0.03979777,0.11062924,0.50848996,0.67030960,0.89884517
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-21 00:00:00.000000,0.02207235,0.18841532,0.48299942,1,15,39,0,3,9,0.00493912,0.04115912,0.11974300,0.42914845,0.65290518,0.89875868
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-22 00:00:00.000000,0.02314299,0.20090688,0.50968560,1,16,41,0,3,10,0.00519368,0.04288762,0.12969213,0.42840287,0.64099162,0.92956061
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-23 00:00:00.000000,0.04556903,0.22819061,0.58059470,3,18,47,0,3,11,0.00557185,0.04489542,0.14050797,0.42821963,0.63806060,0.93977608
13003,0,USGeorgiaAtkinson,Georgia,Atkinson,2020-09-09 15:57:13.273965,2020-03-24 00:00:00.000000,0.06089466,0.27292286,0.63208345,4,22,51,0,4,12,0.00723729,0.05037862,0.15402491,0.42816044,0.63293640,0.92426312
