FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-09 00:00:00.000000,0.00316336,0.00723972,0.01418694,24,54,107,9,29,59,0.00126253,0.00390923,0.00778802,0.53617466,0.83801255,1.08754012
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-10 00:00:00.000000,0.00383608,0.00846944,0.01634016,29,64,124,16,38,74,0.00210873,0.00500738,0.00980511,0.53617217,0.83801252,1.08752690
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-11 00:00:00.000000,0.00450401,0.01026928,0.01897912,34,77,144,20,45,85,0.00267024,0.00600863,0.01131554,0.53616564,0.83801246,1.08749569
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-12 00:00:00.000000,0.00550551,0.01211830,0.02176261,41,92,165,27,53,96,0.00363333,0.00700851,0.01273686,0.53614843,0.83801232,1.08742203
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-13 00:00:00.000000,0.00723508,0.01452075,0.02647099,54,110,200,35,63,114,0.00468901,0.00834467,0.01502911,0.53610317,0.83801197,1.08724828
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-14 00:00:00.000000,0.00929784,0.01711158,0.02984065,70,129,226,43,75,138,0.00567566,0.00991215,0.01819886,0.53598411,0.83801104,1.08683920
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-15 00:00:00.000000,0.01145343,0.02034300,0.03366028,86,154,255,51,87,157,0.00680047,0.01155281,0.02074255,0.53567141,0.83800840,1.08588009
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-16 00:00:00.000000,0.01404753,0.02429394,0.03970918,106,184,301,61,105,186,0.00808426,0.01388126,0.02460644,0.53485400,0.83800045,1.10753879
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-17 00:00:00.000000,0.01718122,0.02823246,0.04835683,130,214,367,71,125,223,0.00937202,0.01654122,0.02940013,0.53274519,0.83797574,1.10776327
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-18 00:00:00.000000,0.02017415,0.03314013,0.05889527,153,251,447,83,148,265,0.01093194,0.01953969,0.03495195,0.52758594,0.84331734,1.10623859
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-19 00:00:00.000000,0.02335427,0.03916459,0.07171912,177,297,544,99,175,315,0.01306277,0.02309000,0.04149680,0.51604866,0.83665775,1.09823609
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-20 00:00:00.000000,0.02701936,0.04543973,0.08702872,205,345,660,120,201,373,0.01592432,0.02658413,0.04915522,0.52965035,0.83002240,1.06484719
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-21 00:00:00.000000,0.03122006,0.05216043,0.10502273,237,396,797,136,235,441,0.01799002,0.03098873,0.05810887,0.53055626,0.82851154,1.07857500
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-22 00:00:00.000000,0.03572523,0.06183648,0.12433362,271,469,944,153,272,525,0.02024885,0.03594175,0.06922440,0.48394536,0.82014698,1.10685633
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-23 00:00:00.000000,0.04101638,0.07132583,0.14621678,311,541,1110,173,322,632,0.02282555,0.04250626,0.08330378,0.47029319,0.81886417,1.09314332
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-24 00:00:00.000000,0.04694336,0.08236916,0.17188972,356,625,1305,197,375,756,0.02606240,0.04947334,0.09958795,0.47081155,0.80939669,1.03604638
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-25 00:00:00.000000,0.05350501,0.09268268,0.20150073,406,703,1529,225,436,895,0.02970753,0.05754246,0.11790256,0.47330713,0.79538991,1.03196725
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-26 00:00:00.000000,0.06042910,0.10611068,0.23594697,458,805,1791,256,503,1057,0.03381640,0.06635847,0.13927645,0.44081682,0.76314222,0.98972619
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-27 00:00:00.000000,0.06776998,0.12167017,0.27547933,514,923,2091,291,582,1235,0.03843866,0.07670516,0.16273531,0.43125226,0.73437935,0.97307088
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-28 00:00:00.000000,0.07556030,0.13830421,0.31347790,573,1050,2380,331,667,1434,0.04363780,0.08791189,0.18896732,0.42993486,0.71104218,0.92765524
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-29 00:00:00.000000,0.08405245,0.15449617,0.35283578,638,1173,2679,375,771,1666,0.04946823,0.10159161,0.21941600,0.39767396,0.67757566,0.88234895
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-30 00:00:00.000000,0.09419885,0.17222421,0.39547856,715,1307,3002,413,867,1913,0.05452107,0.11418581,0.25203497,0.35989491,0.65960874,0.87241158
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-03-31 00:00:00.000000,0.10525045,0.19209599,0.44131807,799,1458,3350,451,973,2169,0.05947704,0.12816280,0.28571955,0.35807679,0.64376492,0.86918518
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-01 00:00:00.000000,0.11436231,0.21579771,0.48960367,868,1638,3717,491,1071,2434,0.06474414,0.14116492,0.32060651,0.32373413,0.63281770,0.86685918
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-02 00:00:00.000000,0.12412106,0.23621805,0.54226130,942,1793,4117,535,1198,2706,0.07056326,0.15790264,0.35647326,0.30095358,0.61750536,0.84515277
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-03 00:00:00.000000,0.13463895,0.25572249,0.59542187,1022,1941,4521,582,1312,2966,0.07672729,0.17291157,0.39069933,0.29636692,0.59382547,0.80849598
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-04 00:00:00.000000,0.14595059,0.27713671,0.64834778,1108,2104,4922,632,1418,3187,0.08329585,0.18678593,0.41983978,0.27285685,0.56281536,0.76439050
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-05 00:00:00.000000,0.15782661,0.29587222,0.69364330,1198,2246,5266,682,1531,3487,0.08985021,0.20164062,0.45927753,0.26696592,0.54907971,0.75019824
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-06 00:00:00.000000,0.16927285,0.31539910,0.72462559,1285,2394,5502,737,1640,3787,0.09714885,0.21603303,0.49885015,0.25887423,0.53817982,0.73969731
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-07 00:00:00.000000,0.18011801,0.33761450,0.75396482,1367,2563,5724,790,1761,4088,0.10411515,0.23194278,0.53844274,0.25732131,0.52688312,0.72703691
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-08 00:00:00.000000,0.18763661,0.36085478,0.78295536,1424,2739,5944,839,1854,4316,0.11061837,0.24425896,0.56846702,0.25563051,0.51639642,0.71660097
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-09 00:00:00.000000,0.19967356,0.38592271,0.81223611,1516,2930,6167,890,1952,4550,0.11724306,0.25718082,0.59928455,0.25257063,0.50942826,0.70890570
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-10 00:00:00.000000,0.21189566,0.41140432,0.84261489,1608,3123,6397,942,2047,4924,0.12418959,0.26963968,0.64861218,0.24231147,0.49563853,0.70305222
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-11 00:00:00.000000,0.21656622,0.43208996,0.91303007,1644,3280,6932,998,2143,5318,0.13147749,0.28233655,0.70051315,0.23735906,0.47964769,0.69069183
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-12 00:00:00.000000,0.22123290,0.44893090,0.97178102,1679,3408,7378,1054,2265,5590,0.13890540,0.29841696,0.73630571,0.22223013,0.45515520,0.65450155
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-13 00:00:00.000000,0.22577282,0.47039445,1.00569677,1714,3571,7636,1068,2407,5802,0.14066848,0.31702117,0.76422712,0.21187624,0.43637134,0.61117925
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-14 00:00:00.000000,0.23028446,0.47969213,1.02133024,1748,3642,7754,1098,2525,6018,0.14465966,0.33256810,0.79258514,0.17918939,0.41486147,0.58559818
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-15 00:00:00.000000,0.23404041,0.48293834,1.02815199,1777,3666,7806,1119,2577,6235,0.14748598,0.33942988,0.82125745,0.16578137,0.39818563,0.56572704
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-16 00:00:00.000000,0.23710486,0.48972534,1.03110724,1800,3718,7829,1131,2656,6450,0.14908018,0.34984643,0.84948693,0.16093086,0.37166970,0.53508141
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-17 00:00:00.000000,0.23394201,0.49325882,1.05704413,1776,3745,8026,1133,2707,6653,0.14924073,0.35651643,0.87620639,0.15510446,0.36625030,0.51778632
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-18 00:00:00.000000,0.23080495,0.48844677,1.10816193,1752,3708,8414,1124,2762,6846,0.14808068,0.36388154,0.90166911,0.14064215,0.34364164,0.51016035
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-19 00:00:00.000000,0.22607792,0.48886734,1.14361144,1716,3711,8683,1106,2829,7015,0.14575311,0.37260626,0.92400423,0.13967055,0.33631379,0.48981141
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-20 00:00:00.000000,0.22026936,0.49202472,1.16575382,1672,3735,8851,1082,2831,7096,0.14257657,0.37285531,0.93462484,0.13930669,0.32737132,0.48278667
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-21 00:00:00.000000,0.21361542,0.49337773,1.18152809,1621,3746,8971,1057,2812,7259,0.13931640,0.37038080,0.95604860,0.13914851,0.31227330,0.48048953
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-22 00:00:00.000000,0.20663427,0.48555999,1.19528886,1568,3686,9075,1023,2771,7404,0.13478053,0.36506397,0.97521053,0.13907105,0.30610084,0.47547054
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-23 00:00:00.000000,0.20224498,0.48621639,1.21903314,1535,3691,9256,990,2721,7516,0.13041192,0.35846458,0.98986800,0.13901849,0.31618359,0.46630437
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-24 00:00:00.000000,0.19784341,0.48708976,1.22211900,1502,3698,9279,958,2719,7586,0.12629451,0.35819299,0.99920678,0.13594912,0.30740952,0.46298574
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-25 00:00:00.000000,0.19363647,0.48719567,1.23383174,1470,3699,9368,930,2716,7633,0.12261105,0.35778559,1.00531598,0.13355199,0.31187697,0.45948330
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-26 00:00:00.000000,0.19000330,0.48432017,1.24174391,1442,3677,9428,910,2663,7698,0.11990626,0.35084971,1.01384149,0.12527886,0.31060330,0.45984671
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-27 00:00:00.000000,0.18711206,0.48555223,1.24432457,1420,3686,9448,894,2602,7763,0.11784967,0.34269474,1.02240357,0.12669397,0.30988098,0.46620603
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-28 00:00:00.000000,0.18588620,0.47635967,1.24190655,1411,3616,9429,881,2542,7800,0.11613089,0.33491250,1.02732505,0.12076588,0.30960249,0.47225550
13089,0,USGeorgiaDeKalb,Georgia,DeKalb,2020-09-22 18:44:07.608380,2020-04-29 00:00:00.000000,0.18588729,0.47192151,1.23605715,1411,3583,9385,878,2487,7808,0.11570121,0.32754009,1.02842048,0.11879496,0.30956271,0.47053870
