FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-09 00:00:00.000000,0.01268503,0.04418552,0.12396012,2,9,25,0,2,6,0.00358838,0.01059970,0.03132427,0.48173978,0.69188756,0.97069102
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-10 00:00:00.000000,0.01045899,0.03702677,0.10593965,2,7,21,0,1,5,0.00300366,0.00917221,0.02655185,0.48173838,0.69188191,0.97069066
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-11 00:00:00.000000,0.00935500,0.04005114,0.11076244,1,8,22,0,1,5,0.00264421,0.00879616,0.02679038,0.48173404,0.69187110,0.97068932
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-12 00:00:00.000000,0.00860362,0.04116164,0.12079194,1,8,24,0,1,5,0.00246513,0.00877398,0.02776918,0.48172055,0.69184944,0.97068433
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-13 00:00:00.000000,0.00744159,0.04150086,0.12938580,1,8,26,0,1,6,0.00235345,0.00901459,0.02943664,0.48167869,0.69180354,0.97066573
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-14 00:00:00.000000,0.00637615,0.04123423,0.13639100,1,8,28,0,1,6,0.00227258,0.00889119,0.03052967,0.48154955,0.68548860,0.97059657
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-15 00:00:00.000000,0.00546147,0.04438947,0.14402001,1,9,29,0,1,6,0.00220886,0.00896645,0.03187256,0.48115880,0.67980174,0.97033984
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-16 00:00:00.000000,0.00996437,0.05294664,0.18225336,2,10,37,0,1,6,0.00202597,0.00901134,0.03337271,0.46816273,0.68018535,0.96938970
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-17 00:00:00.000000,0.01667577,0.06463968,0.21523635,3,13,44,0,2,7,0.00296134,0.01008440,0.03761497,0.45836862,0.67891687,0.96590563
13091,0,USGeorgiaDodge,Georgia,Dodge,2020-09-09 15:47:53.494052,2020-03-18 00:00:00.000000,0.01843882,0.07284822,0.24727602,3,15,50,0,2,8,0.00381918,0.01166826,0.04174126,0.45731356,0.66963059,0.93542561
