FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-09 00:00:00.000000,0.07337291,0.24868558,0.64682665,2,7,19,0,0,5,0.00599363,0.03067618,0.17807493,0.54634134,0.78372837,1.04272380
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-10 00:00:00.000000,0.04417410,0.17093463,0.42185106,1,5,12,0,1,4,0.00641344,0.03652191,0.14650271,0.54634518,0.78373310,1.04272386
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-11 00:00:00.000000,0.04056175,0.16600160,0.35309406,1,4,10,0,0,3,0.00560480,0.03127309,0.11073286,0.54635510,0.78374352,1.04272406
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-12 00:00:00.000000,0.03563967,0.14284721,0.32811227,1,4,9,0,0,2,0.00535798,0.02769954,0.09863427,0.54638137,0.78376616,1.04272480
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-13 00:00:00.000000,0.02814466,0.12685366,0.30493791,0,3,9,0,0,2,0.00514302,0.02451011,0.08338138,0.54645154,0.78381439,1.04272749
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-14 00:00:00.000000,0.02728316,0.11155979,0.28341095,0,3,8,0,0,2,0.00463678,0.02192683,0.07168085,0.54663948,0.78391430,1.04273726
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-15 00:00:00.000000,0.02391752,0.09774170,0.26342249,0,2,7,0,0,1,0.00412095,0.01944733,0.06127737,0.54714115,0.78411259,1.04277282
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-16 00:00:00.000000,0.01975890,0.08615121,0.24487230,0,2,7,0,0,1,0.00355313,0.01724813,0.05247064,0.54846313,0.78447836,1.04290205
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-17 00:00:00.000000,0.01599236,0.07688264,0.22767409,0,2,6,0,0,1,0.00309909,0.01529732,0.04490227,0.55182982,0.78511405,1.04336934
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-18 00:00:00.000000,0.01407866,0.06818564,0.21170518,0,2,6,0,0,1,0.00270525,0.01341690,0.03843176,0.55971975,0.78609411,1.04502676
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-19 00:00:00.000000,0.01135205,0.06047167,0.19629866,0,1,5,0,0,0,0.00236476,0.01203216,0.03289204,0.55802786,0.78073274,1.05052372
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-20 00:00:00.000000,0.00915032,0.05379511,0.18219297,0,1,5,0,0,0,0.00192280,0.01052568,0.02918875,0.51113537,0.78763892,1.06585381
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-21 00:00:00.000000,0.00737067,0.04814741,0.16291234,0,1,4,0,0,0,0.00152992,0.00933299,0.02639014,0.50049711,0.79262165,1.09253963
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-22 00:00:00.000000,0.00593017,0.04217946,0.13563050,0,1,4,0,0,0,0.00131857,0.00827861,0.02383792,0.49385541,0.76777338,1.11443081
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-23 00:00:00.000000,0.00476267,0.03740615,0.11996680,0,1,3,0,0,0,0.00105979,0.00728210,0.02148662,0.48246313,0.74890827,1.12456703
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-24 00:00:00.000000,0.00348414,0.03295185,0.11425193,0,0,3,0,0,0,0.00084986,0.00643882,0.01937109,0.48518650,0.74757795,1.13224204
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-25 00:00:00.000000,0.00250980,0.02820438,0.10871785,0,0,3,0,0,0,0.00067019,0.00549855,0.01746747,0.49250524,0.75332425,1.13912138
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-26 00:00:00.000000,0.00180653,0.02498331,0.10334667,0,0,3,0,0,0,0.00048225,0.00495994,0.01575404,0.49181997,0.76660389,1.14707711
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-27 00:00:00.000000,0.00138103,0.02245707,0.09908517,0,0,2,0,0,0,0.00034699,0.00455060,0.01457083,0.47283726,0.77975731,1.21205609
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-28 00:00:00.000000,0.00106894,0.02017053,0.09597373,0,0,2,0,0,0,0.00026603,0.00399315,0.01378646,0.46905971,0.79347699,1.21722486
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-29 00:00:00.000000,0.00082679,0.01795836,0.09293038,0,0,2,0,0,0,0.00020572,0.00352046,0.01302881,0.47310124,0.79747099,1.30651997
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-30 00:00:00.000000,0.00063917,0.01611450,0.08998155,0,0,2,0,0,0,0.00015898,0.00308101,0.01229505,0.46885544,0.80050452,1.34261829
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-03-31 00:00:00.000000,0.00049410,0.01430844,0.08712881,0,0,2,0,0,0,0.00012288,0.00269431,0.01158459,0.46458580,0.80040184,1.36093567
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-01 00:00:00.000000,0.00038204,0.01250910,0.08387450,0,0,2,0,0,0,0.00009500,0.00246142,0.01089944,0.46381702,0.80822905,1.33795992
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-02 00:00:00.000000,0.00029554,0.01125224,0.07876508,0,0,2,0,0,0,0.00007346,0.00223119,0.01023160,0.46750065,0.81451255,1.30687806
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-03 00:00:00.000000,0.00022904,0.00997840,0.07396852,0,0,2,0,0,0,0.00005686,0.00198548,0.00959355,0.46039357,0.81405479,1.31239311
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-04 00:00:00.000000,0.00017849,0.00884875,0.06946553,0,0,2,0,0,0,0.00004414,0.00176071,0.00899775,0.44334891,0.80647231,1.31626283
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-05 00:00:00.000000,0.00013131,0.00784698,0.06523809,0,0,1,0,0,0,0.00003461,0.00156138,0.00844063,0.43558900,0.80802095,1.31843763
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-06 00:00:00.000000,0.00009177,0.00696060,0.06126933,0,0,1,0,0,0,0.00002435,0.00138461,0.00764689,0.43063424,0.80823028,1.31949306
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-07 00:00:00.000000,0.00006397,0.00618890,0.05754344,0,0,1,0,0,0,0.00001697,0.00122785,0.00726947,0.42769560,0.80059547,1.31993895
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-08 00:00:00.000000,0.00004456,0.00550522,0.05404555,0,0,1,0,0,0,0.00001183,0.00108884,0.00697201,0.42617939,0.79544012,1.32004810
13125,0,USGeorgiaGlascock,Georgia,Glascock,2020-08-09 18:36:18.344761,2020-04-09 00:00:00.000000,0.00003103,0.00485264,0.05201633,0,0,1,0,0,0,0.00000823,0.00096557,0.00653120,0.42602335,0.79186724,1.31987339
