FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-09 00:00:00.000000,0.00185176,0.00414765,0.00790471,4,9,18,0,4,8,0.00038864,0.00184982,0.00367954,0.64855761,0.79538804,1.03496877
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-10 00:00:00.000000,0.00246492,0.00579589,0.01058948,5,13,24,2,6,11,0.00100064,0.00288771,0.00485713,0.64855238,0.79544019,1.03399960
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-11 00:00:00.000000,0.00327020,0.00782571,0.01440071,7,18,33,3,9,16,0.00170073,0.00388985,0.00702937,0.64854434,0.79553205,1.03239393
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-12 00:00:00.000000,0.00412279,0.00992560,0.01872207,9,23,43,5,11,22,0.00229899,0.00499629,0.00969115,0.64853190,0.79569549,1.02974787
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-13 00:00:00.000000,0.00512162,0.01252409,0.02404995,12,29,56,6,15,29,0.00291749,0.00644309,0.01275289,0.64851258,0.79599002,1.02634213
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-14 00:00:00.000000,0.00640788,0.01519075,0.03031794,15,35,71,8,18,38,0.00360670,0.00809964,0.01639460,0.64848241,0.79652983,1.02631850
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-15 00:00:00.000000,0.00791309,0.01874671,0.03746211,18,43,87,10,23,48,0.00436953,0.00991849,0.02068840,0.64843504,0.79754144,1.02623734
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-16 00:00:00.000000,0.01073834,0.02254964,0.04424257,25,52,103,12,27,60,0.00524951,0.01187746,0.02576767,0.64511537,0.79949262,1.02595934
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-17 00:00:00.000000,0.01341790,0.02740824,0.05118201,31,64,120,17,34,70,0.00753085,0.01483736,0.03011113,0.64016651,0.80223941,1.02501182
13151,0,USGeorgiaHenry,Georgia,Henry,2020-09-17 09:32:08.013865,2020-03-18 00:00:00.000000,0.01663661,0.03246721,0.05879210,39,76,137,21,42,80,0.00922605,0.01804369,0.03430888,0.63781246,0.79787905,1.02183169
