FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-09 00:00:00.000000,0.00460342,0.04417394,0.15050021,0,4,15,0,1,11,0.00185207,0.01811402,0.11149768,0.42278938,0.53272188,0.75822651
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-10 00:00:00.000000,0.00357735,0.03858489,0.15470149,0,4,16,0,2,10,0.00242122,0.02437457,0.10077733,0.42278888,0.53271994,0.75822650
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-11 00:00:00.000000,0.00384427,0.04084247,0.15298831,0,4,15,0,2,10,0.00243373,0.02489151,0.10162107,0.42278852,0.53271643,0.75822646
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-12 00:00:00.000000,0.00393487,0.04175696,0.15060526,0,4,15,0,2,10,0.00257891,0.02682777,0.10179466,0.42278926,0.53271007,0.75822623
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-13 00:00:00.000000,0.00396416,0.04353202,0.15466145,0,4,16,0,2,10,0.00262436,0.02867162,0.10246185,0.42279412,0.53269845,0.75822505
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-14 00:00:00.000000,0.00399729,0.04553539,0.15559844,0,4,16,0,3,10,0.00266509,0.03026103,0.10360281,0.42281192,0.53267670,0.75821880
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-15 00:00:00.000000,0.00403582,0.04775399,0.15951866,0,4,16,0,3,11,0.00270078,0.03176010,0.10778042,0.42286725,0.53263333,0.75818549
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-16 00:00:00.000000,0.01159214,0.06639813,0.18283980,1,6,19,0,3,11,0.00273425,0.03344911,0.11212791,0.42269189,0.53131540,0.75800701
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-17 00:00:00.000000,0.01886640,0.08093255,0.21620951,1,8,22,1,5,13,0.00986134,0.04843772,0.13269431,0.42156674,0.52767403,0.75694301
13173,0,USGeorgiaLanier,Georgia,Lanier,2020-08-21 18:56:48.089201,2020-03-18 00:00:00.000000,0.02808471,0.10543411,0.24515404,2,10,25,1,6,15,0.01496013,0.05986672,0.15014539,0.41782024,0.52388182,0.73999231
