FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-09 00:00:00.000000,0.01983653,0.11285301,0.26286394,1,9,21,0,2,8,0.00459149,0.02843718,0.10350301,0.41556477,0.67457178,1.01286311
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-10 00:00:00.000000,0.01682060,0.07819817,0.24952996,1,6,20,0,2,6,0.00463762,0.02926086,0.07974410,0.41556480,0.67456419,1.01295579
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-11 00:00:00.000000,0.01470931,0.06975227,0.20545234,1,5,17,0,2,6,0.00452896,0.02434962,0.07322519,0.41556486,0.67453949,1.01323089
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-12 00:00:00.000000,0.01314969,0.05878157,0.17090863,1,4,14,0,1,4,0.00418034,0.02239129,0.05372684,0.41556494,0.67445933,1.01404405
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-13 00:00:00.000000,0.01288756,0.05189844,0.15535719,1,4,12,0,1,4,0.00389032,0.01970527,0.05011359,0.41556501,0.67420034,1.01641814
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-14 00:00:00.000000,0.00969127,0.04647513,0.15719508,0,3,13,0,1,4,0.00366303,0.01671698,0.04982323,0.41556489,0.67337656,1.02310818
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-15 00:00:00.000000,0.00824653,0.04122408,0.15906074,0,3,13,0,1,4,0.00340211,0.01491712,0.04965413,0.41556380,0.67329006,1.04022109
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-16 00:00:00.000000,0.01902998,0.05272172,0.16691632,1,4,13,0,1,4,0.00251834,0.01363908,0.04954061,0.41555895,0.67519517,1.07495719
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-17 00:00:00.000000,0.02525330,0.06318808,0.17470435,2,5,14,0,1,4,0.00664925,0.02255928,0.05391148,0.41554083,0.67731069,1.12107736
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-18 00:00:00.000000,0.02885440,0.07286835,0.18984133,2,6,15,0,2,5,0.00873623,0.02485238,0.06058869,0.41547796,0.67774890,1.15419106
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-19 00:00:00.000000,0.03311564,0.07690161,0.23252505,2,6,19,0,2,5,0.00983304,0.02780197,0.06800644,0.41526816,0.67791422,1.15462085
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-20 00:00:00.000000,0.03735414,0.08286700,0.27608882,3,6,23,0,2,6,0.01012168,0.02936249,0.07702662,0.41396393,0.66831893,1.15469215
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-21 00:00:00.000000,0.03921853,0.09227354,0.32066119,3,7,26,0,2,7,0.01084624,0.03155458,0.08781802,0.41246616,0.66720694,1.15439011
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-22 00:00:00.000000,0.04063641,0.09688449,0.36469389,3,8,30,0,2,8,0.01138156,0.03417234,0.09771245,0.40206634,0.66864710,1.15289420
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-23 00:00:00.000000,0.04735958,0.11437522,0.39380549,3,9,32,0,3,9,0.01180295,0.03607332,0.10964867,0.39200120,0.66455243,1.11417912
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-24 00:00:00.000000,0.05160233,0.12065821,0.42264651,4,10,35,1,3,10,0.01484326,0.04188426,0.12152272,0.37213236,0.65756487,1.11556903
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-25 00:00:00.000000,0.05410741,0.12036208,0.45186411,4,10,37,1,3,11,0.01618140,0.04341223,0.13433670,0.36488085,0.64867744,1.11439013
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-26 00:00:00.000000,0.05465550,0.12765964,0.49438133,4,10,41,1,3,13,0.01662270,0.04577929,0.15956112,0.35831451,0.64994282,1.10889881
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-27 00:00:00.000000,0.05352635,0.13446178,0.56810335,4,11,47,1,3,14,0.01625980,0.04756236,0.17603174,0.35561574,0.66518785,1.09279763
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-28 00:00:00.000000,0.05332739,0.13721820,0.63737625,4,11,53,1,3,16,0.01588673,0.04772002,0.19303594,0.35342799,0.66864497,1.07581735
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-29 00:00:00.000000,0.05315557,0.13970317,0.68031044,4,11,56,1,4,17,0.01573453,0.04850544,0.21046712,0.35127228,0.64982678,1.07803074
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-30 00:00:00.000000,0.06505490,0.14320252,0.73109645,5,11,61,1,4,19,0.01518321,0.05004748,0.22851020,0.35427163,0.64441269,1.07958920
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-03-31 00:00:00.000000,0.06456713,0.15721393,0.77547621,5,13,64,1,4,20,0.01975834,0.05907349,0.24555354,0.35701476,0.64518433,1.07568636
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-04-01 00:00:00.000000,0.06372832,0.17304996,0.79679481,5,14,66,1,5,21,0.02067343,0.06207327,0.26309889,0.35970661,0.64937885,1.07395058
13197,0,USGeorgiaMarion,Georgia,Marion,2020-08-10 01:30:17.856464,2020-04-02 00:00:00.000000,0.06576405,0.18501974,0.81613353,5,15,68,1,5,23,0.02273804,0.06799378,0.28101090,0.36349703,0.66992472,1.08651813
