FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-09 00:00:00.000000,0.00343397,0.00833280,0.01411149,3,7,12,0,2,4,0.00029144,0.00271939,0.00517631,0.61251292,0.79411569,1.06308631
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-10 00:00:00.000000,0.00499876,0.01155624,0.01785804,4,10,16,1,4,7,0.00158560,0.00451612,0.00830757,0.61440628,0.79411549,1.06308062
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-11 00:00:00.000000,0.00613590,0.01565437,0.02450953,5,14,22,2,5,11,0.00234228,0.00657371,0.01215434,0.61703351,0.79411491,1.06306787
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-12 00:00:00.000000,0.00770677,0.02018984,0.03365551,7,18,30,3,8,16,0.00331451,0.00881084,0.01774160,0.61765902,0.79411323,1.06303889
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-13 00:00:00.000000,0.00972682,0.02511169,0.04500007,8,22,40,3,10,22,0.00409100,0.01125276,0.02435558,0.61766279,0.79410835,1.06297244
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-14 00:00:00.000000,0.01203131,0.03055188,0.05818383,10,27,52,4,12,29,0.00516525,0.01392519,0.03221188,0.61767489,0.79409416,1.06281882
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-15 00:00:00.000000,0.01464488,0.03652325,0.07364593,13,33,66,5,15,37,0.00638376,0.01687230,0.04155441,0.61771238,0.79218478,1.06246157
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-16 00:00:00.000000,0.01918997,0.04259933,0.08693057,17,38,79,6,18,47,0.00753707,0.02012634,0.05267855,0.61782613,0.79207245,1.06162809
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-17 00:00:00.000000,0.02348037,0.04935117,0.10584101,21,44,96,9,21,58,0.01009756,0.02342466,0.06421562,0.61816614,0.79174339,1.05968522
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-18 00:00:00.000000,0.02711783,0.05672924,0.12851374,24,51,116,11,24,70,0.01289622,0.02705018,0.07796956,0.61916543,0.79078261,1.05519644
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-19 00:00:00.000000,0.03136590,0.06509113,0.15518235,28,59,141,13,28,85,0.01491576,0.03106204,0.09393277,0.60219248,0.78966208,1.04923558
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-20 00:00:00.000000,0.03577517,0.07403581,0.18656292,32,67,169,15,32,100,0.01718468,0.03548390,0.11044379,0.58791647,0.78157993,1.03638657
13247,0,USGeorgiaRockdale,Georgia,Rockdale,2020-08-10 02:15:59.836478,2020-03-21 00:00:00.000000,0.04057460,0.08339026,0.22349081,36,75,203,17,36,117,0.01974095,0.04029811,0.12920142,0.58444238,0.76089722,1.03551531
