FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-09 00:00:00.000000,0.01924387,0.08215533,0.21354627,1,6,17,0,3,8,0.00713406,0.04109329,0.10862457,0.45881167,0.63664631,0.78702543
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-10 00:00:00.000000,0.01846096,0.07684592,0.22249817,1,6,18,0,3,9,0.01072217,0.04417558,0.11310991,0.45881167,0.63488883,0.78701673
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-11 00:00:00.000000,0.02075525,0.08262594,0.23256936,1,6,18,0,3,10,0.01197833,0.04932706,0.12375616,0.45881168,0.63298523,0.78700041
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-12 00:00:00.000000,0.02071633,0.08953219,0.24317512,1,7,19,1,4,10,0.01254492,0.05301855,0.13333679,0.45881168,0.63198944,0.78696903
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-13 00:00:00.000000,0.02115782,0.09586324,0.25394645,1,7,20,1,4,11,0.01400613,0.05638144,0.14206577,0.45881173,0.63110796,0.78690747
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-14 00:00:00.000000,0.02223477,0.10311864,0.26497666,1,8,21,1,4,12,0.01431499,0.05842138,0.15046115,0.45881207,0.63109266,0.78678473
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-15 00:00:00.000000,0.02341811,0.10969785,0.27630667,1,8,22,1,4,12,0.01462481,0.05931910,0.15876543,0.45881438,0.63104877,0.78653713
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-16 00:00:00.000000,0.04703688,0.13216357,0.34927854,3,10,28,1,5,13,0.01536524,0.06260327,0.16715191,0.45883017,0.63090795,0.78603476
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-17 00:00:00.000000,0.06558883,0.15058543,0.39388474,5,12,31,2,6,15,0.03220462,0.07577483,0.19052945,0.45893788,0.63006279,0.78501773
13253,0,USGeorgiaSeminole,Georgia,Seminole,2020-09-09 15:29:04.072658,2020-03-18 00:00:00.000000,0.08689717,0.18134365,0.43684994,7,14,35,3,7,17,0.04454289,0.09028143,0.21303619,0.45966251,0.61950775,0.78299109
