FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-09 00:00:00.000000,0.07551816,0.19210246,0.90156927,5,12,59,0,2,6,0.00000000,0.04360107,0.09370720,0.50217824,0.63821922,1.13922880
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-10 00:00:00.000000,0.05104586,0.12540990,0.21966162,3,8,14,1,4,7,0.02561106,0.07033677,0.10909608,0.50217868,0.63820584,1.13911058
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-11 00:00:00.000000,0.09125866,0.16257205,0.51710023,6,10,34,0,3,8,0.00000000,0.05279682,0.12353559,0.50217974,0.63818475,1.13890524
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-12 00:00:00.000000,0.04785558,0.12653761,0.27883045,3,8,18,1,4,9,0.02362336,0.06555734,0.13954135,0.50218233,0.63815149,1.13854896
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-13 00:00:00.000000,0.08086246,0.15739778,0.40936105,5,10,27,0,3,10,0.00000000,0.05324119,0.15507780,0.50218859,0.63809902,1.13793187
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-14 00:00:00.000000,0.04700913,0.12557644,0.34298848,3,8,22,1,4,11,0.02389029,0.06237964,0.17263161,0.50220379,0.63801606,1.13686634
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-15 00:00:00.000000,0.07750723,0.16346260,0.38527939,5,10,25,0,3,12,0.00000000,0.05194364,0.18807980,0.50224064,0.63788410,1.13503628
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-16 00:00:00.000000,0.04735239,0.12410003,0.40688705,3,8,26,1,4,13,0.02274389,0.06348838,0.20839839,0.50232991,0.63767051,1.13192173
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-17 00:00:00.000000,0.08168585,0.15715562,0.44084023,5,10,29,0,3,14,0.00000000,0.05220661,0.21875460,0.50254556,0.63730785,1.13073469
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-18 00:00:00.000000,0.04903067,0.12510835,0.46709333,3,8,30,1,4,15,0.02188215,0.06377850,0.23868500,0.49235759,0.63805190,1.13028074
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-19 00:00:00.000000,0.08631894,0.15891008,0.50007004,5,10,33,0,3,16,0.00000000,0.05335446,0.24565464,0.50427992,0.63865111,1.11847474
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-20 00:00:00.000000,0.04745789,0.12526798,0.52221320,3,8,34,1,4,17,0.02232813,0.06145731,0.26619946,0.50446449,0.63251651,1.10315781
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-21 00:00:00.000000,0.08783497,0.15595616,0.55145645,5,10,36,0,3,17,0.00000000,0.05272659,0.26941173,0.50198390,0.62454577,1.08114280
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-22 00:00:00.000000,0.04695846,0.12276308,0.56625975,3,8,37,1,4,18,0.02212850,0.06041819,0.28690285,0.50941226,0.61672375,1.05108624
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-23 00:00:00.000000,0.08559390,0.15642543,0.59040485,5,10,39,0,3,19,0.00000000,0.05138749,0.29068669,0.50162047,0.60831030,0.99680612
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-24 00:00:00.000000,0.04823774,0.12093652,0.59209924,3,8,39,1,3,20,0.02236221,0.05888394,0.30613148,0.49300177,0.60122473,0.96940510
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-25 00:00:00.000000,0.07991560,0.15415690,0.61544108,5,10,40,0,3,20,0.00000000,0.04929559,0.30515558,0.49117419,0.59215265,0.91813649
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-26 00:00:00.000000,0.04798341,0.11833855,0.59871361,3,7,39,1,3,21,0.02283888,0.05849480,0.31821491,0.48941410,0.58532110,0.88072487
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-27 00:00:00.000000,0.07730780,0.15268007,0.61590306,5,10,40,0,3,20,0.00000000,0.04846352,0.30928630,0.49151947,0.58163121,0.88913659
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-28 00:00:00.000000,0.04785389,0.11750795,0.58145892,3,7,38,1,3,20,0.02325124,0.05701279,0.31706778,0.49224974,0.57145094,0.89208875
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-29 00:00:00.000000,0.07676865,0.15042194,0.59198570,5,9,39,0,3,19,0.00000000,0.04809878,0.30151228,0.48999268,0.56997854,0.92851103
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-30 00:00:00.000000,0.04743634,0.11731364,0.55892422,3,7,37,1,3,20,0.02320620,0.05714970,0.31006399,0.47547762,0.56857282,0.99040709
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-03-31 00:00:00.000000,0.07930374,0.14586113,0.56937469,5,9,37,0,3,19,0.00000000,0.04895226,0.29260714,0.46106685,0.57935665,0.97714932
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-01 00:00:00.000000,0.04733714,0.11716977,0.53853738,3,7,35,1,3,20,0.02418224,0.05532292,0.30283352,0.45060887,0.58322061,0.96088817
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-02 00:00:00.000000,0.08591518,0.14398510,0.54926517,5,9,36,0,3,18,0.00000000,0.04979535,0.28337112,0.44313664,0.58618567,0.94507978
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-03 00:00:00.000000,0.04866873,0.11887411,0.51930626,3,7,34,1,3,19,0.02394950,0.05585017,0.29218429,0.43807474,0.58667669,1.00168216
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-04 00:00:00.000000,0.08517900,0.14082493,0.52526556,5,9,34,0,3,18,0.00000000,0.05032629,0.27324946,0.43506801,0.58419800,1.08010887
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-05 00:00:00.000000,0.04981052,0.12145831,0.48850061,3,8,32,1,3,18,0.02398702,0.05702835,0.28080811,0.43534354,0.60201740,1.12082435
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-06 00:00:00.000000,0.08529310,0.14388862,0.48977559,5,9,32,0,3,17,0.00000000,0.05145664,0.26628324,0.44055605,0.62125187,1.14057603
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-07 00:00:00.000000,0.04882786,0.12498467,0.48734719,3,8,32,1,3,18,0.02299066,0.05777604,0.27250077,0.44106977,0.63349729,1.26472614
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-08 00:00:00.000000,0.08638136,0.15252387,0.51036800,5,10,33,0,3,17,0.00000000,0.05236313,0.26689649,0.44264726,0.63766612,1.26901734
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-09 00:00:00.000000,0.04770665,0.12887953,0.50235848,3,8,33,1,3,18,0.02305959,0.05781653,0.27768681,0.44673993,0.65145412,1.29801471
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-10 00:00:00.000000,0.08393043,0.16232856,0.53121631,5,10,35,0,3,18,0.00000000,0.05370431,0.27452385,0.45592979,0.67064186,1.28385822
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-11 00:00:00.000000,0.04823783,0.13110961,0.53295229,3,8,35,1,4,19,0.02357806,0.06044458,0.29503606,0.46597905,0.67182403,1.29266479
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-12 00:00:00.000000,0.08440322,0.16985699,0.56480668,5,11,37,0,3,19,0.00000000,0.05431477,0.29165421,0.47415613,0.68393430,1.32095009
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-13 00:00:00.000000,0.04818022,0.13309806,0.56542756,3,8,37,1,4,20,0.02436039,0.06266566,0.31449803,0.47937093,0.68851447,1.34816283
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-14 00:00:00.000000,0.09188100,0.17615879,0.59704860,6,11,39,0,3,20,0.00000000,0.05372305,0.31284017,0.47409656,0.69011819,1.43647218
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-15 00:00:00.000000,0.04791789,0.13702924,0.59579918,3,9,39,1,4,22,0.02410471,0.06251963,0.33773134,0.47452263,0.68462771,1.43654546
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-16 00:00:00.000000,0.09119877,0.18421746,0.62674140,6,12,41,0,3,22,0.00000000,0.05341951,0.33633674,0.47515639,0.67475912,1.43070416
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-17 00:00:00.000000,0.04846223,0.13676201,0.62306066,3,9,41,1,4,24,0.02399722,0.06351601,0.36605465,0.47720392,0.65733527,1.41547965
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-18 00:00:00.000000,0.09283066,0.18595315,0.68241311,6,12,45,0,3,23,0.00000000,0.05391831,0.36120611,0.49147791,0.62991619,1.40888388
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-19 00:00:00.000000,0.04899751,0.13622305,0.68860781,3,9,45,1,4,26,0.02420526,0.06593826,0.39293101,0.50926714,0.62771805,1.44689219
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-20 00:00:00.000000,0.09926559,0.18669559,0.75236418,6,12,49,0,3,25,0.00000000,0.05564422,0.39041711,0.52743797,0.63222268,1.46666284
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-21 00:00:00.000000,0.05306782,0.13655382,0.75128156,3,9,49,1,4,28,0.02696562,0.06549189,0.42728275,0.52399986,0.64173153,1.53925220
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-22 00:00:00.000000,0.10745206,0.18570485,0.78748190,7,12,52,0,3,28,0.00000000,0.05508587,0.42449748,0.50613846,0.64459664,1.54274429
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-23 00:00:00.000000,0.05527804,0.13692966,0.78382535,3,9,51,1,4,30,0.02823583,0.06596400,0.46373344,0.49166155,0.65121008,1.54581968
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-24 00:00:00.000000,0.10944796,0.18265362,0.82970814,7,12,54,0,3,30,0.00000000,0.05467025,0.45818634,0.48405669,0.64374422,1.55008153
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-25 00:00:00.000000,0.05580736,0.14106691,0.82054749,3,9,54,1,4,32,0.02854871,0.06455557,0.49584366,0.48026059,0.64377380,1.55677767
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-26 00:00:00.000000,0.10664161,0.17762769,0.87324884,7,11,57,0,3,32,0.00000000,0.05684599,0.48461509,0.47839609,0.64892507,1.57177678
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-27 00:00:00.000000,0.05407694,0.14338619,0.85618269,3,9,56,1,4,34,0.02934397,0.06649051,0.51806529,0.47738138,0.64888712,1.58203770
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-28 00:00:00.000000,0.10419309,0.18201471,0.90472822,6,12,59,0,3,33,0.00000000,0.05667116,0.50345701,0.47639862,0.65434355,1.60391470
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-29 00:00:00.000000,0.05454390,0.14014660,0.88254207,3,9,58,1,4,35,0.02994644,0.06624253,0.53505570,0.47653890,0.65223299,1.63507611
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-04-30 00:00:00.000000,0.10283034,0.18927667,0.92581801,6,12,61,0,3,34,0.00000000,0.05654616,0.51740321,0.47216928,0.65474753,1.67719540
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-01 00:00:00.000000,0.05394945,0.13943159,0.89341703,3,9,59,1,4,36,0.02948226,0.06747412,0.54490142,0.45564947,0.65334851,1.71692017
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-02 00:00:00.000000,0.10419654,0.19532527,0.92094945,6,12,60,0,3,34,0.00000000,0.05731529,0.52028245,0.44185420,0.65105469,1.78094104
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-03 00:00:00.000000,0.05343436,0.13782285,0.91373016,3,9,60,1,4,35,0.03005590,0.06944608,0.53495770,0.44239958,0.64986261,1.84985768
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-04 00:00:00.000000,0.10176042,0.19739452,0.94162548,6,13,62,0,3,32,0.00000000,0.05614232,0.49796557,0.44665662,0.64725744,1.88104029
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-05 00:00:00.000000,0.05447526,0.13883702,0.87834228,3,9,58,1,4,34,0.02996923,0.06927384,0.51465035,0.45305402,0.63551072,1.87999209
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-06 00:00:00.000000,0.10088044,0.19015676,0.88458724,6,12,58,0,3,33,0.00000000,0.05556870,0.50612505,0.45644382,0.63467405,1.87521412
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-07 00:00:00.000000,0.05657390,0.13790660,0.80928349,3,9,53,1,4,33,0.02990479,0.06616811,0.50730987,0.46225704,0.62984893,1.86735332
13259,0,USGeorgiaStewart,Georgia,Stewart,2020-07-31 04:32:33.101639,2020-05-08 00:00:00.000000,0.10154331,0.17721024,0.83268980,6,11,55,0,3,30,0.00000000,0.05374630,0.46319269,0.47287625,0.62907052,1.85610745
