FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-09 00:00:00.000000,0.00703101,0.02186932,0.04874552,2,6,14,0,1,7,0.00125658,0.00658134,0.02376624,0.58422064,0.79377006,1.08448495
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-10 00:00:00.000000,0.01169538,0.02576728,0.06068893,3,7,17,1,4,10,0.00581771,0.01386834,0.03468087,0.58422337,0.79376834,1.08443663
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-11 00:00:00.000000,0.01722157,0.03630587,0.07335212,5,10,21,2,5,13,0.00874140,0.01927983,0.04421537,0.58422872,0.79376562,1.08432786
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-12 00:00:00.000000,0.02211698,0.04609231,0.08816682,6,13,26,3,7,15,0.01222925,0.02645835,0.05407602,0.58423970,0.79376135,1.08408099
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-13 00:00:00.000000,0.02877653,0.05805978,0.10471195,8,17,30,4,9,19,0.01632423,0.03375575,0.06509266,0.58426373,0.79375485,1.08351828
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-14 00:00:00.000000,0.03581232,0.07142698,0.12438867,10,21,36,6,12,22,0.02061219,0.04303474,0.07730203,0.58432051,0.79374583,1.08223864
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-15 00:00:00.000000,0.04248905,0.08594184,0.15652956,12,25,46,7,15,28,0.02453957,0.05294343,0.09507966,0.58446575,0.79373779,1.07936950
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-16 00:00:00.000000,0.05173680,0.10492120,0.18615518,15,30,54,8,18,34,0.02873249,0.06365806,0.11641584,0.58486419,0.79375470,1.07317662
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-17 00:00:00.000000,0.06458559,0.12493024,0.22037717,19,36,65,10,22,40,0.03575756,0.07608393,0.13795655,0.58601507,0.79392158,1.06089992
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-18 00:00:00.000000,0.07976134,0.15075582,0.26378013,23,44,77,13,26,47,0.04532102,0.09123416,0.16254900,0.58942729,0.79484013,1.04026057
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-19 00:00:00.000000,0.09882208,0.17541009,0.31499316,29,51,92,16,31,56,0.05655678,0.10771607,0.19115890,0.59939606,0.80530092,1.02611059
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-20 00:00:00.000000,0.11592063,0.20784518,0.37579050,34,61,110,20,37,67,0.06788474,0.12639079,0.22857354,0.62570963,0.81704857,1.07136034
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-21 00:00:00.000000,0.13348379,0.24511604,0.45162775,39,72,133,22,44,81,0.07606855,0.14932683,0.27679447,0.64616290,0.82892248,1.03546097
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-22 00:00:00.000000,0.15104764,0.28691665,0.54316435,44,84,160,25,51,98,0.08620577,0.17565443,0.33462313,0.66281745,0.85677967,1.04365452
13261,0,USGeorgiaSumter,Georgia,Sumter,2020-09-29 09:05:26.370120,2020-03-23 00:00:00.000000,0.18080443,0.35801972,0.65032242,53,105,192,30,61,117,0.10373338,0.20750088,0.39814593,0.65895968,0.88194601,1.04612314
