FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-09 00:00:00.000000,0.02870276,0.11479028,0.35795826,1,7,22,0,2,9,0.00802144,0.03754597,0.15649134,0.49400958,0.69563878,0.93380460
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-10 00:00:00.000000,0.02679750,0.09918933,0.34176968,1,6,21,0,2,8,0.00767423,0.03661210,0.14171191,0.49397938,0.69563554,0.93380453
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-11 00:00:00.000000,0.02653323,0.10019652,0.31992032,1,6,19,0,2,9,0.00657630,0.03654579,0.14824057,0.49389748,0.69562426,0.93380442
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-12 00:00:00.000000,0.02526079,0.09857116,0.33533130,1,6,20,0,2,9,0.00621592,0.03650720,0.14744765,0.49367606,0.69558591,0.93380426
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-13 00:00:00.000000,0.02397030,0.09543952,0.33204809,1,5,20,0,2,9,0.00620242,0.03728495,0.14807873,0.49308279,0.69545702,0.93380404
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-14 00:00:00.000000,0.02294279,0.09310176,0.32742933,1,5,20,0,2,9,0.00614728,0.03745686,0.14953567,0.49153262,0.69502858,0.93378944
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-15 00:00:00.000000,0.02210721,0.09137615,0.32146106,1,5,19,0,2,9,0.00605389,0.03666855,0.15179383,0.48773922,0.69484316,0.93374289
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-16 00:00:00.000000,0.03311228,0.11674818,0.35496138,2,7,21,0,2,9,0.00593550,0.03645755,0.15453931,0.47978973,0.69468895,0.93668676
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-17 00:00:00.000000,0.04286128,0.14897812,0.39698929,2,9,24,0,2,10,0.00786550,0.04291350,0.16472653,0.46803313,0.69617836,0.94101939
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-18 00:00:00.000000,0.05440061,0.17085964,0.44257636,3,10,27,0,3,10,0.00934225,0.04923954,0.17282373,0.45642659,0.69396955,0.94668779
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-19 00:00:00.000000,0.06643288,0.19558135,0.48952939,4,12,30,0,3,11,0.01074311,0.05793261,0.18936996,0.42893088,0.69660503,0.95374938
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-20 00:00:00.000000,0.07883308,0.22000098,0.53713777,4,13,33,0,4,13,0.01206277,0.06815151,0.22349417,0.41371584,0.69210232,0.96202734
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-21 00:00:00.000000,0.08817121,0.23869725,0.56674991,5,14,35,0,4,14,0.01330442,0.07703165,0.23088003,0.40980058,0.69162961,0.97106495
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-22 00:00:00.000000,0.09482647,0.25878419,0.62232889,5,16,38,0,5,15,0.01446511,0.08377786,0.24326653,0.40878782,0.68868205,0.98275119
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-23 00:00:00.000000,0.10339813,0.29311899,0.65850737,6,18,40,0,5,17,0.01552915,0.09028520,0.28093141,0.40835189,0.67199040,1.00042257
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-24 00:00:00.000000,0.12531613,0.32701537,0.68857643,7,20,42,1,6,19,0.02725505,0.09852891,0.31041537,0.40771565,0.65119038,0.99382222
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-25 00:00:00.000000,0.14109601,0.36773309,0.76502147,8,22,47,1,6,20,0.02961879,0.11147708,0.33811093,0.40615091,0.64709976,1.00017288
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-26 00:00:00.000000,0.14368044,0.39415864,0.86772380,8,24,53,1,7,22,0.03182354,0.12337998,0.36569701,0.40226858,0.64858118,1.00523310
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-27 00:00:00.000000,0.13995844,0.42051469,0.97385480,8,26,60,2,8,24,0.03397615,0.13041756,0.39337663,0.39390557,0.63800033,1.00952752
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-28 00:00:00.000000,0.13667231,0.43119169,1.08425684,8,26,67,2,8,26,0.03609091,0.13873221,0.43271160,0.38052350,0.64512764,1.01126882
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-29 00:00:00.000000,0.13546878,0.44441923,1.17737806,8,27,72,2,9,29,0.03811558,0.14755825,0.47782822,0.37398313,0.64066392,1.00907179
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-30 00:00:00.000000,0.17697855,0.49939971,1.21675950,10,30,75,2,9,32,0.04011805,0.15262341,0.52398187,0.37249465,0.62761223,1.01404882
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-03-31 00:00:00.000000,0.22862028,0.56326158,1.25280104,14,34,77,3,11,35,0.04995309,0.17818622,0.57676179,0.37425851,0.62159151,1.01640377
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-04-01 00:00:00.000000,0.28779744,0.62657006,1.28505594,17,38,79,3,12,39,0.05425642,0.19960462,0.63307590,0.37939082,0.62615276,1.01380653
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-04-02 00:00:00.000000,0.30926205,0.64180702,1.35146361,19,39,83,3,12,42,0.05834894,0.20813358,0.69206934,0.36644042,0.62531961,0.99824216
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-04-03 00:00:00.000000,0.33205358,0.66650412,1.46371666,20,41,90,3,13,46,0.06229309,0.21980915,0.75340895,0.36264315,0.61902492,0.96816215
13263,0,USGeorgiaTalbot,Georgia,Talbot,2020-09-29 09:47:09.082237,2020-04-04 00:00:00.000000,0.34320992,0.68250091,1.57912441,21,42,97,4,14,49,0.06610262,0.23279351,0.80283370,0.35156111,0.61630681,0.92713311
