FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-09 00:00:00.000000,0.00972889,0.06979724,0.22245553,0,5,17,0,1,5,0.00271914,0.01400145,0.07376928,0.44279398,0.71554523,1.10131208
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-10 00:00:00.000000,0.01193825,0.05603550,0.22766320,0,4,18,0,0,5,0.00268377,0.01134962,0.06516888,0.44279495,0.71557396,1.10109637
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-11 00:00:00.000000,0.01388167,0.05567991,0.23301348,1,4,18,0,0,4,0.00268420,0.01090175,0.06095835,0.44279745,0.71561774,1.10081896
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-12 00:00:00.000000,0.01597223,0.06180146,0.23852361,1,4,19,0,0,4,0.00269929,0.01072344,0.05479545,0.44280395,0.71568596,1.10046573
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-13 00:00:00.000000,0.01803702,0.06829699,0.24700979,1,5,19,0,0,4,0.00272416,0.01081532,0.04991124,0.44282083,0.71579680,1.10002164
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-14 00:00:00.000000,0.02008026,0.07515119,0.25675769,1,6,20,0,0,3,0.00275599,0.01033636,0.04631180,0.44286463,0.71599010,1.09947220
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-15 00:00:00.000000,0.02211036,0.08279452,0.26598236,1,6,21,0,0,3,0.00279295,0.00994975,0.04475520,0.44297807,0.71636367,1.09880607
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-16 00:00:00.000000,0.03036217,0.12967212,0.29799929,2,10,23,0,0,3,0.00283393,0.00990263,0.04708999,0.44326990,0.71717668,1.09801870
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-17 00:00:00.000000,0.04309844,0.15937696,0.32802691,3,12,26,0,0,4,0.00353615,0.01041060,0.05039877,0.44400737,0.71913271,1.09711752
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-18 00:00:00.000000,0.05804320,0.18307772,0.37346449,4,14,29,0,0,4,0.00412590,0.01125584,0.05458507,0.44578840,0.72213407,1.12238217
13269,0,USGeorgiaTaylor,Georgia,Taylor,2020-09-22 16:29:19.545233,2020-03-19 00:00:00.000000,0.07204684,0.21734105,0.42803456,5,17,34,0,0,4,0.00456325,0.01205898,0.05956231,0.44965455,0.73372466,1.21840007
