FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-09 00:00:00.000000,0.00248158,0.00595546,0.01723771,1,4,12,0,1,4,0.00020614,0.00197695,0.00635434,0.53546537,0.74978304,1.09558877
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-10 00:00:00.000000,0.00371377,0.00759318,0.01869725,2,5,13,0,2,4,0.00076198,0.00287350,0.00699149,0.53546722,0.74977990,1.09536426
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-11 00:00:00.000000,0.00551523,0.00966734,0.02185315,3,6,15,0,2,5,0.00137106,0.00366834,0.00839876,0.53547074,0.74977252,1.09498475
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-12 00:00:00.000000,0.00710849,0.01188437,0.02609041,4,8,18,1,3,6,0.00202205,0.00450830,0.00976862,0.53547743,0.74975513,1.09434462
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-13 00:00:00.000000,0.00904923,0.01441146,0.03066468,6,10,21,1,3,7,0.00270692,0.00539758,0.01123118,0.53549012,0.74971414,1.09326899
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-14 00:00:00.000000,0.01069929,0.01656952,0.03523166,7,11,24,2,4,9,0.00341142,0.00633590,0.01351060,0.53551443,0.75098067,1.09147298
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-15 00:00:00.000000,0.01279896,0.01923226,0.04025870,8,13,28,2,5,11,0.00413340,0.00744719,0.01612679,0.53556358,0.75147482,1.08850573
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-16 00:00:00.000000,0.01450476,0.02187604,0.04572998,10,15,31,3,6,13,0.00487211,0.00871524,0.01904160,0.53568994,0.75116429,1.08368829
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-17 00:00:00.000000,0.01641587,0.02495145,0.05166468,11,17,36,3,7,15,0.00554502,0.01017632,0.02229295,0.53626195,0.75040450,1.07608418
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-18 00:00:00.000000,0.01712471,0.02801529,0.05804375,11,19,40,4,8,18,0.00641264,0.01153902,0.02579020,0.54045218,0.75289892,1.07543930
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-19 00:00:00.000000,0.01927596,0.03097164,0.06480186,13,21,45,4,9,20,0.00696436,0.01293931,0.02903813,0.56820029,0.75431911,1.07515611
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-20 00:00:00.000000,0.01945087,0.03446057,0.07191020,13,24,50,5,10,22,0.00783351,0.01443756,0.03257986,0.57140897,0.76364954,1.07465871
13285,0,USGeorgiaTroup,Georgia,Troup,2020-07-31 04:47:09.761383,2020-03-21 00:00:00.000000,0.02190312,0.03813310,0.07930773,15,26,55,5,11,25,0.00813110,0.01595387,0.03634558,0.57176068,0.76775959,1.07342165
