FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-09 00:00:00.000000,0.00463089,0.01757353,0.05223717,1,4,13,0,2,7,0.00133230,0.00830715,0.02895473,0.49847364,0.73640429,1.03750901
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-10 00:00:00.000000,0.00396670,0.01671574,0.05228938,1,4,13,0,2,8,0.00262611,0.00985284,0.03083006,0.49848148,0.73640470,1.03750916
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-11 00:00:00.000000,0.00453216,0.01792466,0.05574886,1,4,14,0,2,9,0.00265785,0.01000264,0.03524277,0.49849521,0.73640562,1.03750962
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-12 00:00:00.000000,0.00475809,0.01877025,0.06048751,1,4,15,0,2,9,0.00275187,0.01108949,0.03733848,0.49851929,0.73640853,1.03751103
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-13 00:00:00.000000,0.00502430,0.02017954,0.06449589,1,5,16,0,3,10,0.00297141,0.01175123,0.03909988,0.49856158,0.73642087,1.03751515
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-14 00:00:00.000000,0.00566997,0.02108116,0.06845987,1,5,18,0,3,11,0.00349407,0.01285849,0.04180623,0.49863608,0.73648432,1.03752654
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-15 00:00:00.000000,0.00608751,0.02320988,0.07321049,1,6,19,0,3,11,0.00373590,0.01389407,0.04473229,0.49876802,0.73684041,1.03755266
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-16 00:00:00.000000,0.00941867,0.03364123,0.08203939,2,8,21,1,4,12,0.00400814,0.01520260,0.04786790,0.49900436,0.73808543,1.03757736
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-17 00:00:00.000000,0.01486438,0.04053098,0.10514097,3,10,27,1,6,14,0.00743660,0.02407696,0.05639124,0.49957846,0.73624485,1.03741356
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-18 00:00:00.000000,0.01913335,0.05227463,0.12331052,5,13,32,2,7,17,0.01081477,0.02889213,0.06498553,0.50060002,0.74195129,1.01944015
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-19 00:00:00.000000,0.02283843,0.06539678,0.15130315,6,17,39,3,9,22,0.01304836,0.03593100,0.08381247,0.50243943,0.74661823,1.01925154
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-20 00:00:00.000000,0.02706094,0.08017466,0.18631676,7,21,49,4,11,27,0.01551477,0.04435770,0.10599883,0.50700410,0.75339188,1.01778307
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-21 00:00:00.000000,0.03194614,0.09624098,0.22625087,8,25,59,4,13,35,0.01831949,0.05312218,0.13387094,0.52769199,0.77160988,1.00871572
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-22 00:00:00.000000,0.03700927,0.10894157,0.26877033,9,28,70,5,16,42,0.02108615,0.06159534,0.16246493,0.54626066,0.78674226,1.01702587
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-23 00:00:00.000000,0.04505665,0.13062713,0.29473033,11,34,77,6,18,50,0.02351924,0.07053977,0.19105963,0.58007303,0.79357143,1.08487567
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-24 00:00:00.000000,0.05445459,0.14878485,0.32317530,14,39,85,7,22,53,0.02965391,0.08396426,0.20499557,0.59048092,0.80108659,1.10078710
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-25 00:00:00.000000,0.06467794,0.16389651,0.35030232,17,43,92,9,25,58,0.03493065,0.09797964,0.22374869,0.60803613,0.80780388,1.09014710
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-26 00:00:00.000000,0.07535155,0.19187953,0.39632834,19,50,104,10,29,64,0.04111863,0.11127124,0.24367210,0.62744723,0.81101769,1.09315618
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-27 00:00:00.000000,0.08711775,0.22583431,0.46042624,22,59,121,12,33,71,0.04765111,0.12881977,0.27103769,0.66113472,0.82882971,1.10379634
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-28 00:00:00.000000,0.09985964,0.26176704,0.53569877,26,68,140,14,38,79,0.05482387,0.14749844,0.30165601,0.68407422,0.84591274,1.12876910
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-29 00:00:00.000000,0.11383943,0.30063844,0.61411482,29,79,161,16,44,90,0.06262679,0.16858983,0.34403466,0.71080191,0.86156709,1.16445180
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-30 00:00:00.000000,0.14774951,0.35341535,0.70300421,38,93,185,18,51,103,0.07120789,0.19641721,0.39483227,0.71686269,0.86594894,1.15116242
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-03-31 00:00:00.000000,0.17378059,0.40264988,0.80498894,45,105,211,24,60,118,0.09197884,0.22812526,0.45123355,0.72134729,0.88143499,1.12075838
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-01 00:00:00.000000,0.20576977,0.46060160,0.92900859,54,121,244,27,68,136,0.10410112,0.25944292,0.51825639,0.72180621,0.90558571,1.06398725
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-02 00:00:00.000000,0.25477355,0.53240056,1.07135029,67,140,281,35,78,157,0.13387413,0.29911358,0.59887295,0.72946618,0.91736599,1.06187916
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-03 00:00:00.000000,0.30800391,0.61962939,1.23402513,81,163,324,42,92,186,0.16314842,0.35210235,0.70707423,0.77117642,0.92450189,1.06433048
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-04 00:00:00.000000,0.36340075,0.71878429,1.41920213,95,189,373,51,107,223,0.19447831,0.40719601,0.84937529,0.74722068,0.92545577,1.06244059
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-05 00:00:00.000000,0.42694311,0.81858516,1.63361677,112,215,429,61,122,267,0.23189862,0.46551693,1.01587519,0.78699506,0.92390449,1.07715044
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-06 00:00:00.000000,0.49808359,0.93429350,1.92300442,131,245,506,72,139,318,0.27708874,0.52951340,1.21040075,0.83283524,0.92291033,1.09081997
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-07 00:00:00.000000,0.58264523,1.05573832,2.26010139,153,277,594,84,159,372,0.32255755,0.60664213,1.41488129,0.82477305,0.91519992,1.08839887
13293,0,USGeorgiaUpson,Georgia,Upson,2020-09-17 08:52:36.793228,2020-04-08 00:00:00.000000,0.67608409,1.18536324,2.64087476,177,311,695,97,181,429,0.37190331,0.68907259,1.63350826,0.80652183,0.91426526,1.06373661
