FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-09 00:00:00.000000,0.02449991,0.10464436,0.27543176,1,8,21,0,1,4,0.00374952,0.02191878,0.06047637,0.52694050,0.79162067,1.17035409
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-10 00:00:00.000000,0.01964143,0.08599448,0.20824164,1,6,16,0,1,4,0.00267279,0.02143129,0.05869426,0.52694191,0.79169318,1.17024718
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-11 00:00:00.000000,0.01806263,0.08561172,0.21257755,1,6,16,0,1,4,0.00238563,0.01926078,0.05666269,0.52694576,0.79182508,1.17000654
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-12 00:00:00.000000,0.01549393,0.08012598,0.23485544,1,6,18,0,1,4,0.00213893,0.01810904,0.05995755,0.52695621,0.79206477,1.16946626
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-13 00:00:00.000000,0.01388756,0.08127793,0.26246754,1,6,20,0,1,4,0.00191942,0.01651325,0.06352941,0.52698458,0.79249961,1.16825987
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-14 00:00:00.000000,0.01342591,0.07384197,0.29334253,1,5,23,0,1,5,0.00179211,0.01595198,0.06835865,0.52576249,0.79328597,1.16559917
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-15 00:00:00.000000,0.01183605,0.07257575,0.32512244,0,5,25,0,1,5,0.00175539,0.01489852,0.07405325,0.52423423,0.79469963,1.16168454
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-16 00:00:00.000000,0.02257613,0.09090282,0.38615376,1,7,30,0,1,6,0.00152808,0.01418987,0.07922066,0.52244911,0.78381726,1.16168549
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-17 00:00:00.000000,0.03411101,0.10417428,0.46580945,2,8,36,0,1,6,0.00274879,0.01737048,0.08674773,0.52042633,0.78458524,1.16170478
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-18 00:00:00.000000,0.04639853,0.11486711,0.53860592,3,9,42,0,1,7,0.00390948,0.01903862,0.09582602,0.51818491,0.78597496,1.16181457
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-19 00:00:00.000000,0.05309656,0.12578782,0.59641998,4,9,46,0,1,8,0.00517196,0.02083427,0.10937465,0.50533774,0.77779573,1.22860161
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-20 00:00:00.000000,0.05661956,0.13828499,0.65524233,4,10,51,0,1,9,0.00646717,0.02196802,0.12199362,0.49686699,0.79589911,1.36478615
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-21 00:00:00.000000,0.05718511,0.14741585,0.71545727,4,11,56,0,1,10,0.00738176,0.02415460,0.13619327,0.47531469,0.79081585,1.42881169
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-22 00:00:00.000000,0.05768139,0.16108273,0.78316078,4,12,61,0,2,11,0.00817034,0.02678771,0.15206588,0.45808186,0.77626142,1.42018036
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-23 00:00:00.000000,0.06551045,0.17908809,0.87934286,5,14,69,0,2,13,0.00865530,0.02792998,0.17485174,0.45701424,0.77050787,1.43803196
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-24 00:00:00.000000,0.07246910,0.20082395,0.98825340,5,15,77,0,2,15,0.01024303,0.02999385,0.20279007,0.45549639,0.75972741,1.46050735
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-25 00:00:00.000000,0.07998422,0.21585721,1.11115058,6,16,87,0,2,18,0.01131578,0.03193206,0.23370644,0.45061686,0.77532203,1.53789465
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-26 00:00:00.000000,0.08690308,0.22252065,1.24950973,6,17,98,1,2,21,0.01285931,0.03299334,0.26802719,0.43598121,0.77405751,1.55935055
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-27 00:00:00.000000,0.09168925,0.22754743,1.40500691,7,17,110,1,2,24,0.01369547,0.03585560,0.30621598,0.44567062,0.78728806,1.56715950
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-28 00:00:00.000000,0.09092234,0.23699200,1.57953384,7,18,124,1,2,27,0.01424413,0.03782186,0.34572802,0.45260467,0.79735516,1.56496110
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-29 00:00:00.000000,0.08841893,0.24458157,1.77521500,6,19,139,1,3,30,0.01474909,0.03896742,0.38444283,0.45230165,0.79397498,1.54915331
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-30 00:00:00.000000,0.09176407,0.25941629,1.99525010,7,20,156,1,3,33,0.01521818,0.04085588,0.42650734,0.45227491,0.79838097,1.54029913
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-03-31 00:00:00.000000,0.09043098,0.27766304,2.24146485,7,21,176,1,3,37,0.01667547,0.04308216,0.47120763,0.44870348,0.79880714,1.55495301
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-01 00:00:00.000000,0.08647432,0.29497353,2.48692402,6,23,195,1,3,40,0.01686163,0.04411639,0.51906128,0.44775487,0.79501669,1.57108288
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-02 00:00:00.000000,0.08566417,0.31226401,2.71417091,6,24,213,1,3,44,0.01687369,0.04593704,0.57011729,0.44140307,0.78710110,1.61056171
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-03 00:00:00.000000,0.08547142,0.32553946,2.96158884,6,25,232,1,3,49,0.01624978,0.04748631,0.62490910,0.40609874,0.78790810,1.64233505
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-04 00:00:00.000000,0.08253549,0.33884777,3.23068360,6,26,253,1,3,53,0.01485496,0.04882966,0.68411727,0.40019151,0.79503702,1.66089111
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-05 00:00:00.000000,0.07882399,0.35032770,3.58629600,6,27,281,1,3,59,0.01369466,0.05001316,0.75515938,0.40699095,0.80088394,1.66816980
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-06 00:00:00.000000,0.08263645,0.34833519,3.98670338,6,27,313,1,3,66,0.01305888,0.05009754,0.84668465,0.40657445,0.79308871,1.67010984
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-07 00:00:00.000000,0.08045035,0.34827732,4.42765858,6,27,347,1,3,73,0.01467341,0.04889597,0.93301414,0.40514400,0.79343038,1.70322326
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-08 00:00:00.000000,0.07724123,0.34915234,4.91607410,6,27,386,1,4,79,0.01572452,0.05137654,1.00689700,0.40200961,0.79307593,1.75104898
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-09 00:00:00.000000,0.07266486,0.34816555,5.45724795,5,27,428,1,4,85,0.01646629,0.05218907,1.08608753,0.40185727,0.79063126,1.77542014
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-10 00:00:00.000000,0.07266374,0.34541416,5.98160472,5,27,469,1,4,92,0.01647221,0.05556133,1.17958578,0.39348038,0.79709619,1.74392245
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-11 00:00:00.000000,0.07334011,0.34333774,6.42251534,5,26,504,1,4,101,0.01599300,0.05785021,1.29227556,0.37177121,0.79896397,1.74265149
13309,0,USGeorgiaWheeler,Georgia,Wheeler,2020-08-10 01:28:50.937527,2020-04-12 00:00:00.000000,0.07286203,0.34719680,6.89315646,5,27,541,1,4,111,0.01530693,0.05943772,1.41475833,0.36671377,0.80052716,1.78900682
