FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-09 00:00:00.000000,0.00158100,0.00443129,0.00892458,2,7,14,0,2,6,0.00019470,0.00149435,0.00392422,0.63451011,0.83555469,1.13270316
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-10 00:00:00.000000,0.00192828,0.00544997,0.01162679,3,9,19,1,4,9,0.00090685,0.00277986,0.00580756,0.63450988,0.83555464,1.13270294
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-11 00:00:00.000000,0.00272144,0.00708555,0.01711497,4,11,28,2,5,14,0.00122570,0.00345820,0.00857582,0.63450979,0.83555459,1.13270251
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-12 00:00:00.000000,0.00331090,0.00815898,0.02059433,5,13,34,2,7,17,0.00162844,0.00429142,0.01037828,0.63451067,0.83555461,1.13270170
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-13 00:00:00.000000,0.00406573,0.00992847,0.02542471,6,16,42,3,8,21,0.00196559,0.00522869,0.01295548,0.63451548,0.83555497,1.13270012
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-14 00:00:00.000000,0.00480855,0.01211356,0.02927932,8,20,49,3,10,25,0.00232854,0.00640246,0.01506034,0.63453465,0.83555660,1.13269702
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-15 00:00:00.000000,0.00551610,0.01421362,0.03313505,9,23,55,4,12,28,0.00271353,0.00741028,0.01710605,0.63505344,0.83556249,1.13269060
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-16 00:00:00.000000,0.00834974,0.01638569,0.03655687,13,27,61,5,14,32,0.00312360,0.00853580,0.01955554,0.63594089,0.83558215,1.13267575
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-17 00:00:00.000000,0.01096631,0.01922127,0.04075316,18,32,68,8,16,37,0.00536318,0.00982110,0.02224442,0.64120187,0.83795770,1.20287442
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-18 00:00:00.000000,0.01286252,0.02188543,0.04221473,21,36,70,10,19,40,0.00654912,0.01137950,0.02414150,0.66529420,0.83995149,1.20332114
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-19 00:00:00.000000,0.01429390,0.02446054,0.04566727,23,40,76,12,22,44,0.00753883,0.01324269,0.02628408,0.67133592,0.85373502,1.20263951
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-20 00:00:00.000000,0.01598904,0.02809616,0.05334861,26,47,89,14,24,51,0.00851558,0.01479643,0.03080832,0.67832694,0.84712915,1.20077929
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-21 00:00:00.000000,0.01758767,0.03163921,0.06195841,29,52,103,15,28,56,0.00945502,0.01681236,0.03397694,0.73949906,0.85396047,1.19667674
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-22 00:00:00.000000,0.01864753,0.03611541,0.06661450,31,60,111,16,31,61,0.01004807,0.01903910,0.03653633,0.75183267,0.86041170,1.19201790
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-23 00:00:00.000000,0.02178139,0.04050939,0.07183096,36,67,120,17,35,65,0.01063227,0.02124407,0.03910397,0.74210568,0.86074648,1.18796698
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-24 00:00:00.000000,0.02368355,0.04455026,0.07805393,39,74,130,21,38,70,0.01285795,0.02305354,0.04186574,0.73021438,0.86614731,1.18494839
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-25 00:00:00.000000,0.02564546,0.04750547,0.08368469,42,79,140,22,43,75,0.01368778,0.02580640,0.04533244,0.72512094,0.87663399,1.18170145
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-26 00:00:00.000000,0.02760048,0.05178746,0.09129980,46,86,152,24,49,84,0.01475115,0.02930782,0.05073578,0.73064117,0.88832568,1.17672333
15009,0,USHawaiiMaui,Hawaii,Maui,2020-09-29 09:57:11.246724,2020-03-27 00:00:00.000000,0.03008114,0.05838533,0.10486579,50,97,175,26,54,97,0.01593847,0.03257410,0.05803814,0.72974034,0.89173298,1.12886336
