FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-09 00:00:00.000000,0.00429546,0.04260796,0.16032673,0,5,20,0,2,11,0.00130630,0.01600020,0.08735441,0.43505198,0.59005396,0.85868289
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-10 00:00:00.000000,0.00352245,0.03399892,0.14233040,0,4,18,0,2,10,0.00217092,0.01856321,0.08523369,0.43505183,0.59005448,0.85840235
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-11 00:00:00.000000,0.00409273,0.03375463,0.13320360,0,4,17,0,2,10,0.00210197,0.01754355,0.07955600,0.43505107,0.59005623,0.85794825
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-12 00:00:00.000000,0.00437823,0.03383858,0.12373037,0,4,15,0,2,9,0.00204055,0.01773569,0.07411062,0.43504718,0.59006150,0.85721441
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-13 00:00:00.000000,0.00452071,0.03385921,0.11512627,0,4,14,0,2,8,0.00198333,0.01742401,0.06898846,0.43502654,0.59007667,0.85603155
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-14 00:00:00.000000,0.00439771,0.03276216,0.10713076,0,4,13,0,2,8,0.00192881,0.01720457,0.06419570,0.43491516,0.59011902,0.85413280
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-15 00:00:00.000000,0.00427851,0.03218546,0.09968236,0,4,12,0,2,7,0.00187629,0.01746510,0.05973884,0.43431231,0.59023482,0.85110514
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-16 00:00:00.000000,0.00416274,0.03308105,0.09277903,0,4,11,0,2,7,0.00182542,0.01756987,0.05558521,0.42943450,0.59054427,0.84632827
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-17 00:00:00.000000,0.00405011,0.03197977,0.09522396,0,4,12,0,2,7,0.00177603,0.01708171,0.05682798,0.41643500,0.59133961,0.80955110
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-18 00:00:00.000000,0.00394010,0.03128227,0.08606292,0,4,11,0,2,6,0.00172800,0.01682237,0.05197685,0.40255561,0.59315438,0.76345470
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-19 00:00:00.000000,0.00383139,0.02970530,0.08343770,0,3,10,0,2,6,0.00168107,0.01613882,0.04935208,0.39842796,0.58844598,0.75011146
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-20 00:00:00.000000,0.00372034,0.02795572,0.08010708,0,3,10,0,1,6,0.00163458,0.01544270,0.04770979,0.39097351,0.56512123,0.78795842
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-21 00:00:00.000000,0.00359902,0.02633483,0.07561447,0,3,9,0,1,5,0.00158670,0.01474357,0.04550227,0.35624017,0.54658473,0.76236209
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-22 00:00:00.000000,0.00345800,0.02550243,0.07100684,0,3,9,0,1,5,0.00153343,0.01385322,0.04244184,0.34352363,0.53819511,0.78809968
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-23 00:00:00.000000,0.00329742,0.02384455,0.07116497,0,3,9,0,1,5,0.00147025,0.01286206,0.04185730,0.34097443,0.52630263,0.80407378
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-24 00:00:00.000000,0.00312664,0.02215016,0.07104102,0,2,9,0,1,5,0.00139802,0.01216086,0.04343955,0.33321957,0.50868009,0.79083757
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-25 00:00:00.000000,0.00290937,0.02041810,0.07308559,0,2,9,0,1,5,0.00132261,0.01162714,0.04496936,0.32406238,0.50115854,0.77300284
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-26 00:00:00.000000,0.00263358,0.01860020,0.07554022,0,2,9,0,1,5,0.00125027,0.01053273,0.04650268,0.31977737,0.49052255,0.74973892
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-27 00:00:00.000000,0.00238392,0.01732475,0.07788540,0,2,10,0,1,6,0.00120204,0.00998355,0.04694230,0.31272543,0.48519463,0.74411168
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-28 00:00:00.000000,0.00215509,0.01591554,0.07610993,0,2,9,0,1,5,0.00118239,0.00883081,0.04383865,0.30154664,0.47136362,0.74393222
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-29 00:00:00.000000,0.00193952,0.01494222,0.06970957,0,1,8,0,1,5,0.00114377,0.00823006,0.04049844,0.30007092,0.45969645,0.74378659
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-30 00:00:00.000000,0.00184985,0.01313415,0.06323095,0,1,8,0,0,4,0.00102550,0.00770949,0.03697871,0.30015304,0.45114867,0.76829225
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-03-31 00:00:00.000000,0.00190547,0.01181407,0.05802875,0,1,7,0,0,4,0.00095854,0.00684198,0.03456517,0.30085085,0.44472654,0.76851522
16079,0,USIdahoShoshone,Idaho,Shoshone,2020-09-17 08:32:27.108939,2020-04-01 00:00:00.000000,0.00195858,0.01060160,0.05448299,0,1,7,0,0,4,0.00098578,0.00623081,0.03327852,0.30055764,0.43877476,0.76212621
