FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-09 00:00:00.000000,0.00739830,0.02041281,0.04356769,3,10,23,0,2,9,0.00039962,0.00519816,0.01779176,0.57383031,0.71292462,0.80469680
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-10 00:00:00.000000,0.00717629,0.01704076,0.03589015,3,9,19,0,3,10,0.00179505,0.00604540,0.01935442,0.57383107,0.71294589,0.80469679
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-11 00:00:00.000000,0.01157498,0.02128587,0.04327344,6,11,23,0,3,11,0.00132604,0.00629973,0.02139171,0.57383255,0.71297648,0.80469676
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-12 00:00:00.000000,0.01012643,0.02261163,0.04252930,5,12,22,1,3,12,0.00237593,0.00727770,0.02325071,0.57383533,0.71302049,0.80469668
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-13 00:00:00.000000,0.01558589,0.02669556,0.04902346,8,14,26,1,4,13,0.00231952,0.00775307,0.02509782,0.57384017,0.71308392,0.80469636
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-14 00:00:00.000000,0.01361256,0.02834838,0.04877334,7,15,26,1,4,14,0.00308287,0.00891477,0.02683081,0.57384731,0.71317563,0.80469517
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-15 00:00:00.000000,0.01891830,0.03324070,0.05474902,10,17,29,1,5,15,0.00329713,0.00957007,0.02851081,0.57385295,0.71330912,0.80469052
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-16 00:00:00.000000,0.01701858,0.03390898,0.05477272,9,18,29,2,5,16,0.00403677,0.01051335,0.03009748,0.57383603,0.71350618,0.80750545
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-17 00:00:00.000000,0.02004723,0.03825331,0.06327544,10,20,33,2,6,16,0.00404415,0.01147162,0.03145756,0.57371496,0.71380522,0.82228472
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-18 00:00:00.000000,0.01921543,0.03986776,0.06379607,10,21,34,2,6,17,0.00505784,0.01237429,0.03311620,0.57503663,0.71425061,0.84649338
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-19 00:00:00.000000,0.02067273,0.04410823,0.07704754,11,23,41,2,6,18,0.00496218,0.01298750,0.03480956,0.57511474,0.71518188,0.87265358
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-20 00:00:00.000000,0.01977867,0.04377007,0.07442934,10,23,39,3,7,19,0.00587209,0.01396962,0.03642159,0.57567380,0.71702914,0.89073782
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-21 00:00:00.000000,0.02117232,0.04900511,0.09049598,11,26,48,2,8,20,0.00546028,0.01505139,0.03811508,0.56219355,0.72106696,0.89956478
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-22 00:00:00.000000,0.02023025,0.04929930,0.08606775,10,26,46,3,8,21,0.00603970,0.01613514,0.03999672,0.55317665,0.72895872,0.90638285
17007,0,USIllinoisBoone,Illinois,Boone,2020-07-31 04:23:35.358081,2020-03-23 00:00:00.000000,0.02190346,0.05555005,0.10101342,11,29,54,2,9,22,0.00559131,0.01711988,0.04221680,0.54863244,0.75024290,0.95364995
